,date,y_minmax_0940
398,20200521,90
399,20200522,150
400,20200525,108
401,20200526,173
402,20200527,122
403,20200528,98
404,20200529,146
405,20200601,230
406,20200602,244
407,20200603,450
408,20200604,404
409,20200605,244
410,20200608,521
411,20200609,192
412,20200610,202
413,20200611,164
414,20200612,436
415,20200615,230
416,20200616,314
417,20200617,389
418,20200618,193
419,20200619,582
420,20200622,207
421,20200623,240
422,20200624,296
423,20200625,258
424,20200626,197
425,20200629,221
426,20200630,89
427,20200701,136
428,20200702,146
429,20200703,193
430,20200706,103
431,20200707,165
432,20200708,220
433,20200709,103
434,20200710,226
435,20200713,108
436,20200714,117
437,20200715,174
438,20200716,108
439,20200717,174
440,20200720,178
441,20200721,108
442,20200722,141
443,20200723,248
444,20200724,220
445,20200727,309
446,20200728,244
447,20200729,277
448,20200730,155
449,20200731,404
450,20200803,221
451,20200804,230
452,20200805,169
453,20200806,353
454,20200807,198
455,20200810,254
456,20200811,225
457,20200812,268
458,20200813,165
459,20200814,254
460,20200818,273
461,20200819,207
462,20200820,197
463,20200821,301
464,20200824,371
465,20200825,188
466,20200826,315
467,20200827,202
468,20200828,165
469,20200831,174
470,20200901,273
471,20200902,178
472,20200903,250
473,20200904,277
474,20200907,240
475,20200908,202
476,20200909,155
477,20200910,123
478,20200911,156
479,20200914,150
480,20200915,141
481,20200916,108
482,20200917,301
483,20200918,165
484,20200921,226
485,20200922,254
486,20200923,277
487,20200924,212
488,20200925,268
489,20200928,117
490,20200929,113
491,20201005,141
492,20201006,112
493,20201007,90
494,20201008,169
495,20201012,145
496,20201013,250
497,20201014,179
498,20201015,202
499,20201016,165
500,20201019,183
501,20201020,315
502,20201021,183
503,20201022,193
504,20201023,179
505,20201026,188
506,20201027,212
507,20201028,131
508,20201029,212
509,20201030,155
510,20201102,197
511,20201103,302
512,20201104,240
513,20201105,320
514,20201106,221
515,20201109,179
516,20201110,362
517,20201111,179
518,20201112,174
519,20201113,310
520,20201116,401
521,20201117,141
522,20201118,240
523,20201119,136
524,20201120,278
525,20201123,500
526,20201124,240
527,20201125,132
528,20201126,188
529,20201127,137
530,20201130,452
531,20201201,264
532,20201202,508
533,20201204,443
534,20201207,330
535,20201208,193
536,20201209,222
537,20201210,240
538,20201211,203
539,20201214,339
540,20201215,387
541,20201216,216
542,20201217,179
543,20201218,179
544,20201221,414
545,20201222,151
546,20201223,156
547,20201224,358
548,20201228,250
549,20201229,734
550,20201230,254
551,20210105,401
552,20210106,409
553,20210107,264
554,20210108,401
555,20210111,885
556,20210112,565
557,20210113,594
558,20210114,556
559,20210115,598
560,20210118,546
561,20210119,438
562,20210120,527
563,20210121,325
564,20210122,334
565,20210125,288
566,20210126,395
567,20210127,499
568,20210128,382
569,20210129,439
570,20210201,651
571,20210202,344
572,20210203,378
573,20210204,372
574,20210205,367
575,20210208,406
576,20210209,221
577,20210210,264
578,20210215,297
579,20210216,504
580,20210217,307
581,20210218,254
582,20210219,274
583,20210222,349
584,20210223,311
585,20210224,382
586,20210225,264
587,20210226,429
588,20210302,250
589,20210303,274
590,20210304,377
591,20210305,198
592,20210308,368
593,20210309,405
594,20210310,222
595,20210311,382
596,20210312,320
597,20210315,354
598,20210316,146
599,20210317,359
600,20210318,293
601,20210319,231
602,20210322,349
603,20210323,264
604,20210324,321
605,20210325,283
606,20210326,160
607,20210329,297
608,20210330,288
609,20210331,302
610,20210401,160
611,20210402,254
612,20210405,306
613,20210406,113
614,20210407,179
615,20210408,165
616,20210409,269
617,20210412,179
618,20210413,307
619,20210414,188
620,20210415,240
621,20210416,165
622,20210419,269
623,20210420,202
624,20210421,268
625,20210422,151
626,20210423,241
627,20210426,94
628,20210427,146
629,20210428,160
630,20210429,369
631,20210430,259
632,20210503,297
633,20210504,206
634,20210506,288
635,20210507,129
636,20210510,196
637,20210511,336
638,20210512,374
639,20210513,464
640,20210514,168
641,20210517,402
642,20210518,220
643,20210520,321
644,20210521,292
645,20210524,312
646,20210525,192
647,20210526,149
648,20210527,297
649,20210528,215
650,20210531,297
651,20210601,455
652,20210602,259
653,20210603,273
654,20210604,225
655,20210607,307
656,20210608,191
657,20210609,191
658,20210610,129
659,20210611,273
660,20210614,139
661,20210615,163
662,20210616,292
663,20210617,191
664,20210618,225
665,20210621,225
666,20210622,124
667,20210623,139
668,20210624,144
669,20210625,134
670,20210628,124
671,20210629,210
672,20210630,158
673,20210701,211
674,20210702,149
675,20210705,158
676,20210706,158
677,20210707,225
678,20210708,106
679,20210709,407
680,20210712,153
681,20210713,158
682,20210714,168
683,20210715,167
684,20210716,96
685,20210719,158
686,20210720,191
687,20210721,197
688,20210722,177
689,20210723,191
690,20210726,264
691,20210727,158
692,20210728,249
693,20210729,115
694,20210730,173
695,20210802,178
696,20210803,345
697,20210804,153
698,20210805,225
699,20210806,183
700,20210809,149
701,20210810,331
702,20210811,206
703,20210812,125
704,20210813,340
705,20210817,230
706,20210818,250
707,20210819,244
708,20210820,335
709,20210823,259
710,20210824,312
711,20210825,234
712,20210826,201
713,20210827,187
714,20210830,288
715,20210831,201
716,20210901,264
717,20210902,178
718,20210903,240
719,20210906,202
720,20210907,239
721,20210908,158
722,20210909,139
723,20210910,230
724,20210913,297
725,20210914,187
726,20210915,144
727,20210916,345
728,20210917,225
729,20210923,307
730,20210924,211
731,20210927,207
732,20210928,278
733,20210929,163
734,20210930,231
735,20211001,240
736,20211005,258
737,20211006,244
738,20211007,240
739,20211008,298
740,20211012,556
741,20211013,407
742,20211014,249
743,20211015,230
744,20211018,422
745,20211019,211
746,20211020,216
747,20211021,239
748,20211022,178
749,20211025,274
750,20211026,148
751,20211027,235
752,20211028,193
753,20211029,394
754,20211101,197
755,20211102,500
756,20211103,399
757,20211104,221
758,20211105,553
759,20211108,461
760,20211109,495
761,20211110,260
762,20211111,236
763,20211112,269
764,20211115,158
765,20211116,202
766,20211117,370
767,20211119,394
768,20211122,361
769,20211123,245
770,20211124,293
771,20211125,279
772,20211126,293
773,20211129,446
774,20211130,217
775,20211201,370
776,20211202,553
777,20211203,206
778,20211206,351
779,20211207,240
780,20211208,274
781,20211209,245
782,20211210,173
783,20211213,288
784,20211214,206
785,20211215,255
786,20211216,293
787,20211217,374
788,20211220,231
789,20211221,322
790,20211222,211
791,20211223,231
792,20211224,303
793,20211227,144
794,20211228,283
795,20211229,192
796,20211230,245
797,20220104,264
798,20220105,409
799,20220106,274
800,20220107,317
801,20220110,437
802,20220111,264
803,20220112,240
804,20220113,164
805,20220114,235
806,20220117,259
807,20220118,264
808,20220119,274
809,20220120,211
810,20220121,173
811,20220124,365
812,20220125,466
813,20220126,283
814,20220127,524
815,20220128,414
816,20220203,409
817,20220204,380
818,20220207,626
819,20220208,250
820,20220209,202
821,20220210,183
822,20220211,288
823,20220214,428
824,20220215,298
825,20220216,125
826,20220217,347
827,20220218,187
828,20220221,293
829,20220222,289
830,20220223,235
831,20220224,226
832,20220225,269
833,20220228,169
834,20220302,226
835,20220303,236
836,20220304,520
837,20220307,275
838,20220308,346
839,20220310,197
840,20220311,255
841,20220314,241
842,20220315,203
843,20220316,173
844,20220317,211
845,20220318,255
846,20220321,342
847,20220322,279
848,20220323,265
849,20220324,168
850,20220325,309
851,20220328,270
852,20220329,240
