,date,y_minmax
24231,20200113,83
24308,20200114,73
24385,20200115,124
24462,20200116,65
24539,20200117,133
24616,20200120,92
24693,20200121,55
24770,20200122,69
24847,20200123,74
24924,20200128,161
25001,20200129,65
25078,20200130,78
25155,20200131,74
25232,20200203,129
25309,20200204,129
25386,20200205,125
25463,20200206,93
25540,20200207,51
25617,20200210,171
25694,20200211,106
25771,20200212,153
25848,20200213,88
25925,20200214,60
26002,20200217,55
26079,20200218,101
26156,20200219,55
26233,20200220,101
26310,20200221,134
26387,20200224,175
26464,20200225,148
26541,20200226,199
26618,20200227,115
26695,20200228,97
26772,20200302,115
26849,20200303,101
26926,20200304,236
27003,20200305,185
27080,20200306,83
27157,20200309,120
27234,20200310,258
27311,20200311,129
27388,20200312,157
27465,20200313,365
27537,20200316,420
27614,20200317,249
27691,20200318,157
27768,20200319,452
27840,20200320,420
27917,20200323,457
27994,20200324,175
28071,20200325,531
28148,20200326,752
28225,20200327,231
28302,20200330,235
28379,20200331,157
28456,20200401,102
28533,20200402,171
28610,20200403,175
28687,20200406,129
28764,20200407,102
28841,20200408,139
28918,20200409,88
28995,20200410,120
29072,20200413,83
29149,20200414,37
29226,20200416,125
29303,20200417,87
29380,20200420,134
29457,20200421,64
29534,20200422,111
29611,20200423,97
29688,20200424,83
29765,20200427,87
29842,20200428,70
29919,20200429,84
29996,20200504,282
30073,20200506,141
30150,20200507,52
30227,20200508,112
30304,20200511,66
30381,20200512,94
30458,20200513,80
30535,20200514,66
30612,20200515,70
30689,20200518,99
30766,20200519,98
30843,20200520,108
30920,20200521,61
30997,20200522,85
31074,20200525,61
31151,20200526,89
31228,20200527,42
31305,20200528,71
31382,20200529,66
31459,20200601,90
31536,20200602,80
31613,20200603,216
31690,20200604,291
31767,20200605,117
31844,20200608,197
31921,20200609,131
31998,20200610,155
32075,20200611,155
32152,20200612,164
32229,20200615,118
32306,20200616,136
32383,20200617,136
32460,20200618,122
32537,20200619,216
32614,20200622,127
32691,20200623,136
32768,20200624,103
32845,20200625,150
32922,20200626,75
32999,20200629,99
33076,20200630,65
33153,20200701,132
33230,20200702,94
33307,20200703,94
33384,20200706,79
33461,20200707,94
33538,20200708,117
33615,20200709,75
33692,20200710,169
33769,20200713,89
33846,20200714,66
33923,20200715,90
34000,20200716,80
34077,20200717,146
34154,20200720,103
34231,20200721,80
34308,20200722,118
34385,20200723,150
34462,20200724,117
34539,20200727,211
34616,20200728,136
34693,20200729,122
34770,20200730,66
34847,20200731,183
34924,20200803,137
35001,20200804,136
35078,20200805,85
35155,20200806,160
35232,20200807,137
35309,20200810,136
35386,20200811,150
35463,20200812,136
35540,20200813,85
35617,20200814,117
35694,20200818,240
35771,20200819,122
35848,20200820,108
35925,20200821,164
36002,20200824,329
36079,20200825,150
36156,20200826,108
36233,20200827,94
36310,20200828,122
36387,20200831,127
36464,20200901,174
36541,20200902,99
36618,20200903,113
36695,20200904,207
36772,20200907,164
36849,20200908,104
36926,20200909,98
37003,20200910,75
37080,20200911,118
37157,20200914,51
37234,20200915,76
37311,20200916,80
37388,20200917,90
37465,20200918,56
37542,20200921,104
37619,20200922,99
37696,20200923,89
37773,20200924,94
37850,20200925,94
37927,20200928,80
38004,20200929,61
38081,20201005,117
38158,20201006,65
38235,20201007,52
38312,20201008,66
38389,20201012,108
38466,20201013,85
38543,20201014,66
38620,20201015,108
38697,20201016,61
38774,20201019,131
38851,20201020,89
38928,20201021,90
39005,20201022,94
39082,20201023,75
39159,20201026,108
39236,20201027,104
39313,20201028,65
39390,20201029,66
39467,20201030,146
39544,20201102,132
39621,20201103,142
39698,20201104,71
39775,20201105,136
39852,20201106,80
39929,20201109,99
40006,20201110,155
40083,20201111,132
40160,20201112,104
40237,20201113,127
40314,20201116,231
40391,20201117,75
40468,20201118,169
40545,20201119,84
40622,20201120,94
40699,20201123,80
40776,20201124,99
40853,20201125,132
40930,20201126,118
41007,20201127,80
41084,20201130,165
41161,20201201,132
41238,20201202,127
41392,20201204,151
41469,20201207,222
41546,20201208,160
41623,20201209,127
41700,20201210,183
41777,20201211,161
41854,20201214,217
41931,20201215,85
42008,20201216,117
42085,20201217,146
42162,20201218,123
42239,20201221,70
42316,20201222,118
42393,20201223,61
42470,20201224,212
42547,20201228,226
42624,20201229,452
42701,20201230,108
42843,20210105,151
42920,20210106,273
42997,20210107,118
43074,20210108,156
43151,20210111,282
43228,20210112,471
43305,20210113,283
43382,20210114,523
43459,20210115,424
43536,20210118,457
43613,20210119,240
43690,20210120,221
43767,20210121,211
43844,20210122,264
43921,20210125,198
43998,20210126,103
44075,20210127,150
44152,20210128,217
44229,20210129,165
44306,20210201,325
44383,20210202,216
44460,20210203,188
44537,20210204,141
44614,20210205,174
44691,20210208,321
44768,20210209,169
44845,20210210,128
44922,20210215,170
44999,20210216,103
45076,20210217,203
45153,20210218,136
45230,20210219,175
45307,20210222,245
45384,20210223,221
45461,20210224,217
45538,20210225,113
45615,20210226,250
45692,20210302,174
45769,20210303,151
45846,20210304,127
45923,20210305,94
46000,20210308,137
46077,20210309,141
46154,20210310,128
46231,20210311,132
46308,20210312,189
46385,20210315,269
46462,20210316,89
46539,20210317,85
46616,20210318,81
46693,20210319,62
46770,20210322,179
46847,20210323,90
46924,20210324,123
47001,20210325,104
47078,20210326,108
47155,20210329,217
47232,20210330,85
47309,20210331,99
47386,20210401,94
47463,20210402,117
47540,20210405,165
47617,20210406,108
47694,20210407,103
47771,20210408,165
47848,20210409,66
47925,20210412,99
48002,20210413,85
48079,20210414,104
48156,20210415,75
48233,20210416,85
48310,20210419,99
48387,20210420,113
48464,20210421,165
48541,20210422,66
48618,20210423,212
48695,20210426,94
48772,20210427,80
48849,20210428,75
48926,20210429,101
49003,20210430,162
49080,20210503,168
49157,20210504,82
49234,20210506,82
49311,20210507,53
49388,20210510,43
49465,20210511,38
49542,20210512,77
49619,20210513,211
49696,20210514,125
49773,20210517,120
49850,20210518,105
49927,20210520,158
50004,20210521,91
50081,20210524,182
50158,20210525,100
50235,20210526,86
50312,20210527,86
