,date,y_rate_1255
0,20181001,-9
1,20181002,-149
2,20181004,-36
3,20181005,90
4,20181008,-45
5,20181010,50
6,20181011,-149
7,20181012,-32
8,20181015,14
9,20181016,-32
10,20181017,-45
11,20181018,-23
12,20181019,139
13,20181022,-49
14,20181023,23
15,20181024,-175
16,20181025,108
17,20181026,144
18,20181029,-184
19,20181030,-27
20,20181031,136
21,20181101,-280
22,20181102,406
23,20181105,136
24,20181106,131
25,20181107,-234
26,20181108,-194
27,20181109,-32
28,20181112,-36
29,20181113,113
30,20181114,-36
31,20181115,257
32,20181116,-50
33,20181119,41
34,20181120,27
35,20181121,36
36,20181122,27
37,20181123,-14
38,20181126,27
39,20181127,27
40,20181128,104
41,20181129,-90
42,20181130,-126
43,20181203,-45
44,20181204,-86
45,20181205,-49
46,20181206,-14
47,20181207,22
48,20181210,59
49,20181211,-14
50,20181212,36
51,20181213,-54
52,20181214,0
53,20181217,-59
54,20181218,18
55,20181219,5
56,20181220,-5
57,20181221,-9
58,20181224,5
59,20181226,-4
60,20181227,-68
61,20181228,-59
62,20190102,-100
63,20190103,-172
64,20190104,50
65,20190107,-9
66,20190108,-122
67,20190109,22
68,20190110,-63
69,20190111,9
70,20190114,-9
71,20190115,40
72,20190116,76
73,20190117,-40
74,20190118,31
75,20190121,27
76,20190122,76
77,20190123,36
78,20190124,85
79,20190125,46
80,20190128,-72
81,20190129,154
82,20190130,127
83,20190131,-135
84,20190201,-103
85,20190207,-117
86,20190208,-45
87,20190211,91
88,20190212,-9
89,20190213,22
90,20190214,374
91,20190215,54
92,20190218,-9
93,20190219,-104
94,20190220,14
95,20190221,-45
96,20190222,40
97,20190225,4
98,20190226,-23
99,20190227,9
100,20190228,-320
101,20190304,-194
102,20190305,-32
103,20190306,22
104,20190307,-55
105,20190308,-63
106,20190311,14
107,20190312,0
108,20190313,117
109,20190314,99
110,20190315,22
111,20190318,14
112,20190319,-4
113,20190320,275
114,20190321,-18
115,20190322,-13
116,20190325,-95
117,20190326,-41
118,20190327,-45
119,20190328,-72
120,20190329,68
121,20190401,9
122,20190402,13
123,20190403,198
124,20190404,-50
125,20190405,14
126,20190408,-22
127,20190409,-4
128,20190410,94
129,20190411,32
130,20190412,50
131,20190415,-27
132,20190416,45
133,20190417,-31
134,20190418,-99
135,20190419,-54
136,20190422,91
137,20190423,5
138,20190424,82
139,20190425,-72
140,20190426,-4
141,20190429,229
142,20190430,5
143,20190502,-19
144,20190503,-46
145,20190507,87
146,20190508,-4
147,20190509,-316
148,20190510,-23
149,20190513,-46
150,20190514,-124
151,20190515,-32
152,20190516,-133
153,20190517,-192
154,20190520,-142
155,20190521,-174
156,20190522,50
157,20190523,-27
158,20190524,96
159,20190527,27
160,20190528,64
161,20190529,37
162,20190530,83
163,20190531,-46
164,20190603,124
165,20190604,-73
166,20190605,-69
167,20190607,-174
168,20190610,73
169,20190611,55
170,20190612,-51
171,20190613,14
172,20190614,-37
173,20190617,27
174,20190618,18
175,20190619,28
176,20190620,18
177,20190621,-32
178,20190624,-50
179,20190625,-18
180,20190626,-10
181,20190627,-27
182,20190628,-10
183,20190701,-5
184,20190702,-55
185,20190703,-64
186,20190704,165
187,20190705,0
188,20190708,-96
189,20190709,-55
190,20190710,-51
191,20190711,-18
192,20190712,-9
193,20190715,-19
194,20190716,-14
195,20190717,-36
196,20190718,32
197,20190719,9
198,20190722,-14
199,20190723,-50
200,20190724,-202
201,20190725,51
202,20190726,23
203,20190729,69
204,20190730,-46
205,20190731,-5
206,20190801,-27
207,20190802,14
208,20190805,-87
209,20190806,-202
210,20190807,-74
211,20190808,-101
212,20190809,-37
213,20190812,-28
214,20190813,-41
215,20190814,-14
216,20190816,37
217,20190819,0
218,20190820,110
219,20190821,4
220,20190822,-46
221,20190823,-14
222,20190826,-41
223,20190827,-74
224,20190828,88
225,20190829,-9
226,20190830,-65
227,20190902,-13
228,20190903,5
229,20190904,290
230,20190905,-120
231,20190906,0
232,20190909,46
233,20190910,55
234,20190911,-18
235,20190916,-14
236,20190917,-32
237,20190918,-18
238,20190919,96
239,20190920,32
240,20190923,55
241,20190924,92
242,20190925,-175
243,20190926,-78
244,20190927,-14
245,20190930,28
246,20191001,-50
247,20191002,-184
248,20191004,-133
249,20191007,-14
250,20191008,73
251,20191010,69
252,20191011,-64
253,20191014,-106
254,20191015,18
255,20191016,19
256,20191017,-46
257,20191018,-175
258,20191021,10
259,20191022,-28
260,20191023,32
261,20191024,115
262,20191025,18
263,20191028,-28
264,20191029,23
265,20191030,-73
266,20191031,-245
267,20191101,97
268,20191104,28
269,20191105,106
270,20191106,-4
271,20191107,-19
272,20191108,-55
273,20191111,14
274,20191112,171
275,20191113,10
276,20191114,115
277,20191115,42
278,20191118,32
279,20191119,-23
280,20191120,-46
281,20191121,-55
282,20191122,19
283,20191125,-14
284,20191126,-143
285,20191127,-23
286,20191128,-51
287,20191129,-19
288,20191202,-69
289,20191203,-9
290,20191204,37
291,20191205,60
292,20191206,28
293,20191209,5
294,20191210,55
295,20191211,-33
296,20191212,65
297,20191213,23
298,20191216,-60
299,20191217,-19
300,20191218,-41
301,20191219,4
302,20191220,-19
303,20191223,23
304,20191224,-14
305,20191226,97
306,20191227,-162
307,20191230,-124
308,20200102,-69
309,20200103,-32
310,20200106,9
311,20200107,41
312,20200108,-88
313,20200109,139
314,20200110,134
315,20200113,73
316,20200114,-5
317,20200115,-46
318,20200116,185
319,20200117,-19
320,20200120,-83
321,20200121,-115
322,20200122,153
323,20200123,-79
324,20200128,83
325,20200129,-106
326,20200130,-134
327,20200131,-374
328,20200203,56
329,20200204,19
330,20200205,-124
331,20200206,282
332,20200207,70
333,20200210,60
334,20200211,-124
335,20200212,143
336,20200213,-189
337,20200214,-60
338,20200217,-23
339,20200218,-28
340,20200219,0
341,20200220,93
342,20200221,-129
343,20200224,-120
344,20200225,152
345,20200226,-143
346,20200227,-92
347,20200228,-70
348,20200302,-37
349,20200303,-360
350,20200304,60
351,20200305,157
352,20200306,32
353,20200309,-55
354,20200310,14
355,20200311,-324
356,20200312,240
357,20200313,1066
358,20200316,-494
359,20200317,-83
360,20200318,-1122
361,20200319,-87
362,20200320,618
363,20200323,-310
364,20200324,697
365,20200325,379
366,20200326,-466
367,20200327,51
368,20200330,337
369,20200331,116
370,20200401,-947
371,20200402,203
372,20200403,60
373,20200406,365
374,20200407,369
375,20200408,-176
376,20200409,27
377,20200410,189
378,20200413,-189
379,20200414,9
380,20200416,106
381,20200417,18
382,20200420,-217
383,20200421,180
384,20200422,406
385,20200423,152
386,20200424,-147
387,20200427,60
388,20200428,103
389,20200429,-9
390,20200504,-272
391,20200506,212
392,20200507,-80
393,20200508,-65
394,20200511,-207
395,20200512,80
396,20200513,239
397,20200514,61
398,20200515,-14
399,20200518,-38
400,20200519,99
401,20200520,42
402,20200521,10
403,20200522,28
404,20200525,122
405,20200526,61
406,20200527,-61
407,20200528,84
408,20200529,84
409,20200601,113
410,20200602,51
411,20200603,117
412,20200604,-61
413,20200605,225
414,20200608,-19
415,20200609,108
416,20200610,19
417,20200611,-89
418,20200612,-10
419,20200615,-1173
420,20200616,216
421,20200617,164
422,20200618,-42
423,20200619,230
424,20200622,-197
425,20200623,-70
426,20200624,-42
427,20200625,-94
428,20200626,-4
429,20200629,-70
430,20200630,-258
431,20200701,-225
432,20200702,155
433,20200703,56
434,20200706,38
435,20200707,-244
436,20200708,-14
437,20200709,-99
438,20200710,-71
439,20200713,70
440,20200714,160
441,20200715,108
442,20200716,-28
443,20200717,-28
444,20200720,-47
445,20200721,-71
446,20200722,-99
447,20200723,75
448,20200724,52
449,20200727,-94
450,20200728,164
451,20200729,28
452,20200730,-85
453,20200731,-184
454,20200803,66
455,20200804,47
456,20200805,85
457,20200806,52
458,20200807,169
459,20200810,104
460,20200811,-136
461,20200812,286
462,20200813,-292
463,20200814,38
464,20200818,-691
465,20200819,-146
466,20200820,-217
467,20200821,-146
468,20200824,-5
469,20200825,42
470,20200826,123
471,20200827,-231
472,20200828,-206
