,date,y_rate_1510
0,20181001,-4
1,20181002,-5
2,20181004,-14
3,20181005,-9
4,20181008,-50
5,20181010,-18
6,20181011,-54
7,20181012,-32
8,20181015,41
9,20181016,-23
10,20181017,9
11,20181018,13
12,20181019,0
13,20181022,9
14,20181023,126
15,20181024,9
16,20181025,117
17,20181026,36
18,20181029,-63
19,20181030,-68
20,20181031,23
21,20181101,-41
22,20181102,18
23,20181105,136
24,20181106,126
25,20181107,-9
26,20181108,-140
27,20181109,-46
28,20181112,50
29,20181113,-27
30,20181114,36
31,20181115,189
32,20181116,-18
33,20181119,63
34,20181120,4
35,20181121,-9
36,20181122,5
37,20181123,45
38,20181126,31
39,20181127,9
40,20181128,14
41,20181129,14
42,20181130,41
43,20181203,-9
44,20181204,40
45,20181205,64
46,20181206,-14
47,20181207,-14
48,20181210,54
49,20181211,14
50,20181212,-14
51,20181213,9
52,20181214,9
53,20181217,-45
54,20181218,9
55,20181219,-31
56,20181220,27
57,20181221,14
58,20181224,5
59,20181226,18
60,20181227,41
61,20181228,-41
62,20190102,27
63,20190103,-27
64,20190104,-22
65,20190107,-23
66,20190108,9
67,20190109,13
68,20190110,9
69,20190111,-18
70,20190114,-9
71,20190115,13
72,20190116,27
73,20190117,-49
74,20190118,13
75,20190121,14
76,20190122,13
77,20190123,59
78,20190124,22
79,20190125,0
80,20190128,9
81,20190129,23
82,20190130,59
83,20190131,-49
84,20190201,-22
85,20190207,-54
86,20190208,-18
87,20190211,41
88,20190212,-45
89,20190213,4
90,20190214,189
91,20190215,-4
92,20190218,36
93,20190219,-9
94,20190220,-9
95,20190221,0
96,20190222,36
97,20190225,-5
98,20190226,-14
99,20190227,-27
100,20190228,-126
101,20190304,-13
102,20190305,27
103,20190306,22
104,20190307,27
105,20190308,-45
106,20190311,14
107,20190312,-5
108,20190313,-36
109,20190314,-68
110,20190315,63
111,20190318,-9
112,20190319,9
113,20190320,45
114,20190321,22
115,20190322,0
116,20190325,-45
117,20190326,-27
118,20190327,-31
119,20190328,9
120,20190329,59
121,20190401,5
122,20190402,13
123,20190403,36
124,20190404,-18
125,20190405,-18
126,20190408,18
127,20190409,-99
128,20190410,76
129,20190411,23
130,20190412,27
131,20190415,-14
132,20190416,27
133,20190417,-18
134,20190418,-27
135,20190419,0
136,20190422,-4
137,20190423,-22
138,20190424,-40
139,20190425,-36
140,20190426,-13
141,20190429,55
142,20190430,-41
143,20190502,0
144,20190503,-46
145,20190507,64
146,20190508,-41
147,20190509,-55
148,20190510,18
149,20190513,9
150,20190514,-18
151,20190515,-4
152,20190516,-9
153,20190517,19
154,20190520,19
155,20190521,-46
156,20190522,-23
157,20190523,-5
158,20190524,5
159,20190527,9
160,20190528,-9
161,20190529,-18
162,20190530,28
163,20190531,-41
164,20190603,23
165,20190604,-37
166,20190605,13
167,20190607,69
168,20190610,41
169,20190611,-22
170,20190612,-5
171,20190613,-92
172,20190614,13
173,20190617,23
174,20190618,14
175,20190619,14
176,20190620,18
177,20190621,9
178,20190624,-13
179,20190625,5
180,20190626,18
181,20190627,42
182,20190628,-14
183,20190701,-9
184,20190702,-50
185,20190703,-14
186,20190704,41
187,20190705,-13
188,20190708,-37
189,20190709,-32
190,20190710,-37
191,20190711,-41
192,20190712,18
193,20190715,-19
194,20190716,-23
195,20190717,-13
196,20190718,32
197,20190719,-41
198,20190722,-14
199,20190723,0
200,20190724,-9
201,20190725,32
202,20190726,-18
203,20190729,9
204,20190730,-10
205,20190731,-97
206,20190801,5
207,20190802,-14
208,20190805,-46
209,20190806,-27
210,20190807,-19
211,20190808,9
212,20190809,-37
213,20190812,0
214,20190813,-37
215,20190814,4
216,20190816,46
217,20190819,18
218,20190820,-28
219,20190821,-23
220,20190822,-46
221,20190823,-27
222,20190826,-23
223,20190827,32
224,20190828,19
225,20190829,14
226,20190830,-23
227,20190902,5
228,20190903,42
229,20190904,152
230,20190905,-32
231,20190906,18
232,20190909,14
233,20190910,-23
234,20190911,14
235,20190916,5
236,20190917,-9
237,20190918,5
238,20190919,23
239,20190920,-28
240,20190923,14
241,20190924,46
242,20190925,-51
243,20190926,32
244,20190927,-23
245,20190930,9
246,20191001,-9
247,20191002,-55
248,20191004,-142
249,20191007,-46
250,20191008,41
251,20191010,-73
252,20191011,-18
253,20191014,-14
254,20191015,14
255,20191016,14
256,20191017,32
257,20191018,-5
258,20191021,37
259,20191022,41
260,20191023,-18
261,20191024,-27
262,20191025,14
263,20191028,-5
264,20191029,-19
265,20191030,-14
266,20191031,-10
267,20191101,37
268,20191104,19
269,20191105,-4
270,20191106,-46
271,20191107,-5
272,20191108,-28
273,20191111,-120
274,20191112,33
275,20191113,33
276,20191114,106
277,20191115,60
278,20191118,42
279,20191119,28
280,20191120,-27
281,20191121,14
282,20191122,-9
283,20191125,4
284,20191126,-88
285,20191127,-4
286,20191128,-5
287,20191129,-19
288,20191202,9
289,20191203,-19
290,20191204,46
291,20191205,-4
292,20191206,19
293,20191209,-14
294,20191210,5
295,20191211,-23
296,20191212,14
297,20191213,10
298,20191216,-14
299,20191217,-32
300,20191218,-32
301,20191219,14
302,20191220,23
303,20191223,-9
304,20191224,0
305,20191226,37
306,20191227,-5
307,20191230,-73
308,20200102,-46
309,20200103,37
310,20200106,-28
311,20200107,-5
312,20200108,5
313,20200109,120
314,20200110,-4
315,20200113,0
316,20200114,-5
317,20200115,14
318,20200116,37
319,20200117,-51
320,20200120,18
321,20200121,-5
322,20200122,-9
323,20200123,-5
324,20200128,18
325,20200129,-60
326,20200130,28
327,20200131,-74
328,20200203,74
329,20200204,-9
330,20200205,42
331,20200206,-19
332,20200207,139
333,20200210,19
334,20200211,-37
335,20200212,0
336,20200213,-116
337,20200214,0
338,20200217,-32
339,20200218,9
340,20200219,88
341,20200220,-51
342,20200221,5
343,20200224,-46
344,20200225,51
345,20200226,-74
346,20200227,-83
347,20200228,9
348,20200302,41
349,20200303,19
350,20200304,23
351,20200305,-27
352,20200306,92
353,20200309,-9
354,20200310,9
355,20200311,13
356,20200312,199
357,20200313,133
358,20200316,-97
359,20200317,101
360,20200318,-392
361,20200319,-41
362,20200320,244
363,20200323,110
364,20200324,327
365,20200325,51
366,20200326,-300
367,20200327,129
368,20200330,-60
369,20200331,102
370,20200401,-365
371,20200402,18
372,20200403,0
373,20200406,42
374,20200407,18
375,20200408,-333
376,20200409,27
377,20200410,28
378,20200413,-51
379,20200414,14
380,20200416,18
381,20200417,27
382,20200420,23
383,20200421,101
384,20200422,120
385,20200423,-18
386,20200424,28
387,20200427,9
388,20200428,70
389,20200429,-33
390,20200504,0
391,20200506,57
392,20200507,-71
393,20200508,-23
394,20200511,14
395,20200512,-66
396,20200513,131
397,20200514,122
398,20200515,-47
399,20200518,9
400,20200519,0
401,20200520,9
402,20200521,10
403,20200522,61
404,20200525,14
405,20200526,19
406,20200527,9
407,20200528,-28
408,20200529,-141
409,20200601,28
410,20200602,-33
411,20200603,-90
412,20200604,-52
413,20200605,0
414,20200608,18
415,20200609,18
416,20200610,-14
417,20200611,272
418,20200612,-24
419,20200615,-389
420,20200616,178
421,20200617,56
422,20200618,47
423,20200619,9
424,20200622,-75
425,20200623,-14
426,20200624,-51
427,20200625,-145
428,20200626,-14
429,20200629,61
430,20200630,-70
431,20200701,19
432,20200702,103
433,20200703,56
434,20200706,-42
435,20200707,-47
436,20200708,24
437,20200709,-47
438,20200710,14
439,20200713,-5
440,20200714,122
441,20200715,5
442,20200716,-70
443,20200717,0
444,20200720,-10
445,20200721,0
446,20200722,-42
447,20200723,14
448,20200724,24
449,20200727,9
450,20200728,19
451,20200729,-24
452,20200730,-61
453,20200731,5
454,20200803,14
455,20200804,38
456,20200805,14
457,20200806,9
458,20200807,0
459,20200810,24
460,20200811,-99
461,20200812,164
462,20200813,14
463,20200814,-23
464,20200818,-94
465,20200819,-52
466,20200820,4
467,20200821,18
468,20200824,89
469,20200825,14
470,20200826,38
471,20200827,-99
472,20200828,-28
473,20200831,-183
474,20200901,28
475,20200902,19
476,20200903,38
477,20200904,33
478,20200907,-23
479,20200908,33
480,20200909,-99
481,20200910,-94
482,20200911,42
483,20200914,33
484,20200915,-14
485,20200916,32
486,20200917,-84
487,20200918,10
488,20200921,-28
489,20200922,37
490,20200923,-23
491,20200924,-85
492,20200925,-33
493,20200928,-14
494,20200929,33
495,20201005,-38
496,20201006,5
497,20201007,33
498,20201008,-118
499,20201012,-14
500,20201013,33
501,20201014,33
502,20201015,-4
503,20201016,-28
504,20201019,-14
505,20201020,51
506,20201021,28
507,20201022,14
508,20201023,-19
509,20201026,0
510,20201027,38
511,20201028,56
512,20201029,0
513,20201030,-75
514,20201102,4
515,20201103,38
516,20201104,47
517,20201105,-10
518,20201106,5
519,20201109,-24
520,20201110,-24
521,20201111,-28
522,20201112,-94
523,20201113,23
524,20201116,-28
525,20201117,29
526,20201118,-28
527,20201119,61
528,20201120,19
529,20201123,-4
530,20201124,-4
531,20201125,14
532,20201126,65
533,20201127,28
534,20201130,-155
535,20201201,-47
536,20201202,9
537,20201203,51
538,20201204,57
539,20201207,89
540,20201208,-122
541,20201209,142
542,20201210,-9
543,20201211,-29
544,20201214,-19
545,20201215,-19
546,20201216,14
547,20201217,-23
548,20201218,-37
549,20201221,28
550,20201222,-66
551,20201223,-9
552,20201224,14
553,20201228,-19
554,20201229,127
555,20201230,23
556,20210104,0
557,20210105,117
558,20210106,-141
559,20210107,-175
560,20210108,14
561,20210111,-132
562,20210112,142
563,20210113,47
564,20210114,-81
565,20210115,-89
566,20210118,-264
567,20210119,-19
568,20210120,-18
569,20210121,170
570,20210122,-174
571,20210125,-23
572,20210126,52
573,20210127,-14
574,20210128,47
575,20210129,-118
576,20210201,128
577,20210202,-104
578,20210203,109
579,20210204,29
580,20210205,-42
581,20210208,-160
582,20210209,-132
583,20210210,-71
584,20210215,-99
585,20210216,146
586,20210217,24
587,20210218,-56
588,20210219,57
589,20210222,14
590,20210223,-61
591,20210224,-127
592,20210225,103
593,20210226,151
594,20210302,66
595,20210303,29
596,20210304,-19
597,20210305,-76
598,20210308,-5
599,20210309,-137
600,20210310,-80
601,20210311,5
602,20210312,-61
603,20210315,-28
604,20210316,-29
605,20210317,-14
606,20210318,-33
607,20210319,-47
608,20210322,-19
609,20210323,19
610,20210324,24
611,20210325,47
612,20210326,-43
613,20210329,14
614,20210330,-57
615,20210331,-23
616,20210401,52
617,20210402,4
618,20210405,5
619,20210406,-19
620,20210407,19
621,20210408,-37
622,20210409,14
623,20210412,42
624,20210413,28
625,20210414,-43
626,20210415,-108
627,20210416,-19
628,20210419,-33
629,20210420,0
630,20210421,-61
631,20210422,-52
632,20210423,-19
633,20210426,108
634,20210427,-10
635,20210428,0
636,20210429,-34
637,20210430,34
638,20210503,10
639,20210504,48
640,20210506,38
641,20210507,-52
642,20210510,-48
643,20210511,-33
644,20210512,48
645,20210513,62
646,20210514,-62
647,20210517,-10
648,20210518,-20
649,20210520,38
650,20210521,-38
651,20210524,-5
652,20210525,43
653,20210526,0
654,20210527,-72
655,20210528,-91
656,20210531,62
657,20210601,24
658,20210602,10
659,20210603,-53
660,20210604,38
661,20210607,24
662,20210608,-29
663,20210609,-120
664,20210610,-67
665,20210611,9
666,20210614,14
667,20210615,29
668,20210616,10
669,20210617,14
670,20210618,-53
671,20210621,63
672,20210622,-5
673,20210623,-24
674,20210624,29
675,20210625,-15
676,20210628,9
677,20210629,34
678,20210630,-19
679,20210701,0
680,20210702,-24
681,20210705,4
682,20210706,48
683,20210707,34
684,20210708,-96
685,20210709,62
686,20210712,-5
687,20210713,0
688,20210714,24
689,20210715,9
690,20210716,24
691,20210719,-14
692,20210720,19
693,20210721,-38
694,20210722,24
695,20210723,-5
696,20210726,-77
697,20210727,-72
698,20210728,139
699,20210729,24
700,20210730,0
701,20210802,24
702,20210803,53
703,20210804,14
704,20210805,-9
705,20210806,48
706,20210809,-24
707,20210810,53
708,20210811,-29
709,20210812,43
710,20210813,-9
711,20210817,34
712,20210818,-95
713,20210819,-130
714,20210820,106
715,20210823,-96
716,20210824,67
717,20210825,0
718,20210826,5
719,20210827,-14
720,20210830,-14
721,20210831,96
722,20210901,24
723,20210902,-20
724,20210903,14
725,20210906,43
726,20210907,29
727,20210908,5
728,20210909,-14
729,20210910,-24
730,20210913,19
731,20210914,-57
732,20210915,-48
733,20210916,10
734,20210917,72
735,20210923,-24
736,20210924,-29
737,20210927,-5
738,20210928,-53
739,20210929,38
740,20210930,-34
741,20211001,-53
742,20211005,0
743,20211006,-120
744,20211007,20
745,20211008,-5
746,20211012,14
747,20211013,-71
748,20211014,20
749,20211015,-39
750,20211018,-24
751,20211019,-29
752,20211020,-43
753,20211021,-5
754,20211022,14
755,20211025,-19
756,20211026,-33
757,20211027,-9
758,20211028,-86
759,20211029,15
760,20211101,-82
761,20211102,9
762,20211103,34
763,20211104,48
764,20211105,77
765,20211108,-101
766,20211109,5
767,20211110,-10
768,20211111,72
769,20211112,-58
770,20211115,-29
771,20211116,-14
772,20211117,39
773,20211118,-58
774,20211119,-34
775,20211122,-24
776,20211123,-29
777,20211124,-48
778,20211125,-14
779,20211126,-5
780,20211129,-5
781,20211130,159
782,20211201,-5
783,20211202,43
784,20211203,-5
785,20211206,-53
786,20211207,38
787,20211208,-5
788,20211209,53
789,20211210,-58
790,20211213,-19
791,20211214,-34
792,20211215,15
793,20211216,82
794,20211217,24
795,20211220,33
796,20211221,-96
797,20211222,57
798,20211223,-14
799,20211224,-5
800,20211227,-48
801,20211228,72
802,20211229,-15
803,20211230,63
804,20220103,-5
805,20220104,0
806,20220105,100
807,20220106,-48
808,20220107,15
809,20220110,62
810,20220111,10
811,20220112,-5
812,20220113,5
813,20220114,-29
814,20220117,192
815,20220118,29
816,20220119,48
817,20220120,58
818,20220121,29
819,20220124,14
820,20220125,-38
821,20220126,-101
822,20220127,-44
823,20220128,-34
824,20220203,-125
825,20220204,43
826,20220207,53
827,20220208,58
828,20220209,34
829,20220210,-43
830,20220211,-5
831,20220214,24
832,20220215,43
833,20220216,5
834,20220217,-57
835,20220218,-9
836,20220221,67
837,20220222,53
838,20220223,-53
839,20220224,-63
840,20220225,14
841,20220228,120
842,20220302,-102
843,20220303,29
844,20220304,-14
845,20220307,10
846,20220308,-111
847,20220310,63
848,20220311,10
849,20220314,38
850,20220315,0
851,20220316,39
852,20220317,-28
853,20220318,34
854,20220321,-19
855,20220322,-5
856,20220323,29
857,20220324,10
858,20220325,-29
859,20220328,33
860,20220329,24
861,20220330,-10
862,20220331,34
863,20220401,34
864,20220404,-10
865,20220405,-48
866,20220406,-14
867,20220407,-4
868,20220408,5
869,20220411,29
870,20220412,19
871,20220413,14
872,20220414,0
873,20220415,-14
874,20220418,-33
875,20220419,10
876,20220420,-14
877,20220421,-58
878,20220422,-29
879,20220425,-15
880,20220426,0
881,20220427,92
882,20220428,29
883,20220429,5
884,20220502,5
885,20220503,-93
886,20220504,97
887,20220506,-29
888,20220509,5
889,20220510,-10
890,20220511,-5
891,20220512,-49
892,20220513,-10
893,20220516,-87
894,20220517,-5
895,20220518,-54
896,20220519,68
897,20220520,-5
898,20220523,54
899,20220524,-68
900,20220525,-73
901,20220526,122
902,20220527,-10
903,20220530,10
904,20220531,-39
905,20220602,0
906,20220603,-10
907,20220607,10
908,20220608,-5
909,20220609,9
910,20220610,-19
911,20220613,-117
912,20220614,-64
913,20220615,73
914,20220616,-59
915,20220617,29
916,20220620,68
917,20220621,-5
918,20220622,-97
919,20220623,-44
920,20220624,-20
921,20220627,-44
922,20220628,132
923,20220629,-68
924,20220630,-63
925,20220701,93
926,20220704,19
927,20220705,39
928,20220706,5
929,20220707,-29
930,20220708,-78
931,20220711,-49
932,20220712,64
933,20220713,-10
934,20220714,25
935,20220715,14
936,20220718,19
937,20220719,44
938,20220720,-25
939,20220721,0
940,20220722,10
941,20220725,-59
942,20220726,-5
943,20220727,39
944,20220728,-39
945,20220729,-19
946,20220801,-5
947,20220802,-29
948,20220803,25
949,20220804,-5
950,20220805,-19
951,20220808,15
952,20220809,-10
953,20220810,15
954,20220811,58
955,20220812,0
956,20220816,-34
957,20220817,-34
958,20220818,-15
959,20220819,-39
960,20220822,-25
961,20220823,-78
962,20220824,-20
963,20220825,78
964,20220826,-10
965,20220829,-15
966,20220830,5
967,20220831,-5
968,20220901,-40
969,20220902,10
970,20220905,-5
971,20220906,5
972,20220907,54
973,20220908,15
974,20220913,-49
975,20220914,34
976,20220915,-20
977,20220916,64
978,20220919,0
979,20220920,0
980,20220921,-10
981,20220922,14
982,20220923,-34
983,20220926,-88
984,20220927,200
985,20220928,-78
986,20220929,-137
987,20220930,-5
988,20221004,10
989,20221005,-84
990,20221006,10
991,20221007,-10
992,20221011,35
993,20221012,53
994,20221013,-113
995,20221014,-4
996,20221017,5
997,20221018,39
998,20221019,-5
999,20221020,-20
1000,20221021,-15
1001,20221024,24
1002,20221025,-15
1003,20221026,-15
1004,20221027,15
1005,20221028,-39
1006,20221031,24
1007,20221101,34
1008,20221102,-34
1009,20221103,-113
1010,20221104,83
1011,20221107,9
1012,20221108,4
1013,20221109,5
1014,20221110,-133
1015,20221111,-14
1016,20221114,-30
1017,20221115,94
1018,20221116,-34
1019,20221117,-30
1020,20221118,-34
1021,20221121,-15
1022,20221122,-54
1023,20221123,-25
1024,20221124,5
1025,20221125,-40
1026,20221128,19
1027,20221129,10
1028,20221130,83
1029,20221201,-5
1030,20221202,-88
1031,20221205,-34
1032,20221206,-44
1033,20221207,-34
1034,20221208,30
1035,20221209,24
1036,20221212,-10
1037,20221213,-10
1038,20221214,15
1039,20221215,-25
1040,20221216,10
1041,20221219,-5
1042,20221220,15
1043,20221221,5
1044,20221222,30
1045,20221223,-25
1046,20221226,-25
1047,20221227,20
1048,20221228,5
1049,20221229,-64
1050,20230102,-34
1051,20230103,-39
1052,20230104,-29
1053,20230105,14
1054,20230106,-5
1055,20230109,15
1056,20230110,-15
1057,20230111,-40
1058,20230112,-9
1059,20230113,-50
1060,20230116,30
1061,20230117,19
1062,20230118,-5
1063,20230119,54
1064,20230120,25
1065,20230125,10
1066,20230126,0
1067,20230127,-44
1068,20230130,-45
1069,20230131,10
1070,20230201,84
1071,20230202,-25
1072,20230203,-25
1073,20230206,-236
1074,20230207,40
1075,20230208,0
1076,20230209,-29
1077,20230210,64
1078,20230213,20
1079,20230214,-15
1080,20230215,-9
1081,20230216,-24
1082,20230217,10
1083,20230220,59
1084,20230221,24
1085,20230222,-25
1086,20230223,-24
1087,20230224,-5
1088,20230227,89
1089,20230228,29
1090,20230302,5
1091,20230303,10
1092,20230306,35
1093,20230307,-93
1094,20230308,5
1095,20230309,-59
1096,20230310,-14
1097,20230313,-69
1098,20230314,-40
1099,20230315,5
1100,20230316,-5
1101,20230317,14
1102,20230320,-10
1103,20230321,0
1104,20230322,0
1105,20230323,49
1106,20230324,25
1107,20230327,-20
1108,20230328,79
1109,20230329,34
1110,20230330,-20
1111,20230331,-20
1112,20230403,15
1113,20230404,10
1114,20230405,24
1115,20230406,-25
1116,20230407,-20
1117,20230410,20
1118,20230411,-5
1119,20230412,-25
1120,20230413,123
1121,20230414,20
1122,20230417,9
1123,20230418,34
1124,20230419,-24
1125,20230420,69
1126,20230421,-5
1127,20230424,5
1128,20230425,-20
1129,20230426,10
1130,20230427,34
1131,20230428,35
1132,20230502,75
1133,20230503,20
1134,20230504,-50
1135,20230508,30
1136,20230509,15
1137,20230510,50
1138,20230511,-80
1139,20230512,-5
1140,20230515,20
1141,20230516,54
1142,20230517,-15
1143,20230518,19
1144,20230519,29
1145,20230522,15
1146,20230523,30
1147,20230524,-20
1148,20230525,-20
1149,20230526,20
1150,20230530,35
1151,20230531,-45
1152,20230601,5
1153,20230602,35
1154,20230605,5
1155,20230607,-50
1156,20230608,5
1157,20230609,0
1158,20230612,55
1159,20230613,50
1160,20230614,-15
1161,20230615,5
1162,20230616,35
1163,20230619,45
1164,20230620,40
1165,20230621,-5
1166,20230622,5
1167,20230623,-20
1168,20230626,15
1169,20230627,40
1170,20230628,-20
1171,20230629,-45
1172,20230630,0
1173,20230703,80
1174,20230704,5
1175,20230705,-40
1176,20230706,10
1177,20230707,-45
1178,20230710,-10
1179,20230711,75
1180,20230712,40
1181,20230713,-10
1182,20230714,55
