,date,y_rate_1025
0,20181001,63
1,20181002,-248
2,20181004,-117
3,20181005,-31
4,20181008,-185
5,20181010,-152
6,20181011,-387
7,20181012,157
8,20181015,-31
9,20181016,-135
10,20181017,-90
11,20181018,-167
12,20181019,265
13,20181022,212
14,20181023,-283
15,20181024,-121
16,20181025,248
17,20181026,-257
18,20181029,-310
19,20181030,-14
20,20181031,86
21,20181101,-289
22,20181102,352
23,20181105,167
24,20181106,-5
25,20181107,-221
26,20181108,-239
27,20181109,-95
28,20181112,0
29,20181113,339
30,20181114,-36
31,20181115,162
32,20181116,-18
33,20181119,50
34,20181120,-59
35,20181121,226
36,20181122,0
37,20181123,-145
38,20181126,95
39,20181127,190
40,20181128,145
41,20181129,-180
42,20181130,-230
43,20181203,0
44,20181204,-82
45,20181205,82
46,20181206,-126
47,20181207,-68
48,20181210,41
49,20181211,32
50,20181212,94
51,20181213,77
52,20181214,-54
53,20181217,-23
54,20181218,-49
55,20181219,73
56,20181220,-77
57,20181221,-31
58,20181224,59
59,20181226,-81
60,20181227,-54
61,20181228,-72
62,20190102,-429
63,20190103,-113
64,20190104,194
65,20190107,-99
66,20190108,-172
67,20190109,176
68,20190110,9
69,20190111,72
70,20190114,-149
71,20190115,162
72,20190116,139
73,20190117,-76
74,20190118,49
75,20190121,109
76,20190122,-50
77,20190123,109
78,20190124,81
79,20190125,298
80,20190128,-50
81,20190129,217
82,20190130,276
83,20190131,-76
84,20190201,-203
85,20190207,55
86,20190208,-63
87,20190211,104
88,20190212,23
89,20190213,-23
90,20190214,334
91,20190215,-162
92,20190218,-23
93,20190219,-73
94,20190220,68
95,20190221,158
96,20190222,117
97,20190225,22
98,20190226,-104
99,20190227,36
100,20190228,-411
101,20190304,-153
102,20190305,-81
103,20190306,-9
104,20190307,-194
105,20190308,-149
106,20190311,23
107,20190312,31
108,20190313,31
109,20190314,23
110,20190315,131
111,20190318,27
112,20190319,-63
113,20190320,280
114,20190321,-181
115,20190322,-95
116,20190325,-81
117,20190326,-63
118,20190327,104
119,20190328,68
120,20190329,167
121,20190401,27
122,20190402,4
123,20190403,293
124,20190404,-9
125,20190405,-4
126,20190408,-63
127,20190409,63
128,20190410,158
129,20190411,-49
130,20190412,63
131,20190415,-36
132,20190416,95
133,20190417,-9
134,20190418,-293
135,20190419,-63
136,20190422,-76
137,20190423,77
138,20190424,-297
139,20190425,5
140,20190426,50
141,20190429,363
142,20190430,92
143,20190502,36
144,20190503,-51
145,20190507,124
146,20190508,55
147,20190509,-550
148,20190510,-51
149,20190513,-142
150,20190514,73
151,20190515,37
152,20190516,-110
153,20190517,-284
154,20190520,-169
155,20190521,-41
156,20190522,193
157,20190523,83
158,20190524,-50
159,20190527,13
160,20190528,115
161,20190529,19
162,20190530,37
163,20190531,32
164,20190603,234
165,20190604,5
166,20190605,-143
167,20190607,19
168,20190610,252
169,20190611,88
170,20190612,-120
171,20190613,-23
172,20190614,-55
173,20190617,-41
174,20190618,37
175,20190619,23
176,20190620,96
177,20190621,18
178,20190624,10
179,20190625,-82
180,20190626,41
181,20190627,152
182,20190628,-37
183,20190701,-51
184,20190702,-119
185,20190703,-170
186,20190704,119
187,20190705,-18
188,20190708,-151
189,20190709,-96
190,20190710,-83
191,20190711,83
192,20190712,37
193,20190715,82
194,20190716,128
195,20190717,51
196,20190718,46
197,20190719,142
198,20190722,-32
199,20190723,18
200,20190724,-252
201,20190725,18
202,20190726,74
203,20190729,-50
204,20190730,23
205,20190731,-28
206,20190801,0
207,20190802,42
208,20190805,-193
209,20190806,83
210,20190807,-147
211,20190808,41
212,20190809,14
213,20190812,-9
214,20190813,-69
215,20190814,-171
216,20190816,110
217,20190819,69
218,20190820,248
219,20190821,27
220,20190822,-128
221,20190823,42
222,20190826,23
223,20190827,-102
224,20190828,74
225,20190829,-41
226,20190830,60
227,20190902,37
228,20190903,-138
229,20190904,230
230,20190905,83
231,20190906,4
232,20190909,-55
233,20190910,19
234,20190911,42
235,20190916,69
236,20190917,10
237,20190918,120
238,20190919,-60
239,20190920,115
240,20190923,18
241,20190924,170
242,20190925,-189
243,20190926,-133
244,20190927,-129
245,20190930,193
246,20191001,-50
247,20191002,-211
248,20191004,-161
249,20191007,60
250,20191008,170
251,20191010,129
252,20191011,42
253,20191014,-32
254,20191015,-5
255,20191016,19
256,20191017,-64
257,20191018,-350
258,20191021,51
259,20191022,64
260,20191023,-101
261,20191024,138
262,20191025,23
263,20191028,27
264,20191029,-97
265,20191030,-50
266,20191031,-134
267,20191101,143
268,20191104,42
269,20191105,148
270,20191106,-9
271,20191107,9
272,20191108,-87
273,20191111,14
274,20191112,166
275,20191113,0
276,20191114,138
277,20191115,51
278,20191118,23
279,20191119,125
280,20191120,-179
281,20191121,-97
282,20191122,-4
283,20191125,-79
284,20191126,-147
285,20191127,-32
286,20191128,-46
287,20191129,-222
288,20191202,-33
289,20191203,83
290,20191204,74
291,20191205,-152
292,20191206,5
293,20191209,-41
294,20191210,147
295,20191211,138
296,20191212,171
297,20191213,60
298,20191216,-51
299,20191217,212
300,20191218,-13
301,20191219,-74
302,20191220,69
303,20191223,-32
304,20191224,-79
305,20191226,83
306,20191227,78
307,20191230,-129
308,20200102,-79
309,20200103,-350
310,20200106,-65
311,20200107,-60
312,20200108,78
313,20200109,152
314,20200110,60
315,20200113,92
316,20200114,-170
317,20200115,-51
318,20200116,254
319,20200117,-28
320,20200120,-46
321,20200121,-139
322,20200122,245
323,20200123,-180
324,20200128,-129
325,20200129,-28
326,20200130,-309
327,20200131,-563
328,20200203,416
329,20200204,176
330,20200205,19
331,20200206,346
332,20200207,-9
333,20200210,176
334,20200211,-23
335,20200212,221
336,20200213,-231
337,20200214,162
338,20200217,55
339,20200218,-106
340,20200219,199
341,20200220,-138
342,20200221,-194
343,20200224,-282
344,20200225,92
345,20200226,50
346,20200227,-92
347,20200228,-324
348,20200302,230
349,20200303,-245
350,20200304,162
351,20200305,153
352,20200306,-28
353,20200309,-235
354,20200310,69
355,20200311,-531
356,20200312,-230
357,20200313,1094
358,20200316,-785
359,20200317,-199
360,20200318,-918
361,20200319,-918
362,20200320,882
363,20200323,101
364,20200324,701
365,20200325,550
366,20200326,-268
367,20200327,5
368,20200330,573
369,20200331,116
370,20200401,-910
371,20200402,748
372,20200403,23
373,20200406,383
374,20200407,32
375,20200408,-282
376,20200409,69
377,20200410,125
378,20200413,-231
379,20200414,78
380,20200416,180
381,20200417,-5
382,20200420,-240
383,20200421,-148
384,20200422,558
385,20200423,-55
386,20200424,-170
387,20200427,249
388,20200428,136
389,20200429,-61
390,20200504,-221
391,20200506,296
392,20200507,-19
393,20200508,-122
394,20200511,-244
395,20200512,98
396,20200513,413
397,20200514,-56
398,20200515,112
399,20200518,141
400,20200519,90
401,20200520,52
402,20200521,-61
403,20200522,-202
404,20200525,319
405,20200526,108
406,20200527,-108
407,20200528,-132
408,20200529,173
409,20200601,150
410,20200602,61
411,20200603,126
412,20200604,-404
413,20200605,390
414,20200608,47
415,20200609,28
416,20200610,5
417,20200611,-409
418,20200612,272
419,20200615,-1004
420,20200616,544
421,20200617,75
422,20200618,-47
423,20200619,352
424,20200622,-160
425,20200623,0
426,20200624,-79
427,20200625,-338
428,20200626,80
429,20200629,-319
430,20200630,-235
431,20200701,-239
432,20200702,206
433,20200703,80
434,20200706,268
435,20200707,-230
436,20200708,-112
437,20200709,-85
438,20200710,-24
439,20200713,174
440,20200714,118
441,20200715,-42
442,20200716,-272
443,20200717,51
444,20200720,136
445,20200721,32
446,20200722,-127
447,20200723,47
448,20200724,-108
449,20200727,-132
450,20200728,-98
451,20200729,-38
452,20200730,-108
453,20200731,-240
454,20200803,19
455,20200804,-61
456,20200805,165
457,20200806,-57
458,20200807,9
459,20200810,311
460,20200811,122
461,20200812,333
462,20200813,-217
463,20200814,217
464,20200818,-639
465,20200819,-132
466,20200820,-654
467,20200821,28
468,20200824,70
469,20200825,132
470,20200826,306
471,20200827,-188
472,20200828,-14
473,20200831,-578
474,20200901,150
475,20200902,-4
476,20200903,118
477,20200904,-9
478,20200907,61
479,20200908,71
480,20200909,-71
481,20200910,70
482,20200911,108
483,20200914,75
484,20200915,179
485,20200916,-48
486,20200917,-301
487,20200918,113
488,20200921,-442
489,20200922,-339
490,20200923,438
491,20200924,-334
492,20200925,-42
493,20200928,179
494,20200929,37
495,20201005,52
496,20201006,-75
497,20201007,315
498,20201008,5
499,20201012,47
500,20201013,99
501,20201014,-127
502,20201015,-98
503,20201016,-47
504,20201019,-174
505,20201020,98
506,20201021,14
507,20201022,-24
508,20201023,178
509,20201026,-160
510,20201027,-155
511,20201028,221
512,20201029,249
513,20201030,-551
514,20201102,118
515,20201103,137
516,20201104,174
517,20201105,188
518,20201106,10
519,20201109,-207
520,20201110,-29
521,20201111,203
522,20201112,-113
523,20201113,296
524,20201116,118
525,20201117,-98
526,20201118,-108
527,20201119,71
528,20201120,57
529,20201123,132
530,20201124,-42
531,20201125,-438
532,20201126,263
533,20201127,71
534,20201130,-330
535,20201201,146
536,20201202,118
537,20201203,164
538,20201204,-47
539,20201207,150
540,20201208,-306
541,20201209,457
542,20201210,85
543,20201211,23
544,20201214,-169
545,20201215,14
546,20201216,5
547,20201217,132
548,20201218,-51
549,20201221,273
550,20201222,-372
551,20201223,377
552,20201224,377
553,20201228,14
554,20201229,193
555,20201230,800
556,20210104,1046
557,20210105,603
558,20210106,-240
559,20210107,259
560,20210108,1064
561,20210111,-1422
562,20210112,-197
563,20210113,169
564,20210114,-90
565,20210115,-659
566,20210118,-589
567,20210119,438
568,20210120,212
569,20210121,462
570,20210122,-287
571,20210125,485
572,20210126,-541
573,20210127,-706
574,20210128,-377
575,20210129,-1056
576,20210201,595
577,20210202,-292
578,20210203,104
579,20210204,-23
580,20210205,401
581,20210208,-221
582,20210209,-519
583,20210210,363
584,20210215,-56
585,20210216,-56
586,20210217,198
587,20210218,-495
588,20210219,312
589,20210222,-797
590,20210223,340
591,20210224,-1103
592,20210225,627
593,20210226,-75
594,20210302,-538
595,20210303,477
596,20210304,-217
597,20210305,447
598,20210308,-462
599,20210309,151
600,20210310,-542
601,20210311,250
602,20210312,-155
603,20210315,-179
604,20210316,23
605,20210317,113
606,20210318,-212
607,20210319,118
608,20210322,268
609,20210323,-382
610,20210324,-56
611,20210325,146
612,20210326,183
613,20210329,90
614,20210330,174
615,20210331,-471
616,20210401,76
617,20210402,-52
618,20210405,180
619,20210406,-5
620,20210407,-109
621,20210408,66
622,20210409,-99
623,20210412,-151
624,20210413,235
625,20210414,203
626,20210415,-217
627,20210416,-5
628,20210419,-122
629,20210420,113
630,20210421,-127
631,20210422,-208
632,20210423,52
633,20210426,245
634,20210427,70
635,20210428,-57
636,20210429,-249
637,20210430,-215
638,20210503,-551
639,20210504,244
640,20210506,47
641,20210507,110
642,20210510,411
643,20210511,24
644,20210512,-292
645,20210513,-220
646,20210514,87
647,20210517,-19
648,20210518,67
649,20210520,225
650,20210521,-503
651,20210524,-201
652,20210525,53
653,20210526,-143
654,20210527,268
655,20210528,134
656,20210531,220
657,20210601,-205
658,20210602,-239
659,20210603,86
660,20210604,182
661,20210607,149
662,20210608,-134
663,20210609,-340
664,20210610,5
665,20210611,28
666,20210614,110
667,20210615,10
668,20210616,77
669,20210617,105
670,20210618,24
671,20210621,-48
672,20210622,57
673,20210623,130
674,20210624,15
675,20210625,-144
676,20210628,-29
677,20210629,-62
678,20210630,0
679,20210701,-14
680,20210702,-196
681,20210705,-67
682,20210706,-29
683,20210707,43
684,20210708,-464
685,20210709,148
686,20210712,-10
687,20210713,48
688,20210714,-19
689,20210715,201
690,20210716,105
691,20210719,-14
692,20210720,5
693,20210721,-182
694,20210722,43
695,20210723,-96
696,20210726,-287
697,20210727,-201
698,20210728,-14
699,20210729,-67
700,20210730,-172
701,20210802,38
702,20210803,173
703,20210804,422
704,20210805,-47
705,20210806,-57
706,20210809,5
707,20210810,-81
708,20210811,-144
709,20210812,-187
710,20210813,58
711,20210817,-374
712,20210818,96
713,20210819,-648
714,20210820,-417
715,20210823,-100
716,20210824,81
717,20210825,-67
718,20210826,-206
719,20210827,154
720,20210830,-28
721,20210831,777
722,20210901,115
723,20210902,-96
724,20210903,67
725,20210906,105
726,20210907,34
727,20210908,-283
728,20210909,-388
729,20210910,163
730,20210913,81
731,20210914,-72
732,20210915,5
733,20210916,-192
734,20210917,187
735,20210923,177
736,20210924,-206
737,20210927,-48
738,20210928,-130
739,20210929,96
740,20210930,148
741,20211001,-163
742,20211005,240
743,20211006,-676
744,20211007,173
745,20211008,-163
746,20211012,62
747,20211013,-4
748,20211014,34
749,20211015,110
750,20211018,48
751,20211019,158
752,20211020,-254
753,20211021,-72
754,20211022,-20
755,20211025,211
756,20211026,115
757,20211027,-43
758,20211028,-192
759,20211029,-312
760,20211101,-154
761,20211102,-168
762,20211103,-351
763,20211104,-294
764,20211105,173
765,20211108,260
766,20211109,86
767,20211110,-265
768,20211111,259
769,20211112,-15
770,20211115,-10
771,20211116,-129
772,20211117,-192
773,20211118,-67
774,20211119,255
775,20211122,327
776,20211123,0
777,20211124,-125
778,20211125,-48
779,20211126,-384
780,20211129,-154
781,20211130,-783
782,20211201,495
783,20211202,538
784,20211203,370
785,20211206,351
786,20211207,331
787,20211208,-380
788,20211209,-110
789,20211210,-34
790,20211213,-572
791,20211214,14
792,20211215,87
793,20211216,63
794,20211217,34
795,20211220,-361
796,20211221,96
797,20211222,-58
798,20211223,67
799,20211224,-72
800,20211227,-57
801,20211228,288
802,20211229,-111
803,20211230,-202
804,20220103,-317
805,20220104,-82
806,20220105,-125
807,20220106,-245
808,20220107,-62
809,20220110,197
810,20220111,5
811,20220112,202
812,20220113,-192
813,20220114,-192
814,20220117,24
815,20220118,-312
816,20220119,-332
817,20220120,293
818,20220121,188
819,20220124,-34
820,20220125,-216
821,20220126,-87
822,20220127,-472
823,20220128,626
824,20220203,-169
825,20220204,212
826,20220207,159
827,20220208,-245
828,20220209,116
829,20220210,96
830,20220211,-53
831,20220214,39
832,20220215,-241
833,20220216,77
834,20220217,-77
835,20220218,279
836,20220221,323
837,20220222,-10
838,20220223,-77
839,20220224,-294
840,20220225,-58
841,20220228,255
842,20220302,-82
843,20220303,232
844,20220304,101
845,20220307,0
846,20220308,-356
847,20220310,-101
848,20220311,39
849,20220314,-125
850,20220315,-115
851,20220316,308
852,20220317,-173
853,20220318,169
854,20220321,-240
855,20220322,67
856,20220323,38
857,20220324,188
858,20220325,9
859,20220328,226
860,20220329,29
861,20220330,-15
862,20220331,-58
863,20220401,77
864,20220404,86
865,20220405,29
866,20220406,-144
867,20220407,-197
868,20220408,72
869,20220411,-106
870,20220412,-44
871,20220413,385
872,20220414,82
873,20220415,-125
874,20220418,-29
875,20220419,101
876,20220420,241
877,20220421,-87
878,20220422,-19
879,20220425,-87
880,20220426,-96
881,20220427,97
882,20220428,273
883,20220429,107
884,20220502,122
885,20220503,-176
886,20220504,-54
887,20220506,44
888,20220509,-68
889,20220510,430
890,20220511,186
891,20220512,-396
892,20220513,219
893,20220516,-156
894,20220517,152
895,20220518,-5
896,20220519,29
897,20220520,141
898,20220523,64
899,20220524,-254
900,20220525,-156
901,20220526,-347
902,20220527,-112
903,20220530,83
904,20220531,230
905,20220602,-54
906,20220603,44
907,20220607,-307
908,20220608,-98
909,20220609,73
910,20220610,122
911,20220613,-239
912,20220614,229
913,20220615,-156
914,20220616,-640
915,20220617,103
916,20220620,0
917,20220621,137
918,20220622,-473
919,20220623,-357
920,20220624,93
921,20220627,-19
922,20220628,112
923,20220629,-34
924,20220630,-200
925,20220701,-323
926,20220704,5
927,20220705,39
928,20220706,-484
929,20220707,215
930,20220708,-264
931,20220711,-234
932,20220712,64
933,20220713,-112
934,20220714,59
935,20220715,483
936,20220718,200
937,20220719,49
938,20220720,-142
939,20220721,190
940,20220722,-29
941,20220725,10
942,20220726,83
943,20220727,181
944,20220728,35
945,20220729,-83
946,20220801,29
947,20220802,-83
948,20220803,147
949,20220804,-83
950,20220805,-24
951,20220808,142
952,20220809,176
953,20220810,-113
954,20220811,19
955,20220812,64
956,20220816,-142
957,20220817,-146
958,20220818,73
959,20220819,-20
960,20220822,-118
961,20220823,-250
962,20220824,-25
963,20220825,156
964,20220826,-181
965,20220829,53
966,20220830,132
967,20220831,411
968,20220901,-186
969,20220902,-260
970,20220905,-230
971,20220906,-127
972,20220907,64
973,20220908,-29
974,20220913,186
975,20220914,88
976,20220915,-157
977,20220916,25
978,20220919,-240
979,20220920,-20
980,20220921,-25
981,20220922,107
982,20220923,-206
983,20220926,-151
984,20220927,88
985,20220928,-440
986,20220929,-396
987,20220930,88
988,20221004,-14
989,20221005,-74
990,20221006,-29
991,20221007,64
992,20221011,98
