,date,y_rate_1305
0,20181001,27
1,20181002,-162
2,20181004,-18
3,20181005,95
4,20181008,-32
5,20181010,27
6,20181011,-171
7,20181012,-32
8,20181015,-13
9,20181016,-36
10,20181017,-54
11,20181018,-41
12,20181019,135
13,20181022,-40
14,20181023,-13
15,20181024,-157
16,20181025,90
17,20181026,171
18,20181029,-207
19,20181030,0
20,20181031,158
21,20181101,-249
22,20181102,374
23,20181105,127
24,20181106,149
25,20181107,-248
26,20181108,-167
27,20181109,-27
28,20181112,-40
29,20181113,113
30,20181114,-23
31,20181115,244
32,20181116,-86
33,20181119,41
34,20181120,32
35,20181121,41
36,20181122,27
37,20181123,4
38,20181126,31
39,20181127,36
40,20181128,104
41,20181129,-76
42,20181130,-144
43,20181203,-27
44,20181204,-82
45,20181205,0
46,20181206,-36
47,20181207,-23
48,20181210,73
49,20181211,-5
50,20181212,36
51,20181213,-22
52,20181214,-13
53,20181217,-59
54,20181218,5
55,20181219,0
56,20181220,-5
57,20181221,0
58,20181224,18
59,20181226,18
60,20181227,-72
61,20181228,-63
62,20190102,-127
63,20190103,-167
64,20190104,27
65,20190107,-18
66,20190108,-104
67,20190109,9
68,20190110,-86
69,20190111,9
70,20190114,-13
71,20190115,45
72,20190116,67
73,20190117,-63
74,20190118,36
75,20190121,32
76,20190122,81
77,20190123,45
78,20190124,85
79,20190125,14
80,20190128,-81
81,20190129,154
82,20190130,104
83,20190131,-126
84,20190201,-99
85,20190207,-103
86,20190208,-45
87,20190211,77
88,20190212,-27
89,20190213,18
90,20190214,338
91,20190215,64
92,20190218,54
93,20190219,-73
94,20190220,5
95,20190221,-45
96,20190222,31
97,20190225,18
98,20190226,-27
99,20190227,9
100,20190228,-334
101,20190304,-230
102,20190305,-54
103,20190306,32
104,20190307,-64
105,20190308,-63
106,20190311,14
107,20190312,-5
108,20190313,117
109,20190314,99
110,20190315,36
111,20190318,9
112,20190319,9
113,20190320,271
114,20190321,18
115,20190322,-4
116,20190325,-99
117,20190326,-45
118,20190327,-49
119,20190328,-81
120,20190329,73
121,20190401,5
122,20190402,18
123,20190403,203
124,20190404,-64
125,20190405,18
126,20190408,-22
127,20190409,-54
128,20190410,113
129,20190411,50
130,20190412,36
131,20190415,-41
132,20190416,59
133,20190417,-22
134,20190418,-85
135,20190419,-36
136,20190422,82
137,20190423,5
138,20190424,95
139,20190425,-50
140,20190426,-18
141,20190429,197
142,20190430,-32
143,20190502,-42
144,20190503,-33
145,20190507,105
146,20190508,-18
147,20190509,-339
148,20190510,78
149,20190513,-46
150,20190514,-55
151,20190515,-36
152,20190516,-119
153,20190517,-178
154,20190520,-156
155,20190521,-165
