,date,open,y_pred,y_test,profit_long,profit_short,real_profit_long,real_profit_short,real_profit,cumulative_profit,total_real_profit,kodex_cumulative_return
0,2023-03-21,31213.0,31103.08004137002,31016.0,-0.01852160826033948,-0.011478391739660386,0,0,0,0,0,0.0058651026392961825
1,2023-03-22,31095.0,31027.772539155794,30987.0,-0.017162002278314888,-0.01283799772168495,0,0,0,0,0,0.0020624536753568457
2,2023-03-23,31410.0,31205.200510078867,31179.0,-0.021520200252185016,-0.008479799747814962,0,0,0,0,0,0.012213592858754119
3,2023-03-24,31415.0,31106.43928804997,31115.0,-0.02482208218844595,-0.005177917811554074,0,0,0,0,0,0.012374722052141296
4,2023-03-27,31277.0,31433.498542117795,31376.0,-0.009996369788732931,-0.020003630211266877,0,0,0,0,0,0.007927556314653028
5,2023-03-28,31474.0,31404.616983131626,31208.0,-0.017204455006302705,-0.012795544993697215,0,0,0,0,0,0.014276046534110964
6,2023-03-29,31774.0,31287.34187843303,31336.0,-0.030316237224364745,0.00031623722436482324,0,0,0,0,0,0.023943798137346484
7,2023-03-30,31917.0,31465.04502832704,31592.0,-0.029160321197886932,-0.0008396788021130188,0,0,0,0,0,0.02855209306822215
8,2023-03-31,32271.0,31767.255641877346,31666.0,-0.030609815565760264,0.0006098155657604563,0,0,0,0,0,0.03996003996003994
9,2023-04-03,32045.0,31921.48700362817,31937.0,-0.018854360941545446,-0.011145639058454395,0,0,0,0,0,0.03267700041893584
10,2023-04-04,32168.0,32247.78625435529,32045.0,-0.012519701120514355,-0.01748029887948556,0,0,0,0,0,0.036640778576262356
11,2023-04-05,32207.0,32040.50219387873,32119.0,-0.02016961549108167,-0.00983038450891819,0,0,0,0,0,0.037897586284683094
12,2023-04-06,32001.0,32185.390618183013,32276.0,-0.009237973245116788,-0.02076202675488306,0,0,0,0,0,0.03125906351712815
13,2023-04-10,32714.0,32193.57470922708,32084.0,-0.03090833559860976,0.0009083355986098133,0,0,0,0,0,0.04476817081847373
14,2023-04-11,33015.0,32274.239720229976,32552.0,-0.03743708253127434,0.007437082531274317,0,0,0,0,0,0.05438103440642883
15,2023-04-12,32990.0,32709.212787620683,32764.0,-0.02351128258197379,-0.006488717418026232,0,0,0,0,0,0.0535826238094228
16,2023-04-13,33418.0,32995.78789468343,33148.0,-0.027634272108341768,-0.00236572789165826,0,0,0,0,0,0.06725141323016937
17,2023-04-14,33320.0,32992.68018273057,33064.0,-0.024823523927653888,-0.005176476072346067,0,0,0,0,0,0.06412164368990503
