,date,open,y_pred,y_test,profit_long,profit_short,real_profit_long,real_profit_short,real_profit,cumulative_profit,total_real_profit,kodex_cumulative_return
0,2023-03-21,31213.0,31093.0359983114,31012.0,-0.01884339863802251,-0.011156601361977355,0,0,0,0,0,0.0058651026392961825
1,2023-03-22,31095.0,31030.66905511361,31080.0,-0.017068851740999733,-0.012931148259000103,0,0,0,0,0,0.0020624536753568457
2,2023-03-23,31410.0,31208.31007861544,31174.0,-0.021421200935516038,-0.00857879906448394,0,0,0,0,0,0.012213592858754119
3,2023-03-24,31415.0,31102.809669968537,31085.0,-0.02493761992778803,-0.00506238007221199,0,0,0,0,0,0.012374722052141296
4,2023-03-27,31277.0,31419.321059561906,31430.0,-0.010449657589861223,-0.019550342410138585,0,0,0,0,0,0.007927556314653028
5,2023-03-28,31474.0,31418.8698179749,31346.0,-0.016751610282299552,-0.013248389717700367,0,0,0,0,0,0.014276046534110964
6,2023-03-29,31774.0,31280.22242083561,31277.0,-0.030540302736966944,0.0005403027369670231,0,0,0,0,0,0.023943798137346484
7,2023-03-30,31917.0,31474.709246688624,31553.0,-0.028857529006841905,-0.0011424709931580437,0,0,0,0,0,0.02855209306822215
8,2023-03-31,32271.0,31778.092812104114,31730.0,-0.030273997951593714,0.000273997951593909,0,0,0,0,0,0.03996003996003994
9,2023-04-03,32045.0,31926.13596160169,31892.0,-0.018709285017890678,-0.011290714982109165,0,0,0,0,0,0.03267700041893584
10,2023-04-04,32168.0,32265.45097612294,32148.0,-0.011970561548030915,-0.018029438451969,0,0,0,0,0,0.036640778576262356
11,2023-04-05,32207.0,32048.612508063685,32084.0,-0.019917797122871148,-0.01008220287712871,0,0,0,0,0,0.037897586284683094
12,2023-04-06,32001.0,32172.401848110923,32207.0,-0.009643859625920204,-0.020356140374079644,0,0,0,0,0,0.03125906351712815
13,2023-04-10,32714.0,32208.35720441433,32119.0,-0.030456464987029096,0.00045646498702914826,0,0,0,0,0,0.04476817081847373
14,2023-04-11,33015.0,32289.76465928921,32434.0,-0.03696684357748871,0.006966843577488687,0,0,0,0,0,0.05438103440642883
15,2023-04-12,32990.0,32713.87663129327,32793.0,-0.02336991114600568,-0.006630088853994343,0,0,0,0,0,0.0535826238094228
16,2023-04-13,33418.0,33016.16950957419,33059.0,-0.027024372805847387,-0.00297562719415264,0,0,0,0,0,0.06725141323016937
17,2023-04-14,33320.0,32991.492493367754,33049.0,-0.024859168866513858,-0.005140831133486099,0,0,0,0,0,0.06412164368990503
18,2023-04-17,33369.0,33413.83059429587,33512.0,-0.013656519695050124,-0.016343480304949868,0,0,0,0,0,0.0656865284600372
19,2023-04-18,33280.0,33312.92561852809,33226.0,-0.014010648481727974,-0.01598935151827185,0,0,0,0,0,0.06284418673469494
20,2023-04-19,33207.0,33368.37586527252,33364.0,-0.010140305800809261,-0.019859694199190602,0,0,0,0,0,0.06051282779143685
21,2023-04-20,33148.0,33271.52618288634,33369.0,-0.011273495146423831,-0.01872650485357602,0,0,0,0,0,0.05862857878250227
22,2023-04-21,32946.0,33206.296826197286,33123.0,-0.0070992889517000396,-0.02290071104829977,0,0,0,0,0,0.05217742115869206
23,2023-04-24,32906.0,33149.3289763651,33182.0,-0.007605331053148337,-0.022394668946851562,0,0,0,0,0,0.050899964203482195
24,2023-04-25,32390.0,32931.135545881305,32941.0,0.0017068708206639846,-0.03170687082066401,0,0,0,0,0,0.034420769481273705
25,2023-04-26,32400.0,32896.22519406674,32892.0,0.0003155924094673178,-0.030315592409467317,0,0,0,0,0,0.034740133720076116
26,2023-04-27,32664.0,32396.2393846465,32404.0,-0.023197422708593582,-0.006802577291406365,0,0,0,0,0,0.04317134962446212
27,2023-04-28,32649.0,32407.65292496518,32330.0,-0.02239217357452951,-0.0076078264254703055,0,0,0,0,0,0.04269230326625828
