,date,open,y_pred,y_test,profit_long,profit_short,real_profit_long,real_profit_short,real_profit,cumulative_profit,total_real_profit,kodex_cumulative_return
0,2023-03-21,31213.0,31086.73110076708,31031.0,-0.019045394522568048,-0.010954605477431817,0,0,0,0,0,0.0058651026392961825
1,2023-03-22,31095.0,31038.87472782684,31080.0,-0.016804961317676708,-0.013195038682323126,0,0,0,0,0,0.0020624536753568457
2,2023-03-23,31410.0,31218.66471033497,31174.0,-0.021091540581503546,-0.00890845941849643,0,0,0,0,0,0.012213592858754119
3,2023-03-24,31415.0,31102.44470887356,31100.0,-0.024949237342875602,-0.00505076265712442,0,0,0,0,0,0.012374722052141296
4,2023-03-27,31277.0,31417.99614773587,31415.0,-0.010492018168754197,-0.01950798183124561,0,0,0,0,0,0.007927556314653028
5,2023-03-28,31474.0,31422.13429439643,31312.0,-0.016647890500208644,-0.013352109499791277,0,0,0,0,0,0.014276046534110964
6,2023-03-29,31774.0,31284.603015822224,31307.0,-0.03040243545596315,0.0004024354559632276,0,0,0,0,0,0.023943798137346484
7,2023-03-30,31917.0,31478.253400817368,31528.0,-0.028746486172968308,-0.0012535138270316434,0,0,0,0,0,0.02855209306822215
8,2023-03-31,32271.0,31775.655681014123,31725.0,-0.030349518731550687,0.0003495187315508813,0,0,0,0,0,0.03996003996003994
9,2023-04-03,32045.0,31927.05990256316,31888.0,-0.01868045240870138,-0.011319547591298464,0,0,0,0,0,0.03267700041893584
10,2023-04-04,32168.0,32271.782285981997,32163.0,-0.011773741420604318,-0.018226258579395596,0,0,0,0,0,0.036640778576262356
11,2023-04-05,32207.0,32048.21339301916,32045.0,-0.019930189306077453,-0.010069810693922408,0,0,0,0,0,0.037897586284683094
12,2023-04-06,32001.0,32171.41801603719,32217.0,-0.009674603417480863,-0.020325396582518987,0,0,0,0,0,0.03125906351712815
13,2023-04-10,32714.0,32203.849925247097,32148.0,-0.030594243282781125,0.000594243282781178,0,0,0,0,0,0.04476817081847373
14,2023-04-11,33015.0,32293.00486767592,32360.0,-0.03686870005524995,0.006868700055249925,0,0,0,0,0,0.05438103440642883
