,date,open,y_pred,y_test,profit_long,profit_short,real_profit_long,real_profit_short,real_profit,cumulative_profit,total_real_profit,kodex_cumulative_return
0,2023-03-21,31213.0,31094.77921388537,31016.0,-0.018787549614411522,-0.011212450385588343,0,0,0,0,0,0.0058651026392961825
1,2023-03-22,31095.0,31028.33792580229,31056.0,-0.01714381972013845,-0.012856180279861388,0,0,0,0,0,0.0020624536753568457
2,2023-03-23,31410.0,31204.0303405067,31154.0,-0.021557454934520822,-0.008442545065479156,0,0,0,0,0,0.012213592858754119
3,2023-03-24,31415.0,31100.026004697174,31095.0,-0.02502622935867656,-0.004973770641323461,0,0,0,0,0,0.012374722052141296
4,2023-03-27,31277.0,31422.74993049624,31430.0,-0.010340028439548388,-0.01965997156045142,0,0,0,0,0,0.007927556314653028
5,2023-03-28,31474.0,31412.709608065168,31331.0,-0.016947334051433845,-0.013052665948566078,0,0,0,0,0,0.014276046534110964
6,2023-03-29,31774.0,31279.08173541714,31277.0,-0.030576202699781445,0.0005762026997815226,0,0,0,0,0,0.023943798137346484
7,2023-03-30,31917.0,31469.81673901788,31533.0,-0.02901081746348713,-0.000989182536512822,0,0,0,0,0,0.02855209306822215
8,2023-03-31,32271.0,31772.175855995552,31705.0,-0.030457350066760952,0.00045735006676114466,0,0,0,0,0,0.03996003996003994
9,2023-04-03,32045.0,31922.549990155683,31888.0,-0.018821189260237556,-0.011178810739762287,0,0,0,0,0,0.03267700041893584
10,2023-04-04,32168.0,32260.252923267864,32134.0,-0.012132152348051865,-0.017867847651948047,0,0,0,0,0,0.036640778576262356
11,2023-04-05,32207.0,32044.9867419934,32070.0,-0.020030374080373652,-0.009969625919626206,0,0,0,0,0,0.037897586284683094
12,2023-04-06,32001.0,32175.26665496987,32222.0,-0.009554337209153654,-0.020445662790846197,0,0,0,0,0,0.03125906351712815
13,2023-04-10,32714.0,32203.353174447628,32109.0,-0.03060942793765273,0.0006094279376527846,0,0,0,0,0,0.04476817081847373
14,2023-04-11,33015.0,32284.15010350123,32463.0,-0.03713690433132724,0.007136904331327217,0,0,0,0,0,0.05438103440642883
15,2023-04-12,32990.0,32713.097264309792,32764.0,-0.0233935354862142,-0.006606464513785822,0,0,0,0,0,0.0535826238094228
16,2023-04-13,33418.0,33009.81411716375,33084.0,-0.02721455152421598,-0.002785448475784045,0,0,0,0,0,0.06725141323016937
17,2023-04-14,33320.0,32994.01282031995,33093.0,-0.02478352880192216,-0.005216471198077796,0,0,0,0,0,0.06412164368990503
18,2023-04-17,33369.0,33413.900017442706,33536.0,-0.0136544392267461,-0.01634556077325389,0,0,0,0,0,0.0656865284600372
19,2023-04-18,33280.0,33311.05114402952,33221.0,-0.01406697283565126,-0.015933027164348565,0,0,0,0,0,0.06284418673469494
20,2023-04-19,33207.0,33366.99882742847,33335.0,-0.010181774100988535,-0.01981822589901133,0,0,0,0,0,0.06051282779143685
21,2023-04-20,33148.0,33269.739314276565,33379.0,-0.011327400920822642,-0.018672599079177208,0,0,0,0,0,0.05862857878250227
22,2023-04-21,32946.0,33209.31049961606,33148.0,-0.007007815831479791,-0.02299218416852002,0,0,0,0,0,0.05217742115869206
23,2023-04-24,32906.0,33150.49371580409,33138.0,-0.007569935093779385,-0.022430064906220515,0,0,0,0,0,0.050899964203482195
24,2023-04-25,32390.0,32939.786855982515,32931.0,0.001973969002238843,-0.03197396900223887,0,0,0,0,0,0.034420769481273705
25,2023-04-26,32400.0,32903.01695819839,32887.0,0.0005252147592094574,-0.030525214759209458,0,0,0,0,0,0.034740133720076116
26,2023-04-27,32664.0,32390.56350982001,32380.0,-0.02337118816372729,-0.006628811836272657,0,0,0,0,0,0.04317134962446212
27,2023-04-28,32649.0,32400.283042530493,32285.0,-0.022617904299350684,-0.007382095700649129,0,0,0,0,0,0.04269230326625828
28,2023-05-02,32654.0,32652.895479559527,32629.0,-0.015033824966021632,-0.014966175033978337,0,0,0,0,0,0.042851985385659486
29,2023-05-03,32485.0,32651.267518135963,32789.0,-0.009881714079237538,-0.020118285920762327,0,0,0,0,0,0.0374547297498975
30,2023-05-04,32849.0,32649.65065939329,32679.0,-0.021068657816271524,-0.008931342183728288,0,0,0,0,0,0.049079588042308275
31,2023-05-08,32839.0,32489.72101219597,32480.0,-0.02563610304223729,-0.004363896957762658,0,0,0,0,0,0.04876022380350564
32,2023-05-09,32789.0,32847.48872948897,32874.0,-0.013216208805118446,-0.016783791194881503,0,0,0,0,0,0.047163402609493366
33,2023-05-10,32709.0,32846.531797932286,32829.0,-0.010795291878923492,-0.01920470812107641,0,0,0,0,0,0.04460848869907341
34,2023-05-11,32385.0,32793.28727097659,32664.0,-0.002392704308272569,-0.027607295691727297,0,0,0,0,0,0.03426108736187272
