,date,y_volume_0930
5,20181001,54490
82,20181002,41543
159,20181004,51190
236,20181005,59148
313,20181008,57731
390,20181010,108350
467,20181011,125631
544,20181012,207702
621,20181015,86093
698,20181016,17120
775,20181017,59166
852,20181018,136325
929,20181019,49638
1006,20181022,15604
1083,20181023,43248
1160,20181024,54427
1237,20181025,45445
1314,20181026,73986
1391,20181029,47366
1468,20181030,123815
1545,20181031,223507
1622,20181101,38773
1699,20181102,35393
1776,20181105,75912
1853,20181106,224175
1930,20181107,264065
2007,20181108,49682
2084,20181109,42856
2161,20181112,68882
2238,20181113,136581
2315,20181114,163357
2469,20181116,183187
2546,20181119,81544
2623,20181120,305520
2700,20181121,267321
2777,20181122,14167
2854,20181123,76004
2931,20181126,20063
3008,20181127,20268
3085,20181128,20761
3162,20181129,23150
3239,20181130,25265
3316,20181203,25768
3393,20181204,46969
3470,20181205,97839
3547,20181206,17809
3624,20181207,25115
3701,20181210,99569
3778,20181211,50107
3855,20181212,171671
3932,20181213,136325
4009,20181214,274914
4086,20181217,59962
4163,20181218,9068
4240,20181219,33441
4317,20181220,165031
4394,20181221,167511
4471,20181224,130638
4548,20181226,120692
4625,20181227,81440
4702,20181228,104108
4844,20190103,90747
4921,20190104,101745
4998,20190107,130046
5075,20190108,39593
5152,20190109,43649
5229,20190110,68251
5306,20190111,73083
5383,20190114,14088
5460,20190115,39131
5537,20190116,44724
5614,20190117,102313
5691,20190118,108775
5768,20190121,167173
5845,20190122,47493
5922,20190123,49995
5999,20190124,231547
6076,20190125,70490
6153,20190128,31434
6230,20190129,118098
6307,20190130,32899
6384,20190131,26050
6461,20190201,242162
6538,20190207,191895
6615,20190208,102082
6692,20190211,47555
6769,20190212,57242
6846,20190213,57681
6923,20190214,134618
7000,20190215,19731
7077,20190218,59652
7154,20190219,155115
7231,20190220,29999
7308,20190221,78886
7385,20190222,62690
7462,20190225,89260
7539,20190226,120837
7616,20190227,130404
7693,20190228,45615
7770,20190304,11225
7847,20190305,49021
7924,20190306,151778
8001,20190307,76273
8078,20190308,48048
8155,20190311,91294
8232,20190312,12305
8309,20190313,45127
8386,20190314,6092
8463,20190315,79157
8540,20190318,6923
8617,20190319,130757
8694,20190320,102615
8771,20190321,67210
8848,20190322,62720
8925,20190325,52506
9002,20190326,160924
9079,20190327,246220
9156,20190328,227170
9233,20190329,38420
9310,20190401,27429
9387,20190402,21655
9464,20190403,60453
9541,20190404,134322
9618,20190405,35275
9695,20190408,12554
9772,20190409,79213
9849,20190410,60676
9926,20190411,45496
10003,20190412,54158
10080,20190415,56644
10157,20190416,86049
10234,20190417,14030
10311,20190418,18575
10388,20190419,50689
10465,20190422,55295
10542,20190423,118493
10619,20190424,105910
10696,20190425,53361
10773,20190426,53798
10850,20190429,14098
10927,20190430,71260
11004,20190502,7694
11081,20190503,9075
11158,20190507,69558
11235,20190508,52264
11312,20190509,18688
11389,20190510,134925
11466,20190513,36229
11543,20190514,43665
11620,20190515,160202
11697,20190516,216558
11774,20190517,60350
11851,20190520,19512
11928,20190521,107947
12005,20190522,28672
12082,20190523,51029
12159,20190524,118711
12236,20190527,36599
12313,20190528,76183
12390,20190529,62580
12467,20190530,15373
12544,20190531,131708
12621,20190603,70161
12698,20190604,8024
12775,20190605,66927
12852,20190607,173918
12929,20190610,70718
