,date,y_volume_1025
16,20181001,33842
93,20181002,41371
170,20181004,30383
247,20181005,48999
324,20181008,38045
401,20181010,25906
478,20181011,147340
555,20181012,51243
632,20181015,36373
709,20181016,51383
786,20181017,17340
863,20181018,15276
940,20181019,13969
1017,20181022,19723
1094,20181023,45677
1171,20181024,78696
1248,20181025,91056
1325,20181026,235937
1402,20181029,85441
1479,20181030,75071
1556,20181031,26738
1633,20181101,420294
1710,20181102,97348
1787,20181105,95255
1864,20181106,24966
1941,20181107,33811
2018,20181108,17671
2095,20181109,3461
2172,20181112,135500
2249,20181113,33786
2326,20181114,14723
2391,20181115,92087
2480,20181116,13784
2557,20181119,34723
2634,20181120,54129
2711,20181121,42036
2788,20181122,28766
2865,20181123,37154
2942,20181126,206246
3019,20181127,39428
3096,20181128,3933
3173,20181129,51793
3250,20181130,117816
3327,20181203,51447
3404,20181204,29254
3481,20181205,60288
3558,20181206,200727
3635,20181207,102563
3712,20181210,46668
3789,20181211,114770
3866,20181212,96042
3943,20181213,67875
4020,20181214,140524
4097,20181217,32752
4174,20181218,84278
4251,20181219,77169
4328,20181220,178831
4405,20181221,37855
4482,20181224,154269
4559,20181226,220373
4636,20181227,90454
4713,20181228,35816
4778,20190102,140922
4855,20190103,27201
4932,20190104,22766
5009,20190107,52534
5086,20190108,1972
5163,20190109,31842
5240,20190110,12808
5317,20190111,32291
5394,20190114,24530
5471,20190115,21425
5548,20190116,22079
5625,20190117,17920
5702,20190118,49678
5779,20190121,67878
5856,20190122,62125
5933,20190123,13815
6010,20190124,81747
6087,20190125,27341
6164,20190128,15091
6241,20190129,34543
6318,20190130,60637
6395,20190131,16890
6472,20190201,39467
6549,20190207,87773
6626,20190208,154720
6703,20190211,105592
6780,20190212,51493
6857,20190213,20965
6934,20190214,17584
7011,20190215,6358
7088,20190218,43222
7165,20190219,29210
7242,20190220,50907
7319,20190221,34990
7396,20190222,71326
7473,20190225,12914
7550,20190226,6201
7627,20190227,13203
7704,20190228,31115
7781,20190304,39629
7858,20190305,62198
7935,20190306,86262
8012,20190307,16073
8089,20190308,13788
8166,20190311,57221
8243,20190312,14907
8320,20190313,13659
8397,20190314,32188
8474,20190315,13084
8551,20190318,42348
8628,20190319,25568
8705,20190320,46513
8782,20190321,62286
8859,20190322,41214
8936,20190325,42701
9013,20190326,75566
9090,20190327,59793
9167,20190328,36642
9244,20190329,50488
9321,20190401,104204
9398,20190402,30054
9475,20190403,26017
9552,20190404,14315
9629,20190405,34822
9706,20190408,24708
9783,20190409,8680
9860,20190410,26241
9937,20190411,18173
10014,20190412,3005
10091,20190415,55902
10168,20190416,59572
10245,20190417,34745
10322,20190418,10458
10399,20190419,19191
10476,20190422,2818
10553,20190423,25978
10630,20190424,82778
10707,20190425,17549
10784,20190426,132761
10861,20190429,22818
10938,20190430,16522
11015,20190502,22134
11092,20190503,19982
11169,20190507,24780
11246,20190508,19905
11323,20190509,37379
11400,20190510,65889
11477,20190513,13701
11554,20190514,139647
11631,20190515,81383
11708,20190516,100117
11785,20190517,20395
11862,20190520,29837
11939,20190521,32046
12016,20190522,128095
12093,20190523,42184
12170,20190524,73033
12247,20190527,16656
12324,20190528,23896
12401,20190529,88371
12478,20190530,17535
12555,20190531,41247
12632,20190603,18623
12709,20190604,36137
12786,20190605,22998
12863,20190607,53020
12940,20190610,16666
13017,20190611,8221
13094,20190612,10777
13171,20190613,79239
13248,20190614,105138
13325,20190617,17788
13402,20190618,36969
13479,20190619,10152
13556,20190620,12585
13633,20190621,11626
13710,20190624,4915
13787,20190625,23387
13864,20190626,42190
13941,20190627,53710
14018,20190628,15229
14095,20190701,75037
14172,20190702,146684
14249,20190703,110607
14326,20190704,15915
14403,20190705,25222
14480,20190708,31617
14557,20190709,54785
14634,20190710,37260
14711,20190711,17584
14788,20190712,26567
14865,20190715,32571
14942,20190716,32331
15019,20190717,9337
15096,20190718,22587
15173,20190719,19111
15250,20190722,51568
15327,20190723,11242
15404,20190724,17614
15481,20190725,8024
15558,20190726,37034
15635,20190729,63030
15712,20190730,46366
15789,20190731,41372
15866,20190801,36386
15943,20190802,183960
16020,20190805,76364
16097,20190806,94203
16174,20190807,19069
16251,20190808,49819
16328,20190809,28541
16405,20190812,3508
16482,20190813,167689
16559,20190814,39537
16636,20190816,33431
16713,20190819,8796
16790,20190820,26754
16867,20190821,43406
16944,20190822,11846
17021,20190823,14873
17098,20190826,33457
17175,20190827,13716
17252,20190828,22234
17329,20190829,38044
17406,20190830,67740
17483,20190902,6595
17560,20190903,65570
17637,20190904,48933
17714,20190905,40587
17791,20190906,76260
17868,20190909,93588
17945,20190910,83834
18022,20190911,23585
18099,20190916,38803
18176,20190917,59209
18253,20190918,8516
18330,20190919,60419
18407,20190920,82652
18484,20190923,265143
18561,20190924,18489
18638,20190925,7809
18715,20190926,20503
18792,20190927,14897
18869,20190930,20019
18946,20191001,39467
19023,20191002,9988
19100,20191004,38257
19177,20191007,40176
19254,20191008,11119
19331,20191010,161502
19408,20191011,30152
19485,20191014,15576
19562,20191015,17645
19639,20191016,142181
19716,20191017,45033
19793,20191018,52835
19870,20191021,29666
19947,20191022,19866
20024,20191023,22489
20101,20191024,149458
20178,20191025,27813
20255,20191028,40499
20332,20191029,208074
20409,20191030,31197
20486,20191031,24624
20563,20191101,6995
20640,20191104,99266
20717,20191105,13307
20794,20191106,45579
20871,20191107,25969
20948,20191108,82040
21025,20191111,48249
21102,20191112,26072
21179,20191113,18247
21244,20191114,16470
21333,20191115,169516
21410,20191118,11887
21487,20191119,16176
21564,20191120,70069
21641,20191121,37908
21718,20191122,21702
21795,20191125,22875
21872,20191126,20435
21949,20191127,11760
22026,20191128,54336
22103,20191129,44525
22180,20191202,9228
22257,20191203,62177
22334,20191204,62136
22411,20191205,9390
22488,20191206,169018
22565,20191209,36431
22642,20191210,3907
22719,20191211,22029
22796,20191212,24334
22873,20191213,26568
22950,20191216,74966
23027,20191217,105233
23104,20191218,87818
23181,20191219,36553
23258,20191220,5004
23335,20191223,13938
23412,20191224,90364
23489,20191226,5059
23566,20191227,68713
23643,20191230,10777
23708,20200102,132543
23785,20200103,43537
23862,20200106,15821
23939,20200107,29131
24016,20200108,69612
24093,20200109,11125
24170,20200110,13938
24247,20200113,52581
24324,20200114,36182
24401,20200115,11476
24478,20200116,70497
24555,20200117,130891
24632,20200120,91604
24709,20200121,46230
24786,20200122,25346
24863,20200123,15796
24940,20200128,78781
25017,20200129,50705
25094,20200130,38122
25171,20200131,39555
25248,20200203,100297
25325,20200204,100776
25402,20200205,25531
25479,20200206,64323
25556,20200207,90329
25633,20200210,53387
25710,20200211,56233
25787,20200212,47846
25864,20200213,138329
25941,20200214,19255
26018,20200217,10662
26095,20200218,146630
26172,20200219,51740
26249,20200220,68833
26326,20200221,52473
26403,20200224,222157
26480,20200225,136865
26557,20200226,93558
26634,20200227,72294
26711,20200228,142030
26788,20200302,163392
26865,20200303,117856
26942,20200304,37153
27019,20200305,33359
27096,20200306,56126
27173,20200309,61036
27250,20200310,146805
27327,20200311,638456
27404,20200312,387792
27481,20200313,364425
27553,20200316,145879
27630,20200317,338946
27707,20200318,290165
27784,20200319,406486
27856,20200320,533021
27933,20200323,196125
28010,20200324,403950
28087,20200325,208579
28164,20200326,187239
28241,20200327,209037
