,date,volume
0,20181001,564572
1,20181002,404318
2,20181004,333580
3,20181005,632056
4,20181008,481072
5,20181010,457644
6,20181011,1568393
7,20181012,1102859
8,20181015,600996
9,20181016,305879
10,20181017,578327
11,20181018,359457
12,20181019,560018
13,20181022,367242
14,20181023,493427
15,20181024,823023
16,20181025,1790938
17,20181026,757980
18,20181029,694866
19,20181030,1062791
20,20181031,716034
21,20181101,765878
22,20181102,483654
23,20181105,862080
24,20181106,632736
25,20181107,1144482
26,20181108,1020844
27,20181109,1024663
28,20181112,409276
29,20181113,1162866
30,20181114,865468
31,20181116,892716
32,20181119,502008
33,20181120,1271342
34,20181121,1381947
35,20181122,290610
36,20181123,350350
37,20181126,334150
38,20181127,622932
39,20181128,205405
40,20181129,543920
41,20181130,315065
42,20181203,1853988
43,20181204,443698
44,20181205,793917
45,20181206,546283
46,20181207,504144
47,20181210,664607
48,20181211,474991
49,20181212,742285
50,20181213,514308
51,20181214,1033002
52,20181217,448510
53,20181218,482851
54,20181219,568409
55,20181220,853016
56,20181221,625624
57,20181224,486519
58,20181226,572371
59,20181227,1069910
60,20181228,870392
61,20190103,919312
62,20190104,713831
63,20190107,881970
64,20190108,584577
65,20190109,679334
66,20190110,777023
67,20190111,868470
68,20190114,795753
69,20190115,880663
70,20190116,904723
71,20190117,918846
72,20190118,910753
73,20190121,723604
74,20190122,700414
75,20190123,473153
76,20190124,1177118
77,20190125,852422
78,20190128,1016392
79,20190129,984967
80,20190130,946903
81,20190131,1285088
82,20190201,2116345
83,20190207,1197733
84,20190208,839841
85,20190211,473282
86,20190212,487751
87,20190213,763174
88,20190214,594716
89,20190215,396874
90,20190218,486297
91,20190219,830709
92,20190220,637832
93,20190221,528791
94,20190222,502910
95,20190225,744584
96,20190226,724332
97,20190227,558330
98,20190228,670517
99,20190304,413019
100,20190305,623912
101,20190306,577606
102,20190307,639771
103,20190308,385727
104,20190311,1280402
105,20190312,540293
106,20190313,365452
107,20190314,309438
108,20190315,611424
109,20190318,606736
110,20190319,976366
111,20190320,536645
112,20190321,806967
113,20190322,840265
114,20190325,748907
115,20190326,1201586
116,20190327,692062
117,20190328,1054149
118,20190329,619205
