,date,volume
0,20181001,596351
1,20181002,416254
2,20181004,403796
3,20181005,660745
4,20181008,502384
5,20181010,557546
6,20181011,1682948
7,20181012,1206964
8,20181015,675075
9,20181016,327592
10,20181017,612522
11,20181018,388016
12,20181019,621834
13,20181022,382253
14,20181023,532492
15,20181024,1015947
16,20181025,1839536
17,20181026,809532
18,20181029,725252
19,20181030,1098601
20,20181031,754716
21,20181101,882458
22,20181102,571014
23,20181105,922117
24,20181106,815102
25,20181107,1172823
26,20181108,1076674
27,20181109,1248429
28,20181112,438245
29,20181113,1271940
30,20181114,888499
31,20181116,985357
32,20181119,543207
33,20181120,1304403
34,20181121,1414087
35,20181122,300319
36,20181123,415314
37,20181126,406589
38,20181127,691042
39,20181128,243143
40,20181129,574780
41,20181130,325821
42,20181203,1868549
43,20181204,524115
44,20181205,821487
45,20181206,581914
46,20181207,635361
47,20181210,768093
48,20181211,492642
49,20181212,767847
50,20181213,597986
51,20181214,1412861
52,20181217,566001
53,20181218,552454
54,20181219,600464
55,20181220,916386
56,20181221,687775
57,20181224,544243
58,20181226,678019
59,20181227,1094753
60,20181228,889544
61,20190103,1016303
62,20190104,809721
63,20190107,896107
64,20190108,672280
65,20190109,774954
66,20190110,785825
67,20190111,903372
68,20190114,812117
69,20190115,891216
70,20190116,926851
71,20190117,937565
72,20190118,926838
73,20190121,750572
74,20190122,858008
75,20190123,576326
76,20190124,1200182
77,20190125,883799
78,20190128,1027821
79,20190129,1113527
80,20190130,1005017
81,20190131,1332050
82,20190201,2174730
83,20190207,1274665
84,20190208,917724
85,20190211,496355
86,20190212,623032
87,20190213,903085
88,20190214,606091
89,20190215,405618
90,20190218,501277
91,20190219,848108
92,20190220,819039
93,20190221,573195
94,20190222,518000
95,20190225,787318
96,20190226,751246
97,20190227,601382
98,20190228,710759
99,20190304,436446
100,20190305,683451
101,20190306,633062
102,20190307,730139
103,20190308,444298
104,20190311,1345863
105,20190312,578560
106,20190313,444744
107,20190314,353026
108,20190315,644661
109,20190318,630541
110,20190319,994385
111,20190320,617550
112,20190321,943661
113,20190322,846514
114,20190325,892564
115,20190326,1243181
116,20190327,886498
117,20190328,1084035
118,20190329,792078
119,20190401,649495
120,20190402,542352
121,20190403,227265
122,20190404,460538
123,20190405,688509
124,20190408,437763
125,20190409,715014
126,20190410,788560
127,20190411,619546
128,20190412,529448
129,20190415,815766
130,20190416,746043
131,20190417,827866
132,20190418,739750
133,20190419,818915
134,20190422,629058
135,20190423,1139126
136,20190424,549743
137,20190425,985139
138,20190426,867237
139,20190429,238733
140,20190430,638127
141,20190502,164952
142,20190503,250812
143,20190507,905475
144,20190508,422499
145,20190509,304854
146,20190510,871509
147,20190513,636443
148,20190514,1033982
149,20190515,1202493
150,20190516,1001237
151,20190517,623222
152,20190520,850463
153,20190521,1205567
154,20190522,697529
155,20190523,803850
156,20190524,607195
157,20190527,681666
158,20190528,598290
159,20190529,829458
160,20190530,688150
161,20190531,1169278
162,20190603,575203
