,date,y_volume_1250
45,20181001,13357
122,20181002,15326
199,20181004,21474
276,20181005,16432
353,20181008,9359
430,20181010,37872
507,20181011,75543
584,20181012,255594
661,20181015,53961
738,20181016,38419
815,20181017,35098
892,20181018,10166
969,20181019,38042
1046,20181022,14671
1123,20181023,67806
1200,20181024,64050
1277,20181025,37398
1354,20181026,44067
1431,20181029,26522
1508,20181030,19652
1585,20181031,30674
1662,20181101,10987
1739,20181102,34489
1816,20181105,17062
1893,20181106,51088
1970,20181107,22541
2047,20181108,21895
2124,20181109,22945
2201,20181112,23335
2278,20181113,61224
2355,20181114,22980
2420,20181115,8767
2509,20181116,2511
2586,20181119,2521
2663,20181120,1326
2740,20181121,18824
2817,20181122,16218
2894,20181123,6647
2971,20181126,35842
3048,20181127,47081
3125,20181128,19043
3202,20181129,13192
3279,20181130,5078
3356,20181203,28608
3433,20181204,25503
3510,20181205,13099
3587,20181206,145365
3664,20181207,40025
3741,20181210,33334
3818,20181211,118295
3895,20181212,81126
3972,20181213,102380
4049,20181214,99553
4126,20181217,28471
4203,20181218,22954
4280,20181219,25998
4357,20181220,22400
4434,20181221,46973
4511,20181224,27134
4588,20181226,59078
4665,20181227,23545
4742,20181228,4113
4807,20190102,19946
4884,20190103,5368
4961,20190104,13719
5038,20190107,7296
5115,20190108,33755
5192,20190109,15157
5269,20190110,17056
5346,20190111,97816
5423,20190114,1714
5500,20190115,2882
5577,20190116,4561
5654,20190117,19348
5731,20190118,5297
5808,20190121,2559
5885,20190122,22048
5962,20190123,16538
6039,20190124,55941
6116,20190125,121256
6193,20190128,14241
6270,20190129,9551
6347,20190130,21007
6424,20190131,37953
6501,20190201,114674
6578,20190207,36035
6655,20190208,30940
6732,20190211,2081
6809,20190212,12103
6886,20190213,1332
6963,20190214,29164
7040,20190215,8550
7117,20190218,23518
7194,20190219,26655
7271,20190220,160266
7348,20190221,26016
7425,20190222,4648
7502,20190225,15028
7579,20190226,7753
7656,20190227,13365
7733,20190228,12586
7810,20190304,7546
7887,20190305,11034
7964,20190306,20009
8041,20190307,11645
8118,20190308,13558
8195,20190311,12470
8272,20190312,21952
8349,20190313,14472
8426,20190314,15243
8503,20190315,34975
8580,20190318,22751
8657,20190319,1326
8734,20190320,30781
8811,20190321,61276
8888,20190322,7567
8965,20190325,1121
9042,20190326,3893
9119,20190327,36408
9196,20190328,10186
9273,20190329,13504
9350,20190401,21156
9427,20190402,11454
9504,20190403,9767
9581,20190404,25019
9658,20190405,180932
9735,20190408,62863
9812,20190409,36652
9889,20190410,16434
9966,20190411,47414
10043,20190412,29650
10120,20190415,60244
10197,20190416,2614
10274,20190417,73073
10351,20190418,17927
10428,20190419,96918
10505,20190422,13474
10582,20190423,35450
10659,20190424,8495
10736,20190425,2065
10813,20190426,16236
10890,20190429,12935
10967,20190430,24652
11044,20190502,1634
11121,20190503,11370
11198,20190507,17782
11275,20190508,10479
11352,20190509,36657
11429,20190510,39411
11506,20190513,8384
11583,20190514,18785
11660,20190515,6810
11737,20190516,30271
11814,20190517,23062
11891,20190520,8821
11968,20190521,2600
12045,20190522,11462
12122,20190523,34123
12199,20190524,39686
12276,20190527,2363
12353,20190528,9378
12430,20190529,15565
12507,20190530,14195
12584,20190531,37131
12661,20190603,5172
12738,20190604,20597
12815,20190605,38897
12892,20190607,12901
12969,20190610,5246
13046,20190611,6482
13123,20190612,14117
13200,20190613,67446
13277,20190614,117316
13354,20190617,27612
13431,20190618,8966
13508,20190619,3075
13585,20190620,9763
13662,20190621,15912
13739,20190624,8004
13816,20190625,9210
13893,20190626,11037
13970,20190627,33391
14047,20190628,8044
14124,20190701,15309
14201,20190702,14589
14278,20190703,78988
14355,20190704,22512
14432,20190705,14853
14509,20190708,15094
14586,20190709,3009
14663,20190710,80463
14740,20190711,39759
14817,20190712,423
14894,20190715,1403
14971,20190716,65193
15048,20190717,3162
15125,20190718,6825
15202,20190719,7713
15279,20190722,5835
15356,20190723,7360
15433,20190724,15001
15510,20190725,8788
15587,20190726,16772
15664,20190729,8667
15741,20190730,8163
15818,20190731,15443
15895,20190801,9646
15972,20190802,47337
16049,20190805,164252
16126,20190806,92350
16203,20190807,26495
16280,20190808,34625
16357,20190809,17054
16434,20190812,112550
16511,20190813,23348
16588,20190814,57897
16665,20190816,42526
16742,20190819,34139
16819,20190820,4281
16896,20190821,6881
16973,20190822,38309
17050,20190823,19702
17127,20190826,6074
17204,20190827,14721
17281,20190828,7830
17358,20190829,8301
17435,20190830,6039
17512,20190902,16239
17589,20190903,11740
17666,20190904,6933
17743,20190905,18311
17820,20190906,31240
17897,20190909,28885
17974,20190910,15338
18051,20190911,44622
18128,20190916,51454
18205,20190917,18289
18282,20190918,47072
18359,20190919,38466
18436,20190920,2925
18513,20190923,46418
18590,20190924,13455
18667,20190925,10975
18744,20190926,7003
18821,20190927,28268
18898,20190930,17396
18975,20191001,5420
19052,20191002,18068
19129,20191004,4886
19206,20191007,41226
19283,20191008,9771
19360,20191010,41925
19437,20191011,6835
19514,20191014,55521
19591,20191015,8994
19668,20191016,8316
19745,20191017,2743
19822,20191018,68418
19899,20191021,1233
19976,20191022,55270
20053,20191023,14494
20130,20191024,11075
20207,20191025,43503
20284,20191028,49591
20361,20191029,26212
20438,20191030,15231
20515,20191031,39214
20592,20191101,4273
20669,20191104,14759
20746,20191105,21608
20823,20191106,10839
20900,20191107,58895
20977,20191108,4608
21054,20191111,11186
21131,20191112,4516
21208,20191113,4026
21273,20191114,16909
21362,20191115,38239
21439,20191118,9364
21516,20191119,12047
21593,20191120,14420
21670,20191121,36773
21747,20191122,2058
21824,20191125,36058
21901,20191126,25328
21978,20191127,6410
22055,20191128,2488
22132,20191129,63331
22209,20191202,2065
22286,20191203,20508
22363,20191204,69541
22440,20191205,117001
22517,20191206,8363
22594,20191209,11018
22671,20191210,62883
22748,20191211,15249
22825,20191212,68521
22902,20191213,55292
22979,20191216,20866
23056,20191217,37799
23133,20191218,18845
23210,20191219,14744
23287,20191220,15798
23364,20191223,17775
23441,20191224,8097
23518,20191226,41791
23595,20191227,34496
23672,20191230,56909
23737,20200102,30314
23814,20200103,25491
23891,20200106,51847
23968,20200107,5993
24045,20200108,29301
24122,20200109,14889
24199,20200110,8779
24276,20200113,89487
24353,20200114,44091
24430,20200115,9553
24507,20200116,65453
24584,20200117,37415
24661,20200120,29622
24738,20200121,10897
24815,20200122,12336
24892,20200123,13752
24969,20200128,56236
25046,20200129,7671
25123,20200130,222645
25200,20200131,31156
25277,20200203,14703
25354,20200204,29623
25431,20200205,52316
25508,20200206,86650
25585,20200207,30358
25662,20200210,25811
25739,20200211,36147
25816,20200212,77261
25893,20200213,42096
25970,20200214,18621
26047,20200217,37463
26124,20200218,13885
26201,20200219,16184
26278,20200220,41467
26355,20200221,21409
26432,20200224,50963
26509,20200225,27118
26586,20200226,34292
26663,20200227,52322
26740,20200228,99685
26817,20200302,92928
26894,20200303,74015
26971,20200304,12590
27048,20200305,12792
27125,20200306,74283
27202,20200309,41511
27279,20200310,125654
27356,20200311,93081
27433,20200312,210890
27505,20200313,191209
27582,20200316,245333
27659,20200317,445659
27736,20200318,72906
27808,20200319,561117
27885,20200320,299227
27962,20200323,219027
28039,20200324,200376
28116,20200325,154501
28193,20200326,150491
28270,20200327,61600
28347,20200330,130031
28424,20200331,50710
28501,20200401,135588
28578,20200402,167106
28655,20200403,185099
28732,20200406,19898
28809,20200407,109029
28886,20200408,62014
28963,20200409,152091
29040,20200410,65542
29117,20200413,61063
29194,20200414,42740
29271,20200416,62746
29348,20200417,163817
29425,20200420,115092
29502,20200421,206562
29579,20200422,333604
29656,20200423,86859
29733,20200424,13099
29810,20200427,27468
