,date,y_volume_1005
12,20181001,42834
89,20181002,31638
166,20181004,112038
243,20181005,55538
320,20181008,26467
397,20181010,155310
474,20181011,148410
551,20181012,132227
628,20181015,87600
705,20181016,9657
782,20181017,25515
859,20181018,42869
936,20181019,57873
1013,20181022,20321
1090,20181023,65418
1167,20181024,36333
1244,20181025,72110
1321,20181026,50851
1398,20181029,54203
1475,20181030,135755
1552,20181031,334383
1629,20181101,16337
1706,20181102,41629
1783,20181105,103693
1860,20181106,45525
1937,20181107,93512
2014,20181108,33610
2091,20181109,221437
2168,20181112,19377
2245,20181113,49174
2322,20181114,36176
2387,20181115,95327
2476,20181116,39618
2553,20181119,142145
2630,20181120,118983
2707,20181121,13062
2784,20181122,16101
2861,20181123,55591
2938,20181126,133033
3015,20181127,66961
3092,20181128,42060
3169,20181129,128470
3246,20181130,59250
3323,20181203,49747
3400,20181204,32612
3477,20181205,41384
3554,20181206,89043
3631,20181207,117264
3708,20181210,136081
3785,20181211,11799
3862,20181212,52985
3939,20181213,119560
4016,20181214,153486
4093,20181217,113424
4170,20181218,96732
4247,20181219,31935
4324,20181220,219991
4401,20181221,68868
4478,20181224,104166
4555,20181226,23301
4632,20181227,43875
4709,20181228,49132
4774,20190102,249892
4851,20190103,148559
4928,20190104,82064
5005,20190107,31113
5082,20190108,33067
5159,20190109,45124
5236,20190110,9692
5313,20190111,39564
5390,20190114,15486
5467,20190115,99126
5544,20190116,61352
5621,20190117,45790
5698,20190118,17731
5775,20190121,40782
5852,20190122,119575
5929,20190123,8588
6006,20190124,117936
6083,20190125,26352
6160,20190128,8619
6237,20190129,43289
6314,20190130,97838
6391,20190131,23543
6468,20190201,25277
6545,20190207,19445
6622,20190208,29870
6699,20190211,74940
6776,20190212,165165
6853,20190213,31830
6930,20190214,25234
7007,20190215,82400
7084,20190218,79006
7161,20190219,68275
7238,20190220,83831
7315,20190221,26666
7392,20190222,6602
7469,20190225,49660
7546,20190226,48314
7623,20190227,22306
7700,20190228,48052
7777,20190304,93748
7854,20190305,110180
7931,20190306,38731
8008,20190307,26272
8085,20190308,59062
8162,20190311,30097
8239,20190312,39145
8316,20190313,125728
8393,20190314,76102
8470,20190315,26892
8547,20190318,14106
8624,20190319,74151
8701,20190320,73336
8778,20190321,128285
8855,20190322,36444
8932,20190325,124839
9009,20190326,67230
9086,20190327,118421
9163,20190328,105085
9240,20190329,33962
9317,20190401,31808
9394,20190402,39542
9471,20190403,43797
9548,20190404,110188
9625,20190405,125483
9702,20190408,4338
9779,20190409,90366
9856,20190410,26290
9933,20190411,11134
10010,20190412,13837
10087,20190415,24258
10164,20190416,28204
10241,20190417,52886
10318,20190418,52026
10395,20190419,22755
10472,20190422,14765
10549,20190423,70287
10626,20190424,21079
10703,20190425,86988
10780,20190426,67401
10857,20190429,23825
10934,20190430,82168
11011,20190502,14848
11088,20190503,13474
11165,20190507,18248
11242,20190508,70638
11319,20190509,46711
11396,20190510,97291
11473,20190513,44000
11550,20190514,60626
11627,20190515,84848
11704,20190516,55962
11781,20190517,104545
11858,20190520,67160
