,date,y_volume_1020
15,20181001,50230
92,20181002,30638
169,20181004,15561
246,20181005,61503
323,20181008,32219
400,20181010,68125
477,20181011,200474
554,20181012,28807
631,20181015,42673
708,20181016,71063
785,20181017,27088
862,20181018,58156
939,20181019,20515
1016,20181022,56794
1093,20181023,82727
1170,20181024,51101
1247,20181025,57731
1324,20181026,211544
1401,20181029,42590
1478,20181030,54359
1555,20181031,34600
1632,20181101,74034
1709,20181102,122812
1786,20181105,90053
1863,20181106,27767
1940,20181107,12134
2017,20181108,10749
2094,20181109,125322
2171,20181112,45844
2248,20181113,134917
2325,20181114,41621
2390,20181115,61535
2479,20181116,37500
2556,20181119,16345
2633,20181120,67342
2710,20181121,8496
2787,20181122,37064
2864,20181123,95450
2941,20181126,87466
3018,20181127,218415
3095,20181128,23249
3172,20181129,48521
3249,20181130,54186
3326,20181203,150092
3403,20181204,27288
3480,20181205,31398
3557,20181206,42857
3634,20181207,38490
3711,20181210,69455
3788,20181211,57255
3865,20181212,141350
3942,20181213,308523
4019,20181214,107167
4096,20181217,15346
4173,20181218,51592
4250,20181219,248119
4327,20181220,158941
4404,20181221,78328
4481,20181224,36215
4558,20181226,74413
4635,20181227,63069
4712,20181228,60432
4777,20190102,134462
4854,20190103,63649
4931,20190104,44487
5008,20190107,39107
5085,20190108,20725
5162,20190109,63424
5239,20190110,46090
5316,20190111,33839
5393,20190114,13110
5470,20190115,9758
5547,20190116,6847
5624,20190117,18825
5701,20190118,20739
5778,20190121,149666
5855,20190122,102532
5932,20190123,26019
6009,20190124,63735
6086,20190125,64543
6163,20190128,14706
6240,20190129,94550
6317,20190130,57394
6394,20190131,29906
6471,20190201,151619
6548,20190207,45371
6625,20190208,69258
6702,20190211,141458
6779,20190212,157839
6856,20190213,44566
6933,20190214,20503
7010,20190215,5914
7087,20190218,23979
7164,20190219,38527
7241,20190220,109421
7318,20190221,17817
7395,20190222,51622
7472,20190225,19141
7549,20190226,29527
7626,20190227,24199
7703,20190228,16968
7780,20190304,104940
7857,20190305,24177
7934,20190306,78264
8011,20190307,46883
8088,20190308,33483
8165,20190311,59652
8242,20190312,48908
8319,20190313,41248
8396,20190314,17847
8473,20190315,69739
8550,20190318,75880
8627,20190319,37175
8704,20190320,72444
8781,20190321,57195
8858,20190322,24388
8935,20190325,19188
9012,20190326,50893
9089,20190327,25491
9166,20190328,59715
9243,20190329,41438
9320,20190401,20853
9397,20190402,30481
9474,20190403,70975
9551,20190404,45940
9628,20190405,23950
9705,20190408,201829
9782,20190409,47116
9859,20190410,23865
9936,20190411,5501
10013,20190412,27204
10090,20190415,47521
10167,20190416,80328
10244,20190417,25811
10321,20190418,14368
10398,20190419,13485
10475,20190422,6653
10552,20190423,97952
10629,20190424,107712
10706,20190425,26082
10783,20190426,143628
10860,20190429,35208
10937,20190430,30417
11014,20190502,32058
11091,20190503,25473
11168,20190507,13978
11245,20190508,15877
11322,20190509,23593
11399,20190510,18232
11476,20190513,10581
11553,20190514,50045
11630,20190515,150763
11707,20190516,132386
11784,20190517,70090
11861,20190520,13518
11938,20190521,36215
12015,20190522,205955
12092,20190523,54196
12169,20190524,4668
12246,20190527,44625
12323,20190528,19748
12400,20190529,37548
12477,20190530,32476
12554,20190531,132167
12631,20190603,22016
12708,20190604,35720
12785,20190605,37968
12862,20190607,11095
12939,20190610,20012
13016,20190611,5540
13093,20190612,63176
13170,20190613,66846
13247,20190614,26887
13324,20190617,48461
13401,20190618,49637
13478,20190619,52861
13555,20190620,72242
13632,20190621,70690
13709,20190624,19026
13786,20190625,6694
13863,20190626,57783
13940,20190627,42793
14017,20190628,7482
14094,20190701,98148
14171,20190702,57850
14248,20190703,35172
14325,20190704,8339
14402,20190705,4964
14479,20190708,39207
14556,20190709,67799
14633,20190710,12410
14710,20190711,27207
14787,20190712,12900
14864,20190715,6298
14941,20190716,11195
15018,20190717,35126
15095,20190718,22727
15172,20190719,73521
15249,20190722,118783
15326,20190723,36726
15403,20190724,34031
15480,20190725,121856
15557,20190726,5942
15634,20190729,156584
15711,20190730,20217
15788,20190731,86123
15865,20190801,15188
15942,20190802,363447
16019,20190805,108527
16096,20190806,242740
16173,20190807,73788
16250,20190808,29573
16327,20190809,63468
16404,20190812,86359
16481,20190813,162667
16558,20190814,165889
16635,20190816,91552
16712,20190819,28583
16789,20190820,33957
16866,20190821,51137
16943,20190822,26964
17020,20190823,28652
17097,20190826,96328
17174,20190827,24931
17251,20190828,64733
17328,20190829,57640
17405,20190830,46814
17482,20190902,16936
