,date,volume
0,20181001,493860
1,20181002,354804
2,20181004,236701
3,20181005,506247
4,20181008,361416
5,20181010,334747
6,20181011,1010850
7,20181012,614993
8,20181015,442833
9,20181016,274864
10,20181017,461751
11,20181018,184396
12,20181019,429852
13,20181022,312753
14,20181023,360426
15,20181024,681031
16,20181025,1548167
17,20181026,576678
18,20181029,530914
19,20181030,762839
20,20181031,447521
21,20181101,644613
22,20181102,321582
23,20181105,647224
24,20181106,365475
25,20181107,717618
26,20181108,909935
27,20181109,945744
28,20181112,257205
29,20181113,933156
30,20181114,526816
31,20181116,661756
32,20181119,418462
33,20181120,910773
34,20181121,1108046
35,20181122,266384
36,20181123,231917
37,20181126,294278
38,20181127,577907
39,20181128,154478
40,20181129,491121
41,20181130,210950
42,20181203,1728199
43,20181204,323068
44,20181205,594986
45,20181206,485568
46,20181207,435460
47,20181210,467968
48,20181211,346853
49,20181212,557987
50,20181213,290751
51,20181214,587743
52,20181217,292903
53,20181218,408123
54,20181219,527089
55,20181220,511100
56,20181221,315972
57,20181224,322731
58,20181226,402250
59,20181227,849463
60,20181228,548428
61,20190103,754914
62,20190104,477866
63,20190107,701646
64,20190108,445370
65,20190109,477453
66,20190110,660667
67,20190111,605669
68,20190114,642626
69,20190115,769513
70,20190116,855392
71,20190117,714433
72,20190118,703228
73,20190121,483010
74,20190122,576263
75,20190123,379443
76,20190124,705058
77,20190125,701928
78,20190128,884455
79,20190129,665853
80,20190130,819405
81,20190131,1094450
82,20190201,1592267
83,20190207,826492
84,20190208,674281
85,20190211,352539
86,20190212,327883
87,20190213,584952
88,20190214,397106
89,20190215,337012
90,20190218,372453
91,20190219,599448
92,20190220,523053
93,20190221,246955
94,20190222,399612
95,20190225,538734
96,20190226,513315
97,20190227,406874
98,20190228,440592
99,20190304,315606
100,20190305,428286
101,20190306,388197
102,20190307,504144
103,20190308,276757
104,20190311,945429
105,20190312,483996
106,20190313,300404
107,20190314,289759
108,20190315,375974
109,20190318,577590
110,20190319,806480
111,20190320,291679
112,20190321,678793
113,20190322,764660
114,20190325,622929
115,20190326,745907
116,20190327,401863
117,20190328,702304
118,20190329,455978
119,20190401,506055
120,20190402,446692
121,20190403,90712
122,20190404,238520
123,20190405,538329
124,20190408,377733
125,20190409,497407
126,20190410,638049
127,20190411,474197
128,20190412,395640
129,20190415,687209
130,20190416,596473
131,20190417,681933
132,20190418,602637
133,20190419,710461
134,20190422,516615
135,20190423,882823
136,20190424,307213
137,20190425,670904
138,20190426,593678
139,20190429,203632
140,20190430,450284
141,20190502,103710
142,20190503,193705
143,20190507,673957
144,20190508,263832
145,20190509,193939
146,20190510,545522
147,20190513,433984
148,20190514,804237
149,20190515,846036
150,20190516,638892
151,20190517,413505
