,date,y_volume_1000
11,20181001,31779
88,20181002,11936
165,20181004,70216
242,20181005,28689
319,20181008,21312
396,20181010,99902
473,20181011,114555
550,20181012,104105
627,20181015,74079
704,20181016,21713
781,20181017,34195
858,20181018,28559
935,20181019,61816
1012,20181022,15011
1089,20181023,39065
1166,20181024,192924
1243,20181025,48598
1320,20181026,51552
1397,20181029,30386
1474,20181030,35810
1551,20181031,38682
1628,20181101,116580
1705,20181102,87360
1782,20181105,60037
1859,20181106,182366
1936,20181107,28341
2013,20181108,55830
2090,20181109,223766
2167,20181112,28969
2244,20181113,109074
2321,20181114,23031
2475,20181116,92641
2552,20181119,41199
2629,20181120,33061
2706,20181121,32140
2783,20181122,9709
2860,20181123,64964
2937,20181126,72439
3014,20181127,68110
3091,20181128,37738
3168,20181129,30860
3245,20181130,10756
3322,20181203,14561
3399,20181204,80417
3476,20181205,27570
3553,20181206,35631
3630,20181207,131217
3707,20181210,103486
3784,20181211,17651
3861,20181212,25562
3938,20181213,83678
4015,20181214,379859
4092,20181217,117491
4169,20181218,69603
4246,20181219,32055
4323,20181220,63370
4400,20181221,62151
4477,20181224,57724
4554,20181226,105648
4631,20181227,24843
4708,20181228,19152
4850,20190103,96991
4927,20190104,95890
5004,20190107,14137
5081,20190108,87703
5158,20190109,95620
5235,20190110,8802
5312,20190111,34902
5389,20190114,16364
5466,20190115,10553
5543,20190116,22128
5620,20190117,18719
5697,20190118,16085
5774,20190121,26968
5851,20190122,157594
5928,20190123,103173
6005,20190124,23064
6082,20190125,31377
6159,20190128,11429
6236,20190129,128560
6313,20190130,58114
6390,20190131,46962
6467,20190201,58385
6544,20190207,76932
6621,20190208,77883
6698,20190211,23073
6775,20190212,135281
6852,20190213,139911
6929,20190214,11375
7006,20190215,8744
7083,20190218,14980
7160,20190219,17399
7237,20190220,181207
7314,20190221,44404
7391,20190222,15090
7468,20190225,42734
7545,20190226,26914
7622,20190227,43052
7699,20190228,40242
7776,20190304,23427
7853,20190305,59539
7930,20190306,55456
8007,20190307,90368
8084,20190308,58571
8161,20190311,65461
8238,20190312,38267
8315,20190313,79292
8392,20190314,43588
8469,20190315,33237
8546,20190318,23805
8623,20190319,18019
8700,20190320,80905
8777,20190321,136694
8854,20190322,6249
8931,20190325,143657
9008,20190326,41595
9085,20190327,194436
9162,20190328,29886
9239,20190329,172873
9316,20190401,48123
9393,20190402,35861
9470,20190403,70725
9547,20190404,5307
9624,20190405,47787
9701,20190408,8390
9778,20190409,70436
9855,20190410,13477
9932,20190411,9481
10009,20190412,22403
10086,20190415,29376
10163,20190416,48868
10240,20190417,13749
10317,20190418,33312
10394,20190419,30930
10471,20190422,18618
10548,20190423,27036
10625,20190424,33325
10702,20190425,173156
10779,20190426,119194
10856,20190429,16208
10933,20190430,33575
11010,20190502,45017
11087,20190503,31575
11164,20190507,11937
11241,20190508,63832
11318,20190509,59924
11395,20190510,82220
11472,20190513,108362
11549,20190514,97739
11626,20190515,61406
11703,20190516,58471
11780,20190517,63655
11857,20190520,144949
11934,20190521,71712
12011,20190522,155236
12088,20190523,67313
12165,20190524,19230
12242,20190527,83679
12319,20190528,11282
12396,20190529,48540
12473,20190530,50224
12550,20190531,116891
12627,20190603,15531
12704,20190604,20093
12781,20190605,30826
12858,20190607,47399
12935,20190610,10193
13012,20190611,26220
13089,20190612,24684
13166,20190613,26521
13243,20190614,48352
13320,20190617,41353
13397,20190618,108742
13474,20190619,28814
13551,20190620,13361
13628,20190621,49495
13705,20190624,22236
13782,20190625,27790
13859,20190626,54177
13936,20190627,51804
14013,20190628,21926
14090,20190701,34921
14167,20190702,34165
14244,20190703,38323
14321,20190704,18567
14398,20190705,10686
14475,20190708,42278
14552,20190709,30706
14629,20190710,48156
14706,20190711,45799
14783,20190712,39108
14860,20190715,4922
14937,20190716,87604
15014,20190717,33312
15091,20190718,220783
15168,20190719,2789
15245,20190722,6163
15322,20190723,33780
15399,20190724,6055
15476,20190725,15520
15553,20190726,63753
15630,20190729,57469
15707,20190730,10144
15784,20190731,52188
15861,20190801,14488
15938,20190802,62513
16015,20190805,19796
16092,20190806,79988
16169,20190807,44080
16246,20190808,37046
16323,20190809,17289
16400,20190812,4456
16477,20190813,34211
16554,20190814,93811
16631,20190816,20743
16708,20190819,25865
16785,20190820,26171
16862,20190821,86000
16939,20190822,50792
17016,20190823,39549
17093,20190826,53909
17170,20190827,23379
17247,20190828,19917
17324,20190829,70764
17401,20190830,47688
17478,20190902,50257
17555,20190903,77240
17632,20190904,18681
17709,20190905,85809
17786,20190906,31455
17863,20190909,21658
17940,20190910,85563
18017,20190911,26624
18094,20190916,53487
18171,20190917,51125
18248,20190918,79357
18325,20190919,88642
18402,20190920,25873
18479,20190923,127156
18556,20190924,9998
18633,20190925,76113
18710,20190926,41109
18787,20190927,19320
18864,20190930,15326
18941,20191001,30733
19018,20191002,25815
19095,20191004,39622
19172,20191007,51765
19249,20191008,55525
19326,20191010,30768
19403,20191011,83455
19480,20191014,22612
19557,20191015,38030
19634,20191016,13228
19711,20191017,44921
19788,20191018,63686
19865,20191021,8951
19942,20191022,7918
20019,20191023,56409
20096,20191024,29521
20173,20191025,29425
20250,20191028,43439
20327,20191029,19723
20404,20191030,163056
20481,20191031,43319
20558,20191101,9842
20635,20191104,32020
20712,20191105,43109
20789,20191106,19308
20866,20191107,24804
20943,20191108,116807
21020,20191111,72540
21097,20191112,112279
21174,20191113,116168
21328,20191115,80144
21405,20191118,12711
21482,20191119,29939
21559,20191120,28398
21636,20191121,40763
21713,20191122,41000
21790,20191125,24102
21867,20191126,78798
21944,20191127,15783
22021,20191128,28928
22098,20191129,88979
22175,20191202,9868
22252,20191203,28643
22329,20191204,11788
22406,20191205,13497
22483,20191206,177941
22560,20191209,66565
22637,20191210,56391
22714,20191211,28488
22791,20191212,72091
22868,20191213,39607
22945,20191216,39934
23022,20191217,56413
23099,20191218,56485
23176,20191219,39315
23253,20191220,47930
23330,20191223,46916
23407,20191224,36239
23484,20191226,12979
23561,20191227,70523
23638,20191230,36129
23780,20200103,8153
23857,20200106,89276
23934,20200107,31464
24011,20200108,27065
24088,20200109,18995
24165,20200110,16411
24242,20200113,55585
24319,20200114,34304
24396,20200115,16472
24473,20200116,74394
24550,20200117,22793
24627,20200120,19352
24704,20200121,6283
24781,20200122,16154
24858,20200123,23911
24935,20200128,107800
25012,20200129,68674
25089,20200130,53586
25166,20200131,19692
25243,20200203,96212
25320,20200204,34224
25397,20200205,80428
25474,20200206,40350
25551,20200207,89773
25628,20200210,6657
25705,20200211,22498
25782,20200212,22835
25859,20200213,58704
25936,20200214,98039
26013,20200217,32862
26090,20200218,82041
26167,20200219,111564
26244,20200220,28774
26321,20200221,55625
26398,20200224,257705
26475,20200225,131354
26552,20200226,114735
26629,20200227,91899
26706,20200228,181724
26783,20200302,266050
26860,20200303,87490
26937,20200304,91563
27014,20200305,78317
27091,20200306,45879
27168,20200309,153041
27245,20200310,332163
27322,20200311,231625
27399,20200312,148154
27476,20200313,280735
27548,20200316,126499
27625,20200317,282060
27702,20200318,391481
27779,20200319,575273
27851,20200320,448080
27928,20200323,231306
28005,20200324,175962
28082,20200325,141525
28159,20200326,257494
28236,20200327,237127
28313,20200330,201418
28390,20200331,149053
28467,20200401,169974
28544,20200402,110504
28621,20200403,182112
28698,20200406,103243
28775,20200407,192681
28852,20200408,104243
28929,20200409,214615
29006,20200410,179941
29083,20200413,222957
29160,20200414,269919
29237,20200416,125962
29314,20200417,149299
29391,20200420,105423
29468,20200421,61194
29545,20200422,113558
29622,20200423,182558
29699,20200424,39111
29776,20200427,326178
29853,20200428,101075
29930,20200429,102951
30007,20200504,68277
30084,20200506,117428
30161,20200507,31500
30238,20200508,101952
30315,20200511,45960
30392,20200512,309517
30469,20200513,70038
30546,20200514,44899
30623,20200515,91240
30700,20200518,92958
30777,20200519,70951
30854,20200520,45657
30931,20200521,85820
31008,20200522,104853
31085,20200525,83358
31162,20200526,202114
31239,20200527,185364
31316,20200528,107597
31393,20200529,102409
31470,20200601,158107
31547,20200602,134261
31624,20200603,114868
31701,20200604,221317
31778,20200605,88290
31855,20200608,107448
31932,20200609,161037
32009,20200610,72169
32086,20200611,77331
32163,20200612,167438
32240,20200615,216742
32317,20200616,242319
32394,20200617,125513
32471,20200618,47701
32548,20200619,79117
32625,20200622,71172
32702,20200623,219814
32779,20200624,92923
32856,20200625,221513
32933,20200626,357809
33010,20200629,181342
33087,20200630,183354
33164,20200701,47085
33241,20200702,43993
