,date,y_volume_1335
21602,20191120,28777
21679,20191121,53957
21756,20191122,17802
21833,20191125,41507
21910,20191126,4763
21987,20191127,13076
22064,20191128,12937
22141,20191129,57374
22218,20191202,27002
22295,20191203,39271
22372,20191204,9577
22449,20191205,32617
22526,20191206,12391
22603,20191209,20268
22680,20191210,66132
22757,20191211,90939
22834,20191212,62178
22911,20191213,44562
22988,20191216,27138
23065,20191217,26310
23142,20191218,22939
23219,20191219,7382
23296,20191220,2887
23373,20191223,8634
23450,20191224,15166
23527,20191226,47622
23604,20191227,50529
23681,20191230,52288
23746,20200102,18358
23823,20200103,34629
23900,20200106,30398
23977,20200107,7119
24054,20200108,46280
24131,20200109,52112
24208,20200110,28604
24285,20200113,17374
24362,20200114,42908
24439,20200115,15875
24516,20200116,84629
24593,20200117,116613
24670,20200120,23972
24747,20200121,12660
24824,20200122,37350
24901,20200123,28594
24978,20200128,48359
25055,20200129,22427
25132,20200130,25052
25209,20200131,26496
25286,20200203,18950
25363,20200204,319795
25440,20200205,38946
25517,20200206,51843
25594,20200207,37857
25671,20200210,16157
25748,20200211,89197
25825,20200212,40498
25902,20200213,68912
25979,20200214,14449
26056,20200217,13618
26133,20200218,9678
26210,20200219,18648
26287,20200220,32822
26364,20200221,29715
26441,20200224,75260
26518,20200225,65816
26595,20200226,57421
26672,20200227,142128
26749,20200228,194642
26826,20200302,49934
26903,20200303,68818
26980,20200304,52659
27057,20200305,16737
27134,20200306,30781
27211,20200309,37608
27288,20200310,114292
27365,20200311,69212
27442,20200312,331494
27514,20200313,223596
27591,20200316,404108
27668,20200317,630482
27745,20200318,351707
27817,20200319,637052
27894,20200320,412568
27971,20200323,110410
28048,20200324,195793
28125,20200325,152353
28202,20200326,83310
28279,20200327,147852
28356,20200330,176765
28433,20200331,214515
28510,20200401,177672
28587,20200402,235020
28664,20200403,204124
28741,20200406,81365
28818,20200407,149160
28895,20200408,83547
28972,20200409,156728
29049,20200410,94675
29126,20200413,109291
29203,20200414,66729
29280,20200416,55196
29357,20200417,166065
29434,20200420,25001
29511,20200421,53468
29588,20200422,344130
29665,20200423,63004
29742,20200424,27803
29819,20200427,110863
29896,20200428,58669
29973,20200429,63979
30050,20200504,58386
30127,20200506,32254
30204,20200507,77053
30281,20200508,63454
30358,20200511,58698
30435,20200512,43619
30512,20200513,16937
30589,20200514,59330
30666,20200515,75675
30743,20200518,17135
30820,20200519,56404
30897,20200520,28905
30974,20200521,39486
31051,20200522,44901
31128,20200525,38458
31205,20200526,45381
31282,20200527,64345
31359,20200528,150262
31436,20200529,71297
31513,20200601,73225
31590,20200602,66086
31667,20200603,137181
31744,20200604,143819
31821,20200605,54245
31898,20200608,127582
31975,20200609,48223
32052,20200610,89848
32129,20200611,93437
32206,20200612,166853
32283,20200615,95091
32360,20200616,56593
32437,20200617,155195
32514,20200618,60109
32591,20200619,44654
32668,20200622,38098
32745,20200623,66819
32822,20200624,122442
32899,20200625,153625
32976,20200626,57292
33053,20200629,48395
33130,20200630,77756
33207,20200701,26855
33284,20200702,15445
33361,20200703,52458
33438,20200706,115894
33515,20200707,79100
33592,20200708,158505
33669,20200709,48369
33746,20200710,58073
33823,20200713,18869
