,date,y_volume_1150
33,20181001,4476
110,20181002,14827
187,20181004,18663
264,20181005,14765
341,20181008,37679
418,20181010,73777
495,20181011,79602
572,20181012,136686
649,20181015,33363
726,20181016,31163
803,20181017,1328
880,20181018,44205
957,20181019,8762
1034,20181022,26047
1111,20181023,20057
1188,20181024,9937
1265,20181025,58004
1342,20181026,30966
1419,20181029,27225
1496,20181030,20850
1573,20181031,29863
1650,20181101,50785
1727,20181102,22119
1804,20181105,32090
1881,20181106,5677
1958,20181107,9160
2035,20181108,36891
2112,20181109,18239
2189,20181112,70752
2266,20181113,51245
2343,20181114,5834
2408,20181115,13987
2497,20181116,38491
2574,20181119,30665
2651,20181120,22355
2728,20181121,4891
2805,20181122,28917
2882,20181123,5635
2959,20181126,113206
3036,20181127,18637
3113,20181128,9117
3190,20181129,8561
3267,20181130,27915
3344,20181203,7993
3421,20181204,8864
3498,20181205,8466
3575,20181206,13802
3652,20181207,43807
3729,20181210,147385
3806,20181211,32790
3883,20181212,123564
3960,20181213,124228
4037,20181214,160577
4114,20181217,91338
4191,20181218,28887
4268,20181219,20906
4345,20181220,144737
4422,20181221,42457
4499,20181224,37993
4576,20181226,50121
4653,20181227,17234
4730,20181228,28460
4795,20190102,34312
4872,20190103,7379
4949,20190104,26519
5026,20190107,4543
5103,20190108,59194
5180,20190109,33386
5257,20190110,5714
5334,20190111,35221
5411,20190114,7042
5488,20190115,2105
5565,20190116,15227
5642,20190117,41273
5719,20190118,16338
5796,20190121,2770
5873,20190122,29638
5950,20190123,15512
6027,20190124,14706
6104,20190125,70028
6181,20190128,12064
6258,20190129,16669
6335,20190130,20061
6412,20190131,97981
6489,20190201,18551
6566,20190207,25109
6643,20190208,71619
6720,20190211,60605
6797,20190212,74679
6874,20190213,18356
6951,20190214,21405
7028,20190215,101809
7105,20190218,24527
7182,20190219,30219
7259,20190220,12002
7336,20190221,16193
7413,20190222,4748
7490,20190225,25257
7567,20190226,38492
7644,20190227,11164
7721,20190228,73892
7798,20190304,16967
7875,20190305,25760
7952,20190306,25895
8029,20190307,11489
8106,20190308,18292
8183,20190311,17714
8260,20190312,13228
8337,20190313,17526
8414,20190314,46426
8491,20190315,141732
8568,20190318,11135
8645,20190319,12349
8722,20190320,69720
8799,20190321,37078
8876,20190322,7224
8953,20190325,8935
9030,20190326,12649
9107,20190327,26053
9184,20190328,43699
9261,20190329,14323
9338,20190401,3846
9415,20190402,26692
9492,20190403,7075
9569,20190404,14807
9646,20190405,26152
9723,20190408,31585
9800,20190409,25513
9877,20190410,38405
9954,20190411,6312
10031,20190412,30297
10108,20190415,6318
10185,20190416,10279
10262,20190417,30370
10339,20190418,40429
10416,20190419,38510
10493,20190422,22173
10570,20190423,32095
10647,20190424,53423
10724,20190425,27992
10801,20190426,3090
10878,20190429,12382
10955,20190430,31835
11032,20190502,4221
