,date,y_volume_0905,y_volume_0910,y_volume_0915,y_volume_0920,y_volume_0925,y_volume_0930,y_volume_0935,y_volume_0940,y_volume_0945,y_volume_0950,y_volume_0955,y_volume_1000,y_volume_1005,y_volume_1010,y_volume_1015,y_volume_1020,y_volume_1025,y_volume_1030,y_volume_1035,y_volume_1040,y_volume_1045,y_volume_1050,y_volume_1055,y_volume_1100,y_volume_1105,y_volume_1110,y_volume_1115,y_volume_1120,y_volume_1125,y_volume_1130,y_volume_1135,y_volume_1140,y_volume_1145,y_volume_1150,y_volume_1155,y_volume_1200,y_volume_1205,y_volume_1210,y_volume_1215,y_volume_1220,y_volume_1225,y_volume_1230,y_volume_1235,y_volume_1240,y_volume_1245,y_volume_1250,y_volume_1255,y_volume_1300,y_volume_1305,y_volume_1310,y_volume_1315,y_volume_1320,y_volume_1325,y_volume_1330,y_volume_1335,y_volume_1340,y_volume_1345,y_volume_1350,y_volume_1355,y_volume_1400,y_volume_1405,y_volume_1410,y_volume_1415,y_volume_1420,y_volume_1425,y_volume_1430,y_volume_1435,y_volume_1440,y_volume_1445,y_volume_1450,y_volume_1455,y_volume_1500,y_volume_1505,y_volume_1510,y_volume_1515,y_volume_1520,y_volume_1530
10,20181017,99749,75474,192758,93770,57410,59166,54368,51528,34223,14108,41255,34195,25515,24901,9640,27088,17340,22929,33932,26401,32312,42683,32153,6518,16754,5117,41932,37854,16113,8604,4422,13146,11009,1328,6396,10591,21019,772,4303,24912,13754,21136,3336,23046,25170,35098,11430,20096,20863,52100,18704,11964,13545,17091,24415,10989,41485,28637,39993,35139,37753,42831,54467,119044,93703,88897,102483,104023,112767,74527,117078,128959,90590,141721,117212,87586,26238
11,20181018,126888,16258,18702,22548,38736,136325,60935,44552,23182,21596,41544,28559,42869,19759,18988,58156,15276,12582,48279,15631,22483,29458,12744,80083,80662,55320,70248,28115,23517,38231,42135,72272,28395,44205,78039,52430,41338,7924,13356,29500,73213,37433,19401,8301,14696,10166,10726,15503,24002,22669,22999,29104,16477,42691,29669,24428,10375,16977,20315,19509,31764,26547,42379,41731,8723,21733,17049,20539,35712,20230,11957,43240,88958,42076,56490,43488,69421
12,20181019,159046,103000,75672,92134,80528,49638,30950,46205,66983,60951,53872,61816,57873,22688,28909,20515,13969,57330,94584,44989,39890,20503,37005,17085,87579,32939,22036,39186,27188,51816,28866,13048,16780,8762,13745,9581,5471,12336,13083,20718,27731,14140,8845,24534,18803,38042,21671,19142,14658,26379,12210,20047,47731,44160,45686,28777,55576,32370,50650,34732,33231,28714,46315,35073,42880,36962,60075,39331,57877,47978,28172,45664,50693,61716,51736,64859,51199
13,20181022,146642,82807,42787,40517,38885,15604,62883,27158,38332,49894,18927,15011,20321,35715,22570,56794,19723,35703,94102,35626,59673,55138,10952,42955,43228,23178,23977,38474,22117,4044,14000,27650,14791,26047,10830,14248,13002,2823,3083,6043,3217,5516,82796,123345,171234,14671,50994,18754,47349,27757,20802,19487,13944,10319,14688,7137,11841,63984,57757,32314,31048,25602,32076,50706,34384,50324,72147,25128,49703,25972,48061,45818,37894,51041,36793,83942,80159
14,20181023,76752,86214,77279,120181,89753,43248,43786,51141,18812,243689,14757,39065,65418,312747,65885,82727,45677,64291,48408,29612,84261,44545,100143,15037,47859,10489,11685,7686,34304,58629,31224,22634,43393,20057,40256,36888,28236,28590,38999,88497,21731,64591,150935,28587,63470,67806,72723,47991,67990,71512,31614,42071,42331,94297,47907,40666,71056,65191,102936,68225,135700,85362,71263,67128,92013,79929,77073,50752,103969,61988,160135,78648,91304,222117,754912,578883,103000
15,20181024,118070,164499,65135,333327,87565,54427,45265,47145,26531,39827,40661,192924,36333,73228,22768,51101,78696,98530,80232,138436,90108,62050,74147,53526,297632,97641,64269,103562,60742,47769,43628,25006,19768,9937,14132,14595,31154,39896,15195,60371,18524,13856,29094,38983,15862,64050,22582,11155,18803,25277,33207,14369,51047,39877,89473,85460,79718,55190,98418,110229,52354,41461,45153,31500,49095,53921,60730,54619,42997,105556,155051,115072,141449,134614,125577,121872,134142
16,20181025,370226,348292,493022,336627,197326,45445,35077,69051,188327,176647,41302,48598,72110,114876,158786,57731,91056,81097,58985,104464,62629,149649,105548,81890,175981,103547,295341,93384,156214,165877,101343,99109,52061,58004,106592,101953,38779,86009,43542,86165,62243,104775,257702,65637,43008,37398,69076,112571,108097,77032,71027,52289,44240,78399,72407,107038,110760,64660,119278,87635,221924,189707,171375,123087,91636,114576,117788,196216,129724,182332,177365,233334,392890,358207,387540,223771,107438
17,20181026,169078,120328,113651,173621,107316,73986,100318,176890,188892,127285,243606,51552,50851,27932,22748,211544,235937,183095,42391,81724,83678,153589,43033,29532,35321,68623,40132,24637,77057,100748,148033,68242,48379,30966,15185,71141,51609,82086,58355,48996,68351,79347,128445,62309,42245,44067,49268,93360,83759,61415,93751,120946,61301,73579,83752,96013,181379,126866,124473,86585,209373,251130,119955,154600,86913,148978,126634,187277,168154,256683,230024,162940,135430,161621,180130,108018,142930
18,20181029,253025,142128,62098,73663,116586,47366,72587,80988,88678,37873,56764,30386,54203,48267,77374,42590,85441,53918,258201,203396,74994,51343,49008,85229,40811,47729,64866,27013,49988,282972,37952,31504,30878,27225,87642,34574,22751,17975,25917,21633,10544,10936,54750,28146,32203,26522,27593,5742,41959,53742,58834,48262,17225,50627,24497,14974,15922,22483,36515,48711,59266,62332,63959,34295,62292,72465,103341,116698,119777,96271,144154,131521,78783,136304,105341,91028,399236
19,20181030,292572,88688,186387,195192,176137,123815,45060,35847,115862,129420,51877,35810,135755,52082,50925,54359,75071,40915,45773,151806,24177,72696,128459,76627,44071,43764,14933,37703,27295,34579,163719,42402,40484,20850,20271,7938,48490,28696,94549,34970,52597,146792,56385,25729,48686,19652,57729,34878,96332,54140,10426,22150,14318,91316,99863,48665,45108,46198,62197,108882,105874,107609,103275,90245,95928,143860,166922,70934,80159,68881,156373,231823,193346,446782,537476,187454,84951
20,20181031,106431,96723,127696,116671,45006,223507,119351,78292,47250,71965,126137,38682,334383,48615,73488,34600,26738,28563,117793,154052,27604,123525,29995,82349,21611,32572,60720,31058,30751,31913,62902,79529,24907,29863,85971,38441,57565,51004,31052,44079,42390,58267,28066,25238,16036,30674,23519,17292,28931,61799,95141,42135,52730,47510,55369,62727,51927,49185,20802,61131,70379,59552,100390,54859,236887,60104,105566,159288,147064,18935,37915,38272,172624,74984,103212,124612,72140
21,20181101,236802,105594,197068,105149,82492,38773,51281,86257,37918,33669,92957,116580,16337,19741,79230,74034,420294,40448,60671,105241,25281,22297,27012,62841,47528,152561,16017,206901,49321,29417,27148,21434,42678,50785,43849,39621,24469,44692,27051,7485,13932,26035,6845,13058,72115,10987,18230,19404,13200,38416,29178,22604,21403,44225,17434,17335,14961,13253,34259,14324,42957,64951,42856,27322,20560,24128,61524,50374,13549,22137,37219,86901,57075,85079,42379,149646,56082
22,20181102,180319,76260,34293,30710,126679,35393,60279,55215,41537,163905,38495,87360,41629,41045,37641,122812,97348,79639,169563,64808,28166,106759,149710,131835,86272,54187,28230,45816,43395,58908,45846,35952,30302,22119,38106,41121,30527,44032,39907,41596,31746,33039,54848,31262,34699,34489,23462,64530,14584,18388,24316,39772,35016,48614,16523,38551,30232,94746,180824,252825,50487,21140,154346,94863,72704,115785,139345,131573,152126,125013,115191,156384,119653,116086,99723,176200,120553
23,20181105,355414,118003,90902,82905,138944,75912,75771,58818,65665,41178,70765,60037,103693,172751,55317,90053,95255,121716,79907,88333,20628,67762,20069,41800,39956,35162,69572,23099,11512,5829,5727,16667,4569,32090,11237,6813,15621,3862,14611,6928,5554,6038,13282,61996,10300,17062,9759,29994,9921,12421,13534,12182,11185,15595,13848,35299,12961,7930,36262,12775,68420,53229,36304,42606,23725,38002,39473,35910,18111,42798,57322,67771,58846,98227,140911,160122,387639
24,20181106,193341,49976,69114,53044,43086,224175,68600,74779,56029,99860,166666,182366,45525,84433,65135,27767,24966,19304,75292,99421,55883,54995,26326,6211,38726,12640,23048,10905,14252,61221,46304,67380,14401,5677,11717,7365,14812,125497,186585,158162,83897,4542,56140,7741,3948,51088,19926,28833,31880,28642,28263,33327,40450,39644,38549,31539,34701,32154,42275,29263,68310,42770,105346,85889,175719,49203,165341,54361,85424,84661,54365,91947,128633,60731,182882,129292,45101
25,20181107,206441,202409,146835,161933,162799,264065,130204,91888,184717,78982,123140,28341,93512,158786,20626,12134,33811,83585,103958,23604,43382,50827,20082,38020,21214,16815,24035,6169,7230,226567,202248,20122,19947,9160,12284,10324,14751,34191,29054,15205,27282,38623,17941,15230,43025,22541,48556,9964,13787,10352,61294,12265,20957,11399,21621,25383,19268,99572,48943,53643,180781,33468,38666,52203,69117,19918,28836,29510,69946,178385,111245,168010,198938,86294,60056,50713,56552
26,20181108,276794,339017,172643,121481,61227,49682,248498,33781,74329,54874,108107,55830,33610,59968,12773,10749,17671,32981,39517,49260,155429,10125,96703,73144,61916,45944,60930,32288,35849,41521,40346,48912,29362,36891,92813,118516,108866,39435,26107,44993,60828,64769,62777,22474,48952,21895,15668,164467,62381,37018,21622,50290,25328,10589,24215,7403,30823,23032,173831,91905,101621,28782,61114,63807,75401,107779,31925,58409,61904,12183,72428,206202,82441,79522,163968,113687,72281
27,20181109,291466,234431,86881,332966,36063,42856,415485,8824,208625,230451,26924,223766,221437,42065,44370,125322,3461,25755,253479,35327,210254,333990,39381,97834,43867,21500,137960,14266,35961,70102,67080,60120,54896,18239,31198,168071,28047,34322,40958,6687,47626,6050,21964,17920,10837,22945,14037,5815,25646,7019,12671,13605,10493,6150,30704,16036,40413,30131,10808,17541,37529,44076,64148,85241,96565,46456,51014,85989,115063,41325,20915,34985,27911,61245,334880,114806,570515
28,20181112,82673,61582,17525,95425,83189,68882,53447,87189,27856,71853,42236,28969,19377,32280,11423,45844,135500,46785,53977,36786,21306,14270,16666,21098,21255,6776,21301,10610,10179,6647,6352,6363,46089,70752,20061,25998,6736,11922,48898,41112,19473,8220,12503,8917,5679,23335,9814,16321,52283,36733,24644,12025,33939,11340,21566,10371,29774,42180,62255,15615,13786,17635,27456,23970,24068,32195,37273,69381,44043,37845,39315,49760,38655,57915,77188,61132,47057
29,20181113,443424,232063,133001,124668,93129,136581,74099,76743,62906,43582,39974,109074,49174,17036,50807,134917,33786,125330,33551,23729,65453,43067,25027,8261,69786,59710,46486,72495,103156,60577,46418,81532,42346,51245,43459,65926,17418,59426,23106,24391,32720,31186,264695,49514,28244,61224,46212,41610,120807,47821,40314,44903,42931,29452,55189,166175,16952,43690,28810,32405,39535,52004,35831,67167,35149,19000,31213,31079,26600,30975,30170,108581,38596,29039,48048,48421,113000
30,20181114,143624,102252,113500,167440,175295,163357,59090,133212,70988,52468,61069,23031,36176,21242,69234,41621,14723,34966,35299,60389,134674,52137,28592,14631,19551,49817,8593,34537,15512,19792,19598,33804,31198,5834,4507,4525,10495,18363,18848,7409,86224,6272,64741,6014,4023,22980,11761,16818,12921,15244,23528,18903,18567,23289,19717,20035,18838,29460,28806,26424,21171,36005,26967,43633,50324,29239,40229,27726,21682,17397,25406,29646,18597,26996,12170,70557,159285
31,20181116,240895,135364,208670,76827,47773,183187,46427,165246,82112,45458,43383,92641,39618,22618,32412,37500,13784,8861,18764,65242,35604,37888,23041,54672,22182,138896,17928,79748,22023,16888,32954,8044,12490,38491,14652,23364,23038,4934,3288,5306,10914,42380,30730,13375,27350,2511,52442,32254,14251,34751,10160,39890,33603,64200,52797,32249,48037,87794,22211,36637,26614,16617,90417,87802,78498,17469,21431,9666,20366,79253,15089,44043,13823,32812,43290,152303,59017
32,20181119,171156,40801,69495,137010,2002,81544,58949,27096,16739,12668,15500,41199,142145,49658,54330,16345,34723,44032,31592,14918,20885,22268,18983,80987,18436,32142,29296,7897,22211,22392,19000,16708,11152,30665,11086,17772,19403,9725,7731,9017,8545,15935,6148,5808,22418,2521,5505,18329,3494,11545,20845,15494,12185,10722,12190,17702,16399,16738,30640,13782,30826,24028,24868,40821,55246,38533,72939,37615,70809,46067,51950,120451,63518,138176,55045,125361,204698
