,Date,MINMAX_BTC
193,2020-07-10,147000.0
194,2020-07-11,-21000.0
195,2020-07-12,95000.0
196,2020-07-13,23000.0
197,2020-07-14,27000.0
198,2020-07-15,-15000.0
199,2020-07-16,-10000.0
200,2020-07-17,55000.0
201,2020-07-18,20000.0
202,2020-07-19,31000.0
203,2020-07-20,7000.0
204,2020-07-21,182000.0
205,2020-07-22,156000.0
206,2020-07-23,81000.0
207,2020-07-24,227000.0
208,2020-07-26,274000.0
209,2020-07-27,891000.0
210,2020-07-28,-148000.0
211,2020-07-29,184000.0
212,2020-07-30,104000.0
213,2020-07-31,321000.0
214,2020-08-01,181000.0
215,2020-08-02,-473000.0
216,2020-08-03,-38000.0
217,2020-08-04,-65000.0
218,2020-08-05,485000.0
219,2020-08-06,96000.0
220,2020-08-07,-154000.0
221,2020-08-08,100000.0
222,2020-08-09,44000.0
223,2020-08-10,-152000.0
224,2020-08-11,-269000.0
225,2020-08-12,221000.0
226,2020-08-13,197000.0
227,2020-08-14,97000.0
228,2020-08-15,-74000.0
229,2020-08-16,-2000.0
230,2020-08-17,398000.0
231,2020-08-18,-265000.0
232,2020-08-19,62000.0
233,2020-08-20,154000.0
234,2020-08-21,-158000.0
235,2020-08-22,94000.0
236,2020-08-23,73000.0
237,2020-08-24,-6000.0
238,2020-08-25,-168000.0
239,2020-08-26,157000.0
240,2020-08-27,-37000.0
241,2020-08-28,127000.0
242,2020-08-29,-22000.0
243,2020-08-30,61000.0
244,2020-08-31,143000.0
245,2020-09-01,98000.0
246,2020-09-02,-258000.0
247,2020-09-03,-1144000.0
248,2020-09-04,286000.0
249,2020-09-05,-117000.0
250,2020-09-06,132000.0
251,2020-09-07,231000.0
252,2020-09-08,-123000.0
253,2020-09-09,108000.0
254,2020-09-10,47000.0
255,2020-09-11,120000.0
256,2020-09-12,100000.0
257,2020-09-13,-130000.0
258,2020-09-14,343000.0
259,2020-09-15,120000.0
260,2020-09-16,106000.0
261,2020-09-17,40000.0
262,2020-09-18,66000.0
