Date,Price,Open,High,Low,High-low,Change %
10/04/2021,756.50 ,752.25 ,763.50 ,748.50 ,15.00 ,0.00 
10/01/2021,755.25 ,725.00 ,758.50 ,722.75 ,35.75 ,0.04 
09/30/2021,725.50 ,711.25 ,732.75 ,701.25 ,31.50 ,0.02 
09/29/2021,710.25 ,709.25 ,717.75 ,708.25 ,9.50 ,0.01 
09/28/2021,706.50 ,722.00 ,726.75 ,706.00 ,20.75 ,(0.02)
09/27/2021,722.25 ,723.50 ,728.50 ,720.25 ,8.25 ,(0.00)
09/24/2021,723.75 ,718.50 ,725.75 ,711.50 ,14.25 ,0.01 
09/23/2021,717.75 ,708.50 ,719.50 ,704.00 ,15.50 ,0.02 
09/22/2021,705.75 ,689.50 ,706.75 ,688.00 ,18.75 ,0.02 
09/21/2021,690.25 ,700.25 ,701.00 ,686.00 ,15.00 ,(0.02)
09/20/2021,700.75 ,708.00 ,710.75 ,695.75 ,15.00 ,(0.01)
09/17/2021,708.75 ,713.75 ,716.00 ,706.50 ,9.50 ,(0.01)
09/16/2021,713.00 ,711.25 ,716.75 ,705.00 ,11.75 ,0.00 
09/15/2021,712.25 ,700.00 ,714.75 ,695.25 ,19.50 ,0.04 
09/14/2021,685.00 ,677.25 ,677.25 ,677.25 ,0.00 ,0.02 
09/13/2021,674.50 ,671.50 ,671.50 ,671.50 ,0.00 ,(0.00)
09/10/2021,675.00 ,682.50 ,683.75 ,673.25 ,10.50 ,(0.01)
09/09/2021,681.50 ,700.00 ,700.00 ,683.50 ,16.50 ,(0.02)
09/08/2021,698.25 ,704.50 ,704.50 ,698.25 ,6.25 ,(0.01)
09/07/2021,708.75 ,718.50 ,718.50 ,704.25 ,14.25 ,(0.02)
09/06/2021,724.00 ,724.00 ,724.00 ,724.00 ,0.00 ,0.01 
09/03/2021,714.50 ,702.00 ,715.00 ,701.00 ,14.00 ,0.01 
09/02/2021,704.00 ,694.00 ,708.00 ,694.00 ,14.00 ,0.00 
09/01/2021,701.00 ,708.25 ,710.25 ,699.25 ,11.00 ,(0.01)
08/31/2021,706.75 ,706.50 ,707.50 ,690.25 ,17.25 ,(0.00)
08/30/2021,708.75 ,720.50 ,728.50 ,707.50 ,21.00 ,(0.01)
08/27/2021,718.50 ,725.75 ,731.25 ,717.75 ,13.50 ,(0.01)
08/26/2021,725.25 ,712.50 ,727.00 ,709.25 ,17.75 ,0.02 
08/25/2021,711.25 ,718.00 ,719.75 ,704.25 ,15.50 ,(0.01)
08/24/2021,718.00 ,722.75 ,723.25 ,710.75 ,12.50 ,(0.00)
08/23/2021,719.75 ,712.75 ,730.75 ,710.25 ,20.50 ,0.01 
08/20/2021,714.25 ,727.50 ,732.75 ,709.25 ,23.50 ,(0.02)
08/19/2021,727.50 ,737.00 ,737.00 ,716.00 ,21.00 ,(0.01)
08/18/2021,737.25 ,734.25 ,740.50 ,721.75 ,18.75 ,0.00 
08/17/2021,734.50 ,762.50 ,763.75 ,732.25 ,31.50 ,(0.03)
08/16/2021,760.50 ,762.50 ,770.25 ,757.75 ,12.50 ,(0.00)
