,date,open
0,20181001,27040
1,20181002,27130
2,20181004,26581
3,20181005,26397
4,20181008,26275
5,20181010,26055
6,20181011,25452
7,20181012,24998
8,20181015,24980
9,20181016,25110
10,20181017,25421
11,20181018,25205
12,20181019,24773
13,20181022,24953
14,20181023,24921
15,20181024,24719
16,20181025,23954
17,20181026,23914
18,20181029,23923
19,20181030,23581
20,20181031,23644
21,20181101,23847
22,20181102,24159
23,20181105,24262
24,20181106,24447
25,20181107,24705
26,20181108,24835
27,20181109,24678
28,20181112,24420
29,20181113,23947
30,20181114,24258
31,20181116,24650
32,20181119,24578
33,20181120,24389
34,20181121,23987
35,20181122,24276
36,20181123,24141
37,20181126,24172
38,20181127,24398
39,20181128,24538
40,20181129,24984
41,20181130,24786
42,20181203,24781
43,20181204,24822
44,20181205,24420
45,20181206,24317
46,20181207,24294
47,20181210,23870
48,20181211,23915
49,20181212,24077
50,20181213,24298
51,20181214,24190
52,20181217,24068
53,20181218,24028
54,20181219,24073
55,20181220,23906
56,20181221,23874
57,20181224,23811
58,20181226,23590
59,20181227,23933
60,20181228,24059
61,20190103,23599
62,20190104,23495
63,20190107,24150
64,20190108,24014
65,20190109,24113
66,20190110,24335
67,20190111,24375
68,20190114,24411
69,20190115,24542
70,20190116,24745
71,20190117,24858
72,20190118,25066
73,20190121,25133
74,20190122,25038
75,20190123,24989
76,20190124,25111
77,20190125,25485
78,20190128,25810
79,20190129,25679
80,20190130,25927
81,20190131,26334
82,20190201,26347
83,20190207,26189
84,20190208,25973
85,20190211,25779
86,20190212,25941
87,20190213,26067
88,20190214,25941
89,20190215,26171
90,20190218,26230
91,20190219,26108
92,20190220,26239
93,20190221,26261
94,20190222,26347
95,20190225,26528
96,20190226,26442
97,20190227,26455
98,20190228,26284
99,20190304,26194
100,20190305,25797
101,20190306,25630
102,20190307,25652
103,20190308,25436
104,20190311,25192
105,20190312,25485
106,20190313,25336
107,20190314,25296
108,20190315,25440
109,20190318,25729
110,20190319,25652
111,20190320,25499
112,20190321,26018
113,20190322,25991
114,20190325,25539
115,20190326,25395
116,20190327,25264
117,20190328,25246
118,20190329,25314
119,20190401,25702
120,20190402,25909
121,20190403,25873
122,20190404,26297
123,20190405,26361
124,20190408,26306
125,20190409,26297
126,20190410,26234
127,20190411,26460
128,20190412,26320
129,20190415,26568
130,20190416,26582
131,20190417,26654
132,20190418,26613
133,20190419,26365
134,20190422,26315
135,20190423,26212
136,20190424,26252
137,20190425,25959
138,20190426,25724
139,20190429,25925
140,20190430,26214
141,20190502,26219
142,20190503,26154
143,20190507,25677
144,20190508,25609
145,20190509,25517
146,20190510,25026
147,20190513,24829
148,20190514,24476
149,20190515,24627
150,20190516,24618
151,20190517,24544
152,20190520,24416
153,20190521,24430
154,20190522,24297
155,20190523,24384
156,20190524,24315
157,20190527,24315
158,20190528,24269
159,20190529,23989
160,20190530,24141
161,20190531,24109
162,20190603,24329
163,20190604,24503
164,20190605,24696
165,20190607,24540
166,20190610,24774
167,20190611,24962
168,20190612,25122
169,20190613,24916
170,20190614,24843
171,20190617,24774
172,20190618,24875
173,20190619,25205
174,20190620,25223
175,20190621,25278
176,20190624,25297
177,20190625,25306
178,20190626,25251
179,20190627,25356
180,20190628,25595
181,20190701,25641
182,20190702,25425
183,20190703,25411
184,20190704,25182
185,20190705,25274
186,20190708,24921
187,20190709,24824
188,20190710,24829
189,20190711,25017
190,20190712,25031
191,20190715,25022
192,20190716,25187
193,20190717,24962
194,20190718,24921
195,20190719,25141
196,20190722,25255
