date,PER,PBR,Dividend_Yield
20220318,12.36,1.1,1.88
20220317,12.3,1.1,1.89
20220316,12.14,1.08,1.92
20220315,11.97,1.07,1.94
20220314,12.07,1.08,1.93
20220311,12.15,1.08,1.91
20220310,12.23,1.09,1.9
20220308,11.97,1.07,1.94
20220307,12.1,1.08,1.92
20220304,12.39,1.11,1.88
20220303,12.54,1.12,1.85
20220302,12.34,1.1,1.88
20220228,12.32,1.1,1.89
20220225,12.2,1.09,1.91
20220224,12.07,1.08,1.93
20220223,12.39,1.11,1.88
20220222,12.34,1.1,1.88
20220221,12.51,1.12,1.86
20220218,12.51,1.12,1.86
20220217,12.51,1.12,1.86
20220216,12.44,1.11,1.87
20220215,12.2,1.09,1.91
20220214,12.33,1.1,1.89
20220211,12.53,1.12,1.86
20220210,12.64,1.13,1.84
20220209,12.62,1.13,1.84
20220208,12.52,1.12,1.86
20220207,12.51,1.12,1.86
20220204,12.53,1.12,1.86
20220203,12.34,1.1,1.88
20220128,12.14,1.08,1.92
20220127,11.16,1.0,2.08
20220126,11.57,1.04,2.0
20220125,11.62,1.04,2.0
20220124,11.93,1.07,1.94
20220121,12.11,1.09,1.92
20220120,12.23,1.1,1.9
20220119,12.14,1.09,1.91
20220118,12.23,1.1,1.9
20220117,12.35,1.11,1.88
20220114,12.48,1.12,1.86
20220113,12.66,1.14,1.83
20220112,12.7,1.14,1.83
20220111,12.51,1.12,1.85
20220110,12.51,1.12,1.85
20220107,12.62,1.13,1.84
20220106,12.47,1.12,1.86
20220105,12.61,1.13,1.84
20220104,12.76,1.15,1.82
20220103,12.76,1.15,1.82
20211230,12.72,1.14,1.82
20211229,12.78,1.15,1.81
20211228,12.89,1.16,1.8
20211227,12.8,1.15,1.81
20211224,12.86,1.15,1.8
20211223,12.8,1.15,1.81
20211222,12.74,1.14,1.82
20211221,12.7,1.14,1.82
20211220,12.65,1.14,1.83
20211217,12.89,1.16,1.8
20211216,12.84,1.15,1.81
20211215,12.77,1.15,1.82
20211214,12.76,1.15,1.82
20211213,12.82,1.15,1.81
20211210,14.62,1.2,1.8
20211209,14.71,1.21,1.79
20211208,14.57,1.2,1.81
20211207,14.52,1.19,1.82
20211206,14.43,1.19,1.83
20211203,14.4,1.18,1.83
20211202,14.29,1.17,1.85
20211201,14.07,1.16,1.87
