date,krx_close,krx_diff,krx_return,PER,PBR,Dividend_Yield
2018-03-07,311.14,0.68,0.22,11.41,1.1,1.42
2018-03-08,314.78,3.64,1.17,11.54,1.11,1.4
2018-03-09,317.67,2.89,0.92,12.06,1.16,1.34
2018-03-12,320.7,3.03,0.95,12.17,1.17,1.33
2018-03-13,322.98,2.28,0.71,12.26,1.18,1.32
2018-03-14,321.99,-0.99,-0.31,12.22,1.18,1.32
2018-03-15,322.74,0.75,0.23,12.25,1.18,1.32
2018-03-16,322.88,0.14,0.04,12.26,1.18,1.32
2018-03-19,320.35,-2.53,-0.78,12.16,1.17,1.33
2018-03-20,321.79,1.44,0.45,12.22,1.18,1.32
2018-03-21,321.6,-0.19,-0.06,12.21,1.18,1.32
2018-03-22,323.32,1.72,0.53,12.28,1.18,1.31
2018-03-23,312.42,-10.9,-3.37,11.86,1.14,1.36
2018-03-26,314.89,2.47,0.79,11.96,1.15,1.35
2018-03-27,316.34,1.45,0.46,12.02,1.16,1.34
2018-03-28,311.81,-4.53,-1.43,11.85,1.14,1.36
2018-03-29,313.82,2.01,0.64,11.92,1.15,1.35
2018-03-30,314.61,0.79,0.25,11.95,1.15,1.35
