,date,y_change
376,20200416,84
377,20200417,133
378,20200420,-41
379,20200421,-106
380,20200422,-46
381,20200423,-23
382,20200424,-28
383,20200427,50
384,20200428,52
385,20200429,-23
386,20200504,-198
387,20200506,-141
388,20200507,-33
389,20200508,112
390,20200511,127
391,20200512,-173
392,20200513,66
393,20200514,-104
394,20200515,-75
395,20200518,-145
396,20200519,38
397,20200520,113
398,20200521,5
399,20200522,-71
400,20200525,-52
401,20200526,80
402,20200527,-14
403,20200528,-4
404,20200529,-9
405,20200601,146
406,20200602,84
407,20200603,244
408,20200604,174
409,20200605,150
410,20200608,-173
411,20200609,146
412,20200610,14
413,20200611,-5
414,20200612,90
415,20200615,43
416,20200616,84
417,20200617,-32
418,20200618,-117
419,20200619,-409
420,20200622,108
421,20200623,164
422,20200624,118
423,20200625,-24
424,20200626,-28
425,20200629,-14
426,20200630,-19
427,20200701,-61
428,20200702,99
429,20200703,-94
430,20200706,10
431,20200707,19
432,20200708,28
433,20200709,23
434,20200710,-178
435,20200713,-79
436,20200714,18
437,20200715,118
438,20200716,-47
439,20200717,122
440,20200720,-75
441,20200721,33
442,20200722,-38
443,20200723,-140
444,20200724,80
445,20200727,220
446,20200728,197
447,20200729,51
448,20200730,71
449,20200731,-145
450,20200803,-127
451,20200804,109
452,20200805,-66
453,20200806,216
454,20200807,48
455,20200810,70
456,20200811,94
457,20200812,113
458,20200813,-52
459,20200814,5
460,20200818,-47
461,20200819,99
462,20200820,28
463,20200821,108
464,20200824,-85
465,20200825,-90
466,20200826,70
467,20200827,-42
468,20200828,-47
469,20200831,37
470,20200901,127
471,20200902,-57
472,20200903,85
473,20200904,216
474,20200907,-66
475,20200908,-42
476,20200909,15
477,20200910,47
478,20200911,52
479,20200914,-19
480,20200915,-33
481,20200916,-19
482,20200917,-132
483,20200918,4
484,20200921,89
485,20200922,-47
486,20200923,-52
487,20200924,-28
488,20200925,-38
489,20200928,-24
490,20200929,-66
491,20201005,28
492,20201006,98
493,20201007,14
494,20201008,-47
495,20201012,-85
496,20201013,-47
497,20201014,-24
498,20201015,-14
499,20201016,14
500,20201019,150
501,20201020,155
502,20201021,38
503,20201022,-132
504,20201023,-90
505,20201026,23
506,20201027,33
507,20201028,19
508,20201029,38
509,20201030,-80
510,20201102,47
511,20201103,146
512,20201104,56
513,20201105,193
514,20201106,146
515,20201109,14
516,20201110,-179
517,20201111,84
518,20201112,-99
519,20201113,188
520,20201116,109
521,20201117,-71
522,20201118,-19
523,20201119,-9
524,20201120,33
525,20201123,56
526,20201124,-33
527,20201125,-5
528,20201126,-33
529,20201127,24
530,20201130,-84
531,20201201,222
532,20201202,240
533,20201204,302
534,20201207,-203
535,20201208,-136
536,20201209,89
537,20201210,-127
538,20201211,42
539,20201214,33
540,20201215,-156
541,20201216,-80
542,20201217,-122
543,20201218,-71
544,20201221,-94
545,20201222,-9
546,20201223,19
547,20201224,273
548,20201228,94
549,20201229,90
550,20201230,33
551,20210105,212
552,20210106,297
553,20210107,179
554,20210108,113
555,20210111,570
556,20210112,-240
557,20210113,122
558,20210114,71
559,20210115,0
560,20210118,-89
561,20210119,-80
562,20210120,-151
563,20210121,-94
564,20210122,-128
565,20210125,24
566,20210126,-136
567,20210127,-216
568,20210128,19
569,20210129,-165
570,20210201,236
571,20210202,-179
572,20210203,-80
573,20210204,-245
574,20210205,165
575,20210208,-179
576,20210209,90
577,20210210,-28
578,20210215,-80
579,20210216,66
580,20210217,-147
581,20210218,5
582,20210219,-19
583,20210222,-193
584,20210223,-9
585,20210224,-208
586,20210225,33
587,20210226,-160
588,20210302,174
589,20210303,94
590,20210304,-15
591,20210305,47
592,20210308,-241
593,20210309,-51
594,20210310,-29
595,20210311,193
596,20210312,-81
597,20210315,-146
598,20210316,19
599,20210317,-165
600,20210318,179
601,20210319,-42
602,20210322,-175
603,20210323,-24
604,20210324,-189
605,20210325,212
606,20210326,9
607,20210329,-188
608,20210330,90
609,20210331,-10
610,20210401,81
611,20210402,174
612,20210405,-180
613,20210406,-42
614,20210407,28
615,20210408,-108
616,20210409,28
617,20210412,-151
618,20210413,235
619,20210414,-33
620,20210415,-9
621,20210416,-43
622,20210419,-47
623,20210420,127
624,20210421,-118
625,20210422,43
626,20210423,-184
627,20210426,-14
628,20210427,-71
629,20210428,-56
630,20210429,76
631,20210430,0
632,20210503,-19
633,20210504,-86
634,20210506,43
635,20210507,-24
636,20210510,57
637,20210511,43
638,20210512,-106
639,20210513,63
640,20210514,43
641,20210517,-130
642,20210518,33
643,20210520,144
644,20210521,235
645,20210524,43
646,20210525,-48
647,20210526,62
648,20210527,-43
649,20210528,91
650,20210531,-234
651,20210601,-48
652,20210602,62
653,20210603,172
654,20210604,-57
655,20210607,0
656,20210608,4
657,20210609,-33
658,20210610,-20
659,20210611,220
660,20210614,-130
661,20210615,101
662,20210616,173
663,20210617,-125
664,20210618,58
665,20210621,105
666,20210622,43
667,20210623,24
668,20210624,9
669,20210625,10
670,20210628,-34
671,20210629,-76
672,20210630,67
673,20210701,-167
674,20210702,53
675,20210705,0
676,20210706,34
677,20210707,-95
678,20210708,82
679,20210709,162
680,20210712,96
681,20210713,86
682,20210714,-129
683,20210715,-34
684,20210716,-10
685,20210719,-105
686,20210720,106
687,20210721,-120
688,20210722,119
689,20210723,-77
690,20210726,-206
691,20210727,110
692,20210728,48
693,20210729,29
694,20210730,-47
695,20210802,-62
696,20210803,220
697,20210804,-5
698,20210805,28
699,20210806,5
700,20210809,-106
701,20210810,-177
702,20210811,-33
703,20210812,0
704,20210813,-177
705,20210817,0
706,20210818,-67
707,20210819,120
708,20210820,-15
709,20210823,0
710,20210824,149
711,20210825,115
712,20210826,72
713,20210827,0
714,20210830,-125
715,20210831,-43
716,20210901,-14
717,20210902,19
718,20210903,106
719,20210906,52
720,20210907,-24
721,20210908,-48
722,20210909,-38
723,20210910,24
724,20210913,134
725,20210914,86
726,20210915,39
727,20210916,-235
728,20210917,-101
729,20210923,158
730,20210924,-48
731,20210927,38
732,20210928,-87
733,20210929,-4
734,20210930,-91
735,20211001,52
736,20211005,96
737,20211006,-62
738,20211007,125
739,20211008,-111
740,20211012,-278
741,20211013,201
742,20211014,95
743,20211015,182
744,20211018,-378
745,20211019,77
746,20211020,-63
747,20211021,10
748,20211022,19
749,20211025,-183
750,20211026,-62
751,20211027,-43
752,20211028,48
753,20211029,-62
754,20211101,-87
755,20211102,327
756,20211103,-307
757,20211104,139
758,20211105,-437
759,20211108,-307
760,20211109,336
761,20211110,72
762,20211111,15
763,20211112,0
764,20211115,-33
765,20211116,-87
766,20211117,-212
767,20211119,144
