,date,y_change
0,20181001,54
1,20181002,23
2,20181004,-108
3,20181005,-27
4,20181008,18
5,20181010,-40
6,20181011,112
7,20181012,99
8,20181015,-113
9,20181016,45
10,20181017,-18
11,20181018,-9
12,20181019,-4
13,20181022,-32
14,20181023,0
15,20181024,-36
16,20181025,90
17,20181026,-108
18,20181029,27
19,20181030,50
20,20181031,-72
21,20181101,82
22,20181102,72
23,20181105,-162
24,20181106,-76
25,20181107,-23
26,20181108,82
27,20181109,-27
28,20181112,31
29,20181113,-104
30,20181114,-22
31,20181116,-90
32,20181119,95
33,20181120,14
34,20181121,-41
35,20181122,-9
36,20181123,54
37,20181126,104
38,20181127,-63
39,20181128,-63
40,20181129,9
41,20181130,-49
42,20181203,-19
43,20181204,-14
44,20181205,18
45,20181206,-45
46,20181207,59
47,20181210,-4
48,20181211,-63
49,20181212,-23
50,20181213,64
51,20181214,-27
52,20181217,-22
53,20181218,27
54,20181219,-5
55,20181220,-95
56,20181221,-31
57,20181224,-67
58,20181226,81
59,20181227,-68
60,20181228,121
61,20190103,-113
62,20190104,59
63,20190107,45
64,20190108,14
65,20190109,63
66,20190110,45
67,20190111,-5
68,20190114,14
69,20190115,0
70,20190116,0
71,20190117,31
72,20190118,4
73,20190121,-104
74,20190122,32
75,20190123,27
76,20190124,41
77,20190125,50
78,20190128,-31
79,20190129,0
80,20190130,-9
81,20190131,-41
82,20190201,54
83,20190207,-63
84,20190208,-63
85,20190211,-41
86,20190212,-36
87,20190213,13
88,20190214,14
89,20190215,-72
90,20190218,49
91,20190219,-100
92,20190220,-36
93,20190221,46
94,20190222,-36
95,20190225,5
96,20190226,4
97,20190227,-27
98,20190228,-104
99,20190304,90
100,20190305,-46
101,20190306,-45
102,20190307,-36
103,20190308,5
104,20190311,49
105,20190312,45
106,20190313,-40
107,20190314,32
108,20190315,99
109,20190318,9
110,20190319,-50
111,20190320,27
112,20190321,131
113,20190322,-4
114,20190325,-4
115,20190326,14
116,20190327,-54
117,20190328,-36
118,20190329,45
119,20190401,135
120,20190402,50
121,20190403,-36
122,20190404,-14
123,20190405,90
124,20190408,-32
125,20190409,-36
126,20190410,5
127,20190411,-14
128,20190412,-41
129,20190415,86
130,20190416,55
131,20190417,-58
132,20190418,0
133,20190419,-23
134,20190422,-22
135,20190423,63
136,20190424,-32
137,20190425,-5
138,20190426,-59
139,20190429,46
140,20190430,-28
141,20190502,23
142,20190503,-55
143,20190507,-41
144,20190508,64
145,20190509,32
146,20190510,46
147,20190513,-92
148,20190514,19
149,20190515,-161
150,20190516,-18
151,20190517,-32
152,20190520,174
153,20190521,4
154,20190522,-41
155,20190523,-115
156,20190524,45
157,20190527,-69
158,20190528,51
159,20190529,-37
160,20190530,101
161,20190531,-137
162,20190603,28
163,20190604,-41
164,20190605,-36
165,20190607,-45
166,20190610,92
167,20190611,64
168,20190612,18
169,20190613,73
170,20190614,-128
171,20190617,-4
172,20190618,46
173,20190619,-41
174,20190620,0
175,20190621,-41
176,20190624,9
177,20190625,64
178,20190626,55
179,20190627,-37
180,20190628,27
181,20190701,-41
182,20190702,-115
183,20190703,-46
184,20190704,4
185,20190705,18
186,20190708,-101
187,20190709,33
188,20190710,51
189,20190711,55
190,20190712,0
191,20190715,50
192,20190716,14
193,20190717,-19
194,20190718,37
195,20190719,69
196,20190722,5
197,20190723,-19
198,20190724,14
199,20190725,27
200,20190726,37
201,20190729,-101
202,20190730,9
203,20190731,46
204,20190801,33
205,20190802,-19
206,20190805,-60
207,20190806,-9
208,20190807,73
209,20190808,-87
210,20190809,-14
211,20190812,50
212,20190813,-69
213,20190814,83
214,20190816,-32
215,20190819,-27
216,20190820,13
217,20190821,14
218,20190822,-41
219,20190823,-10
220,20190826,-51
221,20190827,-14
222,20190828,9
223,20190829,-9
224,20190830,119
225,20190902,5
226,20190903,9
227,20190904,19
228,20190905,51
229,20190906,0
230,20190909,0
231,20190910,-14
232,20190911,129
233,20190916,-124
234,20190917,-37
235,20190918,-33
236,20190919,115
237,20190920,18
238,20190923,69
239,20190924,14
240,20190925,4
241,20190926,37
242,20190927,-60
243,20190930,9
244,20191001,-18
245,20191002,-36
246,20191004,129
247,20191007,78
248,20191008,23
249,20191010,56
250,20191011,9
251,20191014,92
252,20191015,59
253,20191016,37
254,20191017,-55
255,20191018,37
256,20191021,87
257,20191022,23
258,20191023,-27
259,20191024,9
260,20191025,-59
261,20191028,5
262,20191029,27
263,20191030,-55
264,20191031,33
265,20191101,-42
266,20191104,-46
267,20191105,-13
268,20191106,4
269,20191107,-32
270,20191108,-37
271,20191111,-37
272,20191112,-18
273,20191113,-51
274,20191115,-46
275,20191118,13
276,20191119,37
277,20191120,-18
278,20191121,-41
279,20191122,42
280,20191125,102
281,20191126,-28
282,20191127,-27
283,20191128,5
284,20191129,-46
285,20191202,13
286,20191203,-51
287,20191204,-37
288,20191205,74
289,20191206,46
290,20191209,-28
291,20191210,-14
292,20191211,-9
293,20191212,101
294,20191213,-4
295,20191216,-23
296,20191217,-4
297,20191218,-14
298,20191219,42
299,20191220,-23
300,20191223,-23
301,20191224,-46
302,20191226,-28
303,20191227,-4
304,20191230,-5
305,20200103,60
306,20200106,13
307,20200107,-5
308,20200108,-5
309,20200109,5
310,20200110,129
311,20200113,59
312,20200114,46
313,20200115,-96
314,20200116,9
315,20200117,115
316,20200120,60
317,20200121,-32
318,20200122,10
319,20200123,-32
320,20200128,115
321,20200129,-19
322,20200130,14
323,20200131,-23
324,20200203,-65
325,20200204,97
326,20200205,-70
327,20200206,37
328,20200207,-46
329,20200210,-14
330,20200211,64
331,20200212,51
332,20200213,37
333,20200214,-27
334,20200217,-19
335,20200218,-46
336,20200219,28
337,20200220,28
338,20200221,60
339,20200224,-143
340,20200225,-64
341,20200226,-92
342,20200227,-88
343,20200228,10
344,20200302,-5
345,20200303,-37
346,20200304,222
347,20200305,-120
348,20200306,18
349,20200309,9
350,20200310,125
351,20200311,-19
352,20200312,-46
353,20200313,78
354,20200316,-166
355,20200317,-65
356,20200318,97
357,20200319,-291
358,20200320,129
359,20200323,277
360,20200324,-56
361,20200325,240
362,20200326,-300
363,20200327,51
364,20200330,102
365,20200331,83
366,20200401,-37
367,20200402,97
368,20200403,51
369,20200406,0
370,20200407,56
371,20200408,-28
372,20200409,-46
373,20200410,28
374,20200413,-51
375,20200414,9
376,20200416,120
377,20200417,69
378,20200420,-125
379,20200421,-33
380,20200422,69
381,20200423,-32
382,20200424,18
383,20200427,-5
384,20200428,-14
385,20200429,24
386,20200504,-179
387,20200506,-123
388,20200507,0
389,20200508,112
390,20200511,47
391,20200512,-75
392,20200513,47
393,20200514,-61
394,20200515,-56
395,20200518,-89
396,20200519,71
397,20200520,56
398,20200521,5
399,20200522,-52
400,20200525,-15
401,20200526,75
402,20200527,28
403,20200528,-9
404,20200529,47
405,20200601,90
406,20200602,-5
407,20200603,211
408,20200604,174
409,20200605,65
410,20200608,-61
411,20200609,94
412,20200610,-47
413,20200611,33
414,20200612,0
415,20200615,-9
416,20200616,103
417,20200617,-42
418,20200618,-80
419,20200619,-193
420,20200622,84
421,20200623,118
422,20200624,90
423,20200625,42
424,20200626,-14
425,20200629,5
426,20200630,-5
427,20200701,-122
428,20200702,80
429,20200703,-33
430,20200706,42
431,20200707,4
432,20200708,99
433,20200709,28
434,20200710,-136
435,20200713,-65
436,20200714,-14
437,20200715,85
438,20200716,-56
439,20200717,122
440,20200720,-56
441,20200721,33
442,20200722,-103
443,20200723,-140
444,20200724,75
445,20200727,173
446,20200728,136
447,20200729,19
448,20200730,33
449,20200731,-56
450,20200803,-99
451,20200804,118
452,20200805,-52
453,20200806,160
454,20200807,123
455,20200810,89
456,20200811,90
457,20200812,103
458,20200813,-33
459,20200814,-99
460,20200818,9
461,20200819,70
462,20200820,28
463,20200821,141
464,20200824,-301
465,20200825,-80
466,20200826,19
467,20200827,-61
468,20200828,-51
469,20200831,113
470,20200901,113
471,20200902,-85
472,20200903,99
473,20200904,164
474,20200907,-80
475,20200908,-14
476,20200909,62
477,20200910,57
478,20200911,-38
479,20200914,51
480,20200915,-24
481,20200916,0
482,20200917,14
483,20200918,23
484,20200921,66
485,20200922,5
486,20200923,24
487,20200924,10
488,20200925,37
489,20200928,37
490,20200929,-42
491,20201005,57
492,20201006,37
493,20201007,4
494,20201008,0
495,20201012,-75
496,20201013,-28
497,20201014,-57
498,20201015,-61
499,20201016,-37
500,20201019,127
501,20201020,70
502,20201021,-23
503,20201022,-52
504,20201023,-33
505,20201026,89
506,20201027,-33
507,20201028,28
508,20201029,28
509,20201030,-127
510,20201102,113
511,20201103,132
512,20201104,-43
513,20201105,80
514,20201106,47
515,20201109,52
516,20201110,-94
517,20201111,51
518,20201112,-104
519,20201113,70
520,20201116,128
521,20201117,-9
522,20201118,127
523,20201119,29
524,20201120,-71
525,20201123,-57
526,20201124,-61
527,20201125,65
528,20201126,24
529,20201127,-14
530,20201130,-18
531,20201201,109
532,20201202,80
533,20201204,142
534,20201207,-52
535,20201208,-113
536,20201209,-33
537,20201210,-151
538,20201211,89
539,20201214,-104
540,20201215,37
541,20201216,-5
542,20201217,-103
543,20201218,-29
544,20201221,-18
545,20201222,-28
546,20201223,-19
547,20201224,198
548,20201228,137
549,20201229,-122
550,20201230,5
551,20210105,28
552,20210106,255
553,20210107,14
554,20210108,-71
555,20210111,249
556,20210112,-292
557,20210113,-61
558,20210114,85
559,20210115,278
560,20210118,-249
561,20210119,57
562,20210120,-146
563,20210121,-127
564,20210122,-175
565,20210125,-66
566,20210126,-56
567,20210127,57
568,20210128,5
569,20210129,-70
570,20210201,90
571,20210202,-118
572,20210203,-80
573,20210204,-132
574,20210205,161
575,20210208,-207
576,20210209,123
577,20210210,-9
578,20210215,56
579,20210216,-57
580,20210217,-189
581,20210218,80
582,20210219,118
583,20210222,-99
584,20210223,-52
585,20210224,-94
586,20210225,0
587,20210226,-52
588,20210302,71
589,20210303,-57
590,20210304,-62
591,20210305,14
592,20210308,-137
593,20210309,-70
594,20210310,-66
595,20210311,89
596,20210312,103
597,20210315,-236
598,20210316,33
599,20210317,-71
600,20210318,38
601,20210319,43
602,20210322,-142
603,20210323,47
604,20210324,-85
605,20210325,85
606,20210326,-5
607,20210329,-212
608,20210330,76
609,20210331,-80
610,20210401,24
611,20210402,70
612,20210405,-80
613,20210406,-37
614,20210407,-5
615,20210408,-132
616,20210409,47
617,20210412,-71
618,20210413,66
619,20210414,-9
620,20210415,-4
621,20210416,-66
622,20210419,-66
623,20210420,89
624,20210421,-94
625,20210422,-51
626,20210423,-184
627,20210426,19
628,20210427,-61
629,20210428,-37
630,20210429,86
631,20210430,-58
632,20210503,-43
633,20210504,34
634,20210506,20
635,20210507,-19
636,20210510,0
637,20210511,14
638,20210512,-48
639,20210513,87
640,20210514,43
641,20210517,-72
642,20210518,29
643,20210520,53
644,20210521,58
645,20210524,-72
646,20210525,-24
647,20210526,5
648,20210527,10
649,20210528,-34
650,20210531,-91
651,20210601,43
652,20210602,58
653,20210603,67
654,20210604,-14
655,20210607,-20
656,20210608,-29
657,20210609,-67
658,20210610,-48
659,20210611,134
660,20210614,-91
661,20210615,-29
662,20210616,67
663,20210617,-81
664,20210618,-52
665,20210621,52
666,20210622,24
667,20210623,-34
668,20210624,38
669,20210625,0
670,20210628,-67
671,20210629,-72
672,20210630,-19
673,20210701,-148
674,20210702,-9
675,20210705,-33
676,20210706,10
677,20210707,-91
678,20210708,58
679,20210709,129
680,20210712,82
681,20210713,91
682,20210714,-101
683,20210715,-29
684,20210716,-39
685,20210719,-29
686,20210720,110
687,20210721,-87
688,20210722,76
689,20210723,-77
690,20210726,-120
691,20210727,114
692,20210728,15
693,20210729,39
694,20210730,-143
695,20210802,-33
696,20210803,120
697,20210804,-29
698,20210805,48
699,20210806,-29
700,20210809,-53
701,20210810,-100
702,20210811,-72
703,20210812,-24
704,20210813,-38
705,20210817,48
706,20210818,-43
707,20210819,110
708,20210820,29
709,20210823,-9
710,20210824,120
711,20210825,158
712,20210826,72
713,20210827,-63
714,20210830,-39
715,20210831,-72
716,20210901,-9
717,20210902,19
718,20210903,-72
719,20210906,-58
720,20210907,-67
721,20210908,-48
722,20210909,-72
723,20210910,43
724,20210913,77
725,20210914,129
726,20210915,0
727,20210916,-95
728,20210917,0
729,20210923,101
730,20210924,-115
731,20210927,5
732,20210928,-130
733,20210929,44
734,20210930,-28
735,20211001,57
736,20211005,62
737,20211006,-10
738,20211007,67
739,20211008,-48
740,20211012,-149
741,20211013,43
742,20211014,71
743,20211015,201
744,20211018,-287
745,20211019,62
746,20211020,62
747,20211021,5
748,20211022,19
749,20211025,-111
750,20211026,-48
751,20211027,24
752,20211028,9
753,20211029,-4
754,20211101,-183
755,20211102,188
756,20211103,-264
757,20211104,129
758,20211105,-211
759,20211108,-240
760,20211109,264
761,20211110,187
762,20211111,-62
763,20211112,-125
764,20211115,-53
765,20211116,-68
766,20211117,-63
767,20211119,111
768,20211122,173
769,20211123,-9
770,20211124,5
771,20211125,-130
772,20211126,91
773,20211129,164
774,20211130,5
775,20211201,217
776,20211202,62
777,20211203,-72
778,20211206,-91
779,20211207,-153
780,20211208,154
781,20211209,53
782,20211210,-33
783,20211213,57
784,20211214,15
785,20211215,29
786,20211216,48
787,20211217,10
788,20211220,-116
789,20211221,87
790,20211222,134
791,20211223,-91
792,20211224,96
793,20211227,-48
794,20211228,-96
795,20211229,82
796,20211230,77
797,20220104,-115
798,20220105,19
799,20220106,96
800,20220107,39
801,20220110,-197
802,20220111,159
803,20220112,101
804,20220113,-24
805,20220114,-125
806,20220117,-19
807,20220118,-101
808,20220119,0
809,20220120,-62
810,20220121,-15
811,20220124,72
812,20220125,-197
813,20220126,-14
814,20220127,39
815,20220128,82
816,20220203,178
817,20220204,125
818,20220207,-371
819,20220208,145
820,20220209,-24
821,20220210,68
822,20220211,-121
823,20220214,91
824,20220215,-97
825,20220216,87
826,20220217,-125
827,20220218,24
828,20220221,-182
829,20220222,-77
830,20220223,-14
831,20220224,10
832,20220225,19
833,20220228,-72
834,20220302,-62
835,20220303,77
836,20220304,-92
837,20220307,-77
838,20220308,-101
839,20220310,5
840,20220311,-101
841,20220314,58
842,20220315,-28
843,20220316,-82
844,20220317,77
845,20220318,53
846,20220321,-251
847,20220322,134
848,20220323,110
849,20220324,-39
850,20220325,-159
851,20220328,-173
852,20220329,121
853,20220330,39
854,20220331,10
855,20220401,-96
856,20220404,-144
857,20220405,-68
858,20220406,-72
859,20220407,-106
860,20220408,-19
861,20220411,-53
862,20220412,77
863,20220413,24
864,20220414,-101
865,20220415,-115
866,20220418,5
867,20220419,121
868,20220420,-174
869,20220421,-10
870,20220422,-125
871,20220425,-53
872,20220426,-14
873,20220427,-48
874,20220428,-161
875,20220429,98
876,20220502,176
877,20220503,-14
878,20220504,58
879,20220506,-93
880,20220509,64
881,20220510,29
882,20220511,5
883,20220512,-5
884,20220513,88
885,20220516,19
886,20220517,88
887,20220518,108
888,20220519,107
889,20220520,97
890,20220523,-73
891,20220524,-19
892,20220525,-63
893,20220526,131
894,20220527,127
895,20220530,29
896,20220531,39
897,20220602,-93
898,20220603,19
899,20220607,-176
900,20220608,20
901,20220609,-44
902,20220610,-49
903,20220613,68
904,20220614,161
905,20220615,-20
906,20220616,49
907,20220617,-5
908,20220620,-318
909,20220621,-44
910,20220622,-117
911,20220623,176
912,20220624,5
913,20220627,-147
914,20220628,117
915,20220629,5
916,20220630,-117
917,20220701,102
918,20220704,-229
919,20220705,-92
920,20220706,-68
921,20220707,19
922,20220708,39
923,20220711,-53
924,20220712,-5
925,20220713,78
926,20220714,9
927,20220715,-136
928,20220718,117
929,20220719,-88
930,20220720,-15
931,20220721,39
932,20220722,24
933,20220725,171
934,20220726,53
935,20220727,-93
936,20220728,49
937,20220729,-10
938,20220801,-142
939,20220802,-84
940,20220803,-83
941,20220804,-68
942,20220805,34
943,20220808,78
944,20220809,59
945,20220810,-63
946,20220811,25
947,20220812,167
948,20220816,-122
949,20220817,14
950,20220818,-132
951,20220819,-206
952,20220822,-15
953,20220823,20
954,20220824,34
955,20220825,-5
956,20220826,15
957,20220829,103
958,20220830,39
959,20220831,-9
960,20220901,5
961,20220902,-44
962,20220905,152
963,20220906,-25
964,20220907,-30
965,20220908,-68
966,20220913,-25
967,20220914,10
968,20220915,14
969,20220916,10
970,20220919,-44
971,20220920,49
972,20220921,39
973,20220922,0
974,20220923,-19
975,20220926,-49
976,20220927,-73
977,20220928,53
978,20220929,64
979,20220930,15
980,20221004,20
981,20221005,-83
982,20221006,25
983,20221007,-19
984,20221011,-156
985,20221012,49
