,date,y_minmax_0915
398,20200521,61
399,20200522,127
400,20200525,99
401,20200526,98
402,20200527,79
403,20200528,75
404,20200529,99
405,20200601,179
406,20200602,155
407,20200603,277
408,20200604,296
409,20200605,164
410,20200608,310
411,20200609,192
412,20200610,202
413,20200611,164
414,20200612,262
415,20200615,165
416,20200616,169
417,20200617,169
418,20200618,178
419,20200619,437
420,20200622,141
421,20200623,207
422,20200624,150
423,20200625,183
424,20200626,89
425,20200629,136
426,20200630,89
427,20200701,136
428,20200702,146
429,20200703,179
430,20200706,84
431,20200707,94
432,20200708,127
433,20200709,80
434,20200710,226
435,20200713,99
436,20200714,99
437,20200715,174
438,20200716,103
439,20200717,151
440,20200720,131
441,20200721,85
442,20200722,118
443,20200723,168
444,20200724,131
445,20200727,258
446,20200728,201
447,20200729,146
448,20200730,155
449,20200731,315
450,20200803,203
451,20200804,141
452,20200805,108
453,20200806,235
454,20200807,137
455,20200810,136
456,20200811,202
457,20200812,174
458,20200813,127
459,20200814,165
460,20200818,273
461,20200819,122
462,20200820,108
463,20200821,169
464,20200824,343
465,20200825,188
466,20200826,179
467,20200827,165
468,20200828,136
469,20200831,127
470,20200901,240
471,20200902,113
472,20200903,123
473,20200904,235
474,20200907,174
475,20200908,127
476,20200909,117
477,20200910,84
478,20200911,118
479,20200914,117
480,20200915,76
481,20200916,80
482,20200917,165
483,20200918,80
484,20200921,113
485,20200922,108
486,20200923,127
487,20200924,122
488,20200925,118
489,20200928,80
490,20200929,70
491,20201005,117
492,20201006,108
493,20201007,90
494,20201008,113
495,20201012,122
496,20201013,90
497,20201014,108
498,20201015,113
499,20201016,127
500,20201019,160
501,20201020,183
502,20201021,122
503,20201022,141
504,20201023,141
505,20201026,122
506,20201027,122
507,20201028,94
508,20201029,99
509,20201030,146
510,20201102,146
511,20201103,160
512,20201104,127
513,20201105,254
514,20201106,188
515,20201109,99
516,20201110,235
517,20201111,132
518,20201112,104
519,20201113,226
520,20201116,259
521,20201117,137
522,20201118,169
523,20201119,122
524,20201120,127
525,20201123,151
526,20201124,104
527,20201125,132
528,20201126,179
529,20201127,89
530,20201130,230
531,20201201,226
532,20201202,282
533,20201204,320
534,20201207,330
535,20201208,169
536,20201209,142
537,20201210,207
538,20201211,165
539,20201214,255
540,20201215,222
541,20201216,183
542,20201217,160
543,20201218,141
544,20201221,136
545,20201222,151
546,20201223,75
547,20201224,297
548,20201228,226
549,20201229,527
550,20201230,160
551,20210105,358
552,20210106,409
553,20210107,207
554,20210108,259
555,20210111,885
556,20210112,471
557,20210113,283
558,20210114,556
559,20210115,438
560,20210118,457
561,20210119,381
562,20210120,339
563,20210121,301
564,20210122,297
565,20210125,255
566,20210126,221
567,20210127,334
568,20210128,274
569,20210129,283
570,20210201,561
571,20210202,282
572,20210203,188
573,20210204,301
574,20210205,198
575,20210208,406
576,20210209,221
577,20210210,264
578,20210215,203
579,20210216,198
580,20210217,260
581,20210218,207
582,20210219,180
583,20210222,325
584,20210223,221
585,20210224,340
586,20210225,113
587,20210226,250
588,20210302,231
589,20210303,222
590,20210304,175
591,20210305,132
592,20210308,250
593,20210309,207
594,20210310,128
595,20210311,240
596,20210312,240
597,20210315,279
598,20210316,127
599,20210317,245
600,20210318,231
601,20210319,132
602,20210322,311
603,20210323,132
604,20210324,269
605,20210325,283
606,20210326,136
607,20210329,250
608,20210330,90
609,20210331,123
610,20210401,113
611,20210402,226
612,20210405,240
613,20210406,108
614,20210407,122
615,20210408,165
616,20210409,189
617,20210412,165
618,20210413,269
619,20210414,113
620,20210415,99
621,20210416,142
622,20210419,118
623,20210420,160
624,20210421,188
625,20210422,127
626,20210423,236
627,20210426,94
628,20210427,80
629,20210428,75
630,20210429,139
631,20210430,239
632,20210503,240
633,20210504,196
634,20210506,130
635,20210507,105
636,20210510,143
637,20210511,77
638,20210512,149
639,20210513,273
640,20210514,125
641,20210517,163
642,20210518,105
643,20210520,197
644,20210521,292
645,20210524,182
646,20210525,119
647,20210526,149
648,20210527,153
649,20210528,167
650,20210531,259
651,20210601,158
652,20210602,168
653,20210603,206
654,20210604,139
655,20210607,154
656,20210608,129
657,20210609,191
658,20210610,129
659,20210611,244
660,20210614,139
661,20210615,135
662,20210616,225
663,20210617,153
664,20210618,144
665,20210621,182
666,20210622,105
667,20210623,87
668,20210624,81
669,20210625,53
670,20210628,91
671,20210629,124
672,20210630,124
673,20210701,211
674,20210702,125
675,20210705,105
676,20210706,57
677,20210707,134
678,20210708,106
679,20210709,211
680,20210712,115
681,20210713,129
682,20210714,163
683,20210715,76
684,20210716,72
685,20210719,143
686,20210720,139
687,20210721,144
688,20210722,119
689,20210723,115
690,20210726,211
691,20210727,124
692,20210728,187
693,20210729,105
694,20210730,158
695,20210802,168
696,20210803,254
697,20210804,120
698,20210805,139
699,20210806,135
700,20210809,130
701,20210810,225
702,20210811,81
703,20210812,116
704,20210813,235
705,20210817,163
706,20210818,120
707,20210819,220
708,20210820,153
709,20210823,182
710,20210824,168
711,20210825,215
712,20210826,168
713,20210827,120
714,20210830,197
715,20210831,144
716,20210901,226
717,20210902,130
718,20210903,240
719,20210906,163
720,20210907,105
721,20210908,77
722,20210909,115
723,20210910,135
724,20210913,196
725,20210914,149
726,20210915,139
727,20210916,239
728,20210917,206
729,20210923,307
730,20210924,144
731,20210927,149
732,20210928,173
733,20210929,158
734,20210930,130
735,20211001,130
736,20211005,163
737,20211006,148
738,20211007,139
739,20211008,139
740,20211012,312
741,20211013,264
742,20211014,129
743,20211015,230
744,20211018,388
745,20211019,168
746,20211020,216
747,20211021,239
748,20211022,158
749,20211025,207
750,20211026,120
751,20211027,120
752,20211028,145
753,20211029,130
754,20211101,197
755,20211102,327
756,20211103,346
757,20211104,163
758,20211105,505
759,20211108,356
760,20211109,495
761,20211110,221
762,20211111,149
763,20211112,169
764,20211115,110
765,20211116,159
766,20211117,217
767,20211119,394
768,20211122,361
769,20211123,206
770,20211124,211
771,20211125,197
772,20211126,231
773,20211129,341
774,20211130,164
775,20211201,265
776,20211202,288
777,20211203,206
778,20211206,288
779,20211207,225
780,20211208,216
781,20211209,207
782,20211210,144
783,20211213,216
784,20211214,120
785,20211215,163
786,20211216,91
787,20211217,250
788,20211220,231
789,20211221,197
790,20211222,202
791,20211223,188
792,20211224,303
793,20211227,120
794,20211228,230
795,20211229,192
796,20211230,211
797,20220104,264
798,20220105,116
799,20220106,192
800,20220107,202
801,20220110,360
802,20220111,211
803,20220112,188
804,20220113,111
805,20220114,206
806,20220117,149
807,20220118,230
808,20220119,130
809,20220120,124
810,20220121,173
811,20220124,125
812,20220125,313
813,20220126,240
814,20220127,395
815,20220128,169
816,20220203,409
817,20220204,279
818,20220207,515
819,20220208,192
820,20220209,154
821,20220210,154
822,20220211,240
823,20220214,173
824,20220215,207
825,20220216,125
826,20220217,188
827,20220218,139
828,20220221,293
829,20220222,163
830,20220223,207
831,20220224,130
832,20220225,106
833,20220228,164
834,20220302,178
835,20220303,169
836,20220304,294
837,20220307,198
838,20220308,154
839,20220310,111
840,20220311,222
841,20220314,130
842,20220315,203
843,20220316,116
844,20220317,168
845,20220318,183
846,20220321,318
847,20220322,168
848,20220323,217
849,20220324,106
850,20220325,265
851,20220328,270
852,20220329,173
853,20220330,106
854,20220331,193
855,20220401,236
856,20220404,187
857,20220405,192
858,20220406,111
859,20220407,130
860,20220408,91
861,20220411,163
862,20220412,135
863,20220413,110
864,20220414,163
865,20220415,226
866,20220418,211
867,20220419,269
868,20220420,265
869,20220421,168
870,20220422,178
871,20220425,120
872,20220426,82
873,20220427,212
874,20220428,210
875,20220429,371
876,20220502,229
877,20220503,112
878,20220504,122
879,20220506,186
880,20220509,219
881,20220510,288
