,date,y_rate_1225
0,20181001,-22
1,20181002,-117
2,20181004,-369
3,20181005,-86
4,20181008,68
5,20181010,-220
6,20181011,-279
7,20181012,180
8,20181015,-68
9,20181016,-81
10,20181017,77
11,20181018,-63
12,20181019,149
13,20181022,166
14,20181023,-396
15,20181024,-67
16,20181025,-18
17,20181026,-536
18,20181029,-63
19,20181030,203
20,20181031,-149
21,20181101,109
22,20181102,189
23,20181105,-352
24,20181106,-99
25,20181107,63
26,20181108,5
27,20181109,-81
28,20181112,266
29,20181113,-23
30,20181114,-72
31,20181115,-27
32,20181116,-108
33,20181119,-36
34,20181120,23
35,20181121,153
36,20181122,-72
37,20181123,-154
38,20181126,253
39,20181127,22
40,20181128,-31
41,20181129,-199
42,20181130,-144
43,20181203,117
44,20181204,-81
45,20181205,248
46,20181206,-203
47,20181207,-90
48,20181210,-9
49,20181211,-63
50,20181212,185
51,20181213,208
52,20181214,-370
53,20181217,68
54,20181218,18
55,20181219,95
56,20181220,-77
57,20181221,23
58,20181224,50
59,20181226,-54
60,20181227,50
61,20181228,94
62,20190102,-352
63,20190103,-63
64,20190104,140
65,20190107,4
66,20190108,-31
67,20190109,388
68,20190110,-18
69,20190111,18
70,20190114,-140
71,20190115,388
72,20190116,72
73,20190117,40
74,20190118,36
75,20190121,-185
76,20190122,-212
77,20190123,221
78,20190124,118
79,20190125,248
80,20190128,-4
81,20190129,-27
82,20190130,239
83,20190131,-135
84,20190201,9
85,20190207,-40
86,20190208,-185
87,20190211,-36
88,20190212,140
89,20190213,-9
90,20190214,-36
91,20190215,-307
92,20190218,72
93,20190219,22
94,20190220,181
95,20190221,127
96,20190222,18
97,20190225,-113
98,20190226,-59
99,20190227,-9
100,20190228,-86
101,20190304,-149
102,20190305,-95
103,20190306,-58
104,20190307,27
105,20190308,-140
106,20190311,-5
107,20190312,86
108,20190313,-212
109,20190314,-63
110,20190315,311
111,20190318,-18
112,20190319,-36
113,20190320,-172
114,20190321,212
115,20190322,-81
116,20190325,-90
117,20190326,5
118,20190327,99
119,20190328,72
120,20190329,67
121,20190401,207
122,20190402,27
123,20190403,131
124,20190404,72
125,20190405,18
126,20190408,-113
127,20190409,0
128,20190410,99
129,20190411,-113
130,20190412,72
131,20190415,95
132,20190416,100
133,20190417,-27
134,20190418,-270
135,20190419,-54
136,20190422,-4
137,20190423,36
138,20190424,-420
139,20190425,63
140,20190426,-4
141,20190429,143
142,20190430,-280
143,20190502,184
144,20190503,-170
145,20190507,-37
146,20190508,285
147,20190509,-216
148,20190510,-161
149,20190513,14
150,20190514,280
151,20190515,41
152,20190516,-156
153,20190517,-120
154,20190520,119
155,20190521,247
156,20190522,-59
157,20190523,-18
158,20190524,-170
159,20190527,-19
160,20190528,0
161,20190529,-280
162,20190530,73
163,20190531,51
164,20190603,266
165,20190604,-4
166,20190605,-124
167,20190607,184
168,20190610,197
169,20190611,133
170,20190612,-60
171,20190613,-133
172,20190614,14
173,20190617,-4
174,20190618,156
175,20190619,-14
176,20190620,28
177,20190621,-51
178,20190624,74
179,20190625,-19
180,20190626,87
181,20190627,252
182,20190628,-55
183,20190701,-170
184,20190702,14
185,20190703,-202
186,20190704,-9
187,20190705,-51
188,20190708,-294
189,20190709,-50
190,20190710,37
191,20190711,184
192,20190712,115
193,20190715,119
194,20190716,65
195,20190717,-37
196,20190718,-36
197,20190719,188
198,20190722,60
199,20190723,110
200,20190724,19
201,20190725,-211
202,20190726,37
203,20190729,-377
204,20190730,46
205,20190731,-143
206,20190801,180
207,20190802,-33
208,20190805,-368
209,20190806,381
210,20190807,-189
211,20190808,-73
212,20190809,41
213,20190812,55
214,20190813,-69
215,20190814,-23
216,20190816,-27
217,20190819,14
218,20190820,115
219,20190821,83
220,20190822,-202
221,20190823,115
222,20190826,92
223,20190827,60
224,20190828,14
225,20190829,-120
226,20190830,289
227,20190902,74
228,20190903,-55
229,20190904,106
230,20190905,294
231,20190906,-46
232,20190909,105
233,20190910,0
234,20190911,110
235,20190916,-23
236,20190917,27
237,20190918,115
238,20190919,129
239,20190920,78
240,20190923,23
241,20190924,42
242,20190925,-42
243,20190926,50
244,20190927,-184
245,20190930,197
246,20191001,143
247,20191002,-184
248,20191004,97
249,20191007,-46
250,20191008,234
251,20191010,33
252,20191011,37
253,20191014,51
254,20191015,55
255,20191016,10
256,20191017,-69
257,20191018,-23
258,20191021,106
259,20191022,188
260,20191023,-133
261,20191024,-124
262,20191025,-59
263,20191028,-18
264,20191029,-138
265,20191030,-134
266,20191031,199
267,20191101,101
268,20191104,110
269,20191105,23
270,20191106,14
