,date,y_rate_1020
0,20181001,-108
1,20181002,-54
2,20181004,-351
3,20181005,31
4,20181008,162
5,20181010,-112
6,20181011,-72
7,20181012,58
8,20181015,-63
9,20181016,-77
10,20181017,126
11,20181018,63
12,20181019,18
13,20181022,-14
14,20181023,-149
15,20181024,-126
16,20181025,-144
17,20181026,-171
18,20181029,49
19,20181030,225
20,20181031,-9
21,20181101,68
22,20181102,194
23,20181105,-311
24,20181106,46
25,20181107,90
26,20181108,59
27,20181109,-50
28,20181112,207
29,20181113,-127
30,20181114,-27
31,20181115,153
32,20181116,-95
33,20181119,-18
34,20181120,63
35,20181121,-27
36,20181122,-45
37,20181123,9
38,20181126,163
39,20181127,-95
40,20181128,-99
41,20181129,-153
42,20181130,-45
43,20181203,76
44,20181204,-117
45,20181205,59
46,20181206,-95
47,20181207,54
48,20181210,41
49,20181211,-104
50,20181212,144
51,20181213,41
52,20181214,-329
53,20181217,9
54,20181218,113
55,20181219,22
56,20181220,22
57,20181221,59
58,20181224,-22
59,20181226,72
60,20181227,41
61,20181228,85
62,20190102,-18
63,20190103,-81
64,20190104,9
65,20190107,148
66,20190108,0
67,20190109,180
68,20190110,-41
69,20190111,-32
70,20190114,5
71,20190115,280
72,20190116,27
73,20190117,99
74,20190118,9
75,20190121,-253
76,20190122,-95
77,20190123,130
78,20190124,163
79,20190125,81
80,20190128,-13
81,20190129,-81
82,20190130,68
83,20190131,-226
84,20190201,104
85,20190207,-212
86,20190208,-154
87,20190211,-45
88,20190212,145
89,20190213,4
90,20190214,5
91,20190215,-81
92,20190218,108
93,20190219,-41
94,20190220,23
95,20190221,-58
96,20190222,-36
97,20190225,-99
98,20190226,27
99,20190227,-31
100,20190228,5
101,20190304,-149
102,20190305,9
103,20190306,-49
104,20190307,122
105,20190308,-77
106,20190311,-55
107,20190312,41
108,20190313,-148
109,20190314,-54
110,20190315,194
111,20190318,-40
112,20190319,-5
113,20190320,-149
114,20190321,289
115,20190322,32
116,20190325,-85
117,20190326,41
118,20190327,-59
119,20190328,-55
120,20190329,-50
121,20190401,180
122,20190402,45
123,20190403,59
124,20190404,49
125,20190405,63
126,20190408,-63
127,20190409,-36
128,20190410,41
129,20190411,-45
130,20190412,23
131,20190415,32
132,20190416,59
133,20190417,-22
134,20190418,-135
135,20190419,-32
136,20190422,59
137,20190423,-18
138,20190424,-95
139,20190425,-14
140,20190426,-122
141,20190429,28
142,20190430,-234
143,20190502,202
144,20190503,-165
145,20190507,-73
146,20190508,119
147,20190509,-60
148,20190510,9
149,20190513,55
150,20190514,124
151,20190515,-42
152,20190516,-211
153,20190517,13
154,20190520,147
155,20190521,169
156,20190522,-238
157,20190523,-138
158,20190524,-51
159,20190527,45
160,20190528,-59
161,20190529,-275
162,20190530,119
163,20190531,-64
164,20190603,211
165,20190604,-13
166,20190605,-41
167,20190607,0
168,20190610,-18
169,20190611,128
170,20190612,60
171,20190613,-110
172,20190614,55
173,20190617,46
174,20190618,105
175,20190619,23
176,20190620,5
177,20190621,-110
178,20190624,5
179,20190625,78
180,20190626,41
181,20190627,82
182,20190628,-5
183,20190701,-119
184,20190702,69
185,20190703,-101
186,20190704,78
187,20190705,-23
188,20190708,-183
189,20190709,-9
190,20190710,92
191,20190711,73
192,20190712,55
193,20190715,9
194,20190716,-13
195,20190717,-161
196,20190718,-82
197,20190719,69
198,20190722,92
199,20190723,50
200,20190724,74
201,20190725,-147
202,20190726,-14
203,20190729,-230
204,20190730,-46
205,20190731,-106
206,20190801,120
207,20190802,-42
208,20190805,-147
209,20190806,64
210,20190807,4
211,20190808,-151
212,20190809,41
213,20190812,9
214,20190813,-69
215,20190814,96
216,20190816,-91
217,20190819,-69
218,20190820,0
219,20190821,55
220,20190822,-83
221,20190823,0
222,20190826,28
223,20190827,69
224,20190828,32
225,20190829,-106
226,20190830,207
227,20190902,18
228,20190903,78
229,20190904,147
230,20190905,129
231,20190906,-69
232,20190909,239
233,20190910,73
234,20190911,64
235,20190916,-106
236,20190917,-5
237,20190918,-37
238,20190919,267
239,20190920,55
240,20190923,64
241,20190924,-14
242,20190925,-83
243,20190926,83
244,20190927,-101
245,20190930,64
246,20191001,143
247,20191002,-133
248,20191004,87
249,20191007,-115
250,20191008,161
251,20191010,-110
252,20191011,-83
253,20191014,28
254,20191015,78
255,20191016,10
256,20191017,-32
257,20191018,46
258,20191021,65
259,20191022,174
260,20191023,-5
261,20191024,-152
262,20191025,-55
263,20191028,-4
264,20191029,-65
265,20191030,-175
266,20191031,106
267,20191101,64
268,20191104,69
269,20191105,10
270,20191106,37
271,20191107,-9
272,20191108,-120
273,20191111,-147
274,20191112,-9
275,20191113,-129
276,20191114,19
277,20191115,254
278,20191118,-33
279,20191119,-129
280,20191120,-28
281,20191121,-263
282,20191122,102
283,20191125,198
284,20191126,50
285,20191127,-9
286,20191128,56
287,20191129,-254
288,20191202,-33
289,20191203,-5
290,20191204,-83
